label,text
1,davenport reaches cincinnati open final cincinnati ohio american lindsay davenport advanced to the final of the wta cincinnati open on saturday after frances marion bartoli pulled out with a blister on her right hand
0,whos behind the gold medalists mask gosh an american mariel zagunis crushed tan xue of china 159 in the final of the womens saber tuesday earning the first american gold in a recognized fencing event
0,yankees blow lead but beat twins 1310 minneapolis  gary sheffield homered twice and keyed a fourrun rally in the ninth inning thursday night sending the new york yankees to a seesaw 1310 win over the minnesota twins    down 93 and minus gold glove center fielder torii hunter after he crashed into the fence the twins came back and almost swept the threegame series between al division leaders
0,dream team stunned by puerto rico 9273 athens greece  in an upset that was as historic as it was inevitable the us mens basketball team lost for only the third time ever in the olympics on sunday 9273 to puerto rico
3,if this is a tech rebound pinch me knowledgewharton goes inside the it conundrum to examine why capital spendingand corporate confidenceremains low
1,engelsman lenton surge to 50m semis australians michelle engelsman and libby lenton have both qualified for the women 39s 50 metres freestyle semifinals at the athens olympics
3,health highlights aug 18 2004 here are some of the latest health and medical news developments compiled by editors of healthday           greek athletes who missed drug test quit games      the two greek athletes who missed a drug test on aug 12 have withdrawn from the olympic games
1,england 39s ! middle order saves : the day england : 39s middle . order came up trumps today after early wickets fell in the . 4th and final npower test at the ? oval
3,work works for women women who work are healthier than women who dont have jobs suggests a study presented aug 16 at the american sociological association annual meeting in san francisco the university of pennsylvania study concluded the health benefits that women derive from working arent diminished by longer work hours or combining longer work hours with those of a spouse
3,skateboarding offers a tough workout by krista larson     sayreville nj ap  while the tennis courts at kennedy park are bare on a hot afternoon parents keep dropping off teenagers at the skate park home to all the days action
1,"emmons loses gold american shooter matt emmons ? fired at , the wrong : target on his , final ; shot ! sunday blowing a commanding ; lead in the olympic 50meter threeposition rifle event , and : allowing jia zhanbo of china to take the . gold"
3,"ciena . posts wider 3q loss on charges ciena corp a . maker of ! fiber optic products ; and services posted ; a wider , thirdquarter loss ! thursday on restructuring , and ; acquisition charges and warned that . fourthquarter revenue would be flat : with thirdquarter ? results due to !  quotongoing , customer"
0,germany repeats rowing glory in athens german rowers repeated their olympic glory in athens with two gold medals in women 39s quadruple sculls ; and women 39s single sculls
2,global lcd oversupply to peak seoul reuters  a global oversupply of largesized liquid  crystal displays lcds is forecast to peak in the third  quarter of this year but it will balance out by the fourth  quarter a usbased research firm said on friday
3,qualcomm drops licensing suit against ti los angeles reuters  qualcomm has dropped an 18 million claim for monetary damages from rival texas instruments for publicly discussing terms of a licensing pact a ti spokeswoman confirmed tuesday
1,us gymnasts end rebuilding with silver ap ap  twenty years later the boys are back on the medal stand
3,ny orders power plants ! to . cut emissions ap ap :  citing what they called a public health emergency new york officials on tuesday ordered power plants to reduce emissions blamed for acid rain
1,harmison tops test ; ratings steve harmison has ; become the first england ; bowler for more than two decades to lead the test rankings harmison who took 17 wickets in ; the ; series win over west indies has topped the pwc ratings
1,"youkilis . mccarty go ; on dl ? a season of , extraordinary medical adversity posed yet ; another : series of challenges yesterday for the : red sox as kevin youkilis ! and ? david mccarty joined the ? likes of trot nixon  mark bellhorn ;  pokey reese .  and ellis burks on the : disabled list"
2,mobile boohoo for sohu chinese net stock sohucom nasdaq sohu dropped by 10 on friday after the company announced that its multimedia messaging services with china mobile communication had been temporarily suspended for a year the sanctions were
3,"; auction ? remains dutch mainstay google 39s socalled : dutch , auction may , have intrigued wall street but nobody here , was buying it figuratively or literally instead dutch people the : butts"
1,"? injured gail , devers cant finish hurdles ap ap  gail devers the most , talented . yet starcrossed hurdler of her generation was unable to ; complete even : one , hurdle in ! 100meter event sunday  151 ! failing once again to win an ! olympic hurdling ? medal"
0,"prudential drops bid for skorean assest managing firm afp afp  a consortium led , by british insurer prudential plc has dropped its bid for a major south korean state asset managing company"
3,chimps from dutch lab face housing ; crisis ap ap  dozens of chimpanzees ? from a dutch laboratory face a housing crisis ! after plans for their early ; retirement on . the spanish coast collapsed because of . residents fears they . would carry . infectious : diseases
3,expense issue draws mixed views from companies the debate over whether companies should  treat stock options as an expense draws mixed reactions from washington area businesses some of which have a lot to lose if the accounting rule changes
3,groups chide us on mercury regulations ap ap  environmentalists and two maryland democratic congressmen chastised the bush administration wednesday for proposed regulations they said will not do enough to reduce mercury contamination of maryland rivers lakes and the chesapeake bay
2,ny atty general spitzer to run for gov new york reuters  new york attorney general eliot  spitzer will announce on tuesday he will run for governor of  the state in 2006 a spokeswoman said
0,united likely to terminate pension plans chicago  cashstrapped united airlines said in a bankruptcy court filing thursday that it likely will be necessary to terminate and replace its employee pension plans    the carrier cited the size of further cost cuts and the need to find bankruptcyexit financing as reasons for such a drastic move
1,kuranyi gives klinsmann debut win vienna austria  kevin kuranyi scored a hattrick as germany began life under new coach juergen klinsmann with a 31 win in a friendly against austria
0,phelps thorpe advance in 200 freestyle athens greece  michael phelps took care of qualifying for the olympic 200meter freestyle semifinals sunday and then found out he had been added to the american team for the evenings 400 freestyle relay final phelps rivals ian thorpe and pieter van den hoogenband and teammate klete keller were faster than the teenager in the 200 free preliminaries
3,google market debut draws near googles market flotation draws a step closer as the firm asks regulators to approve the paperwork
0,sex spam clogs summer inboxes summer is traditionally associated with romance and spammers are trying to cash in by bombarding inboxes with porn
2,microsoft corp 20 a kinder corporate culture even a genius can mess up bill gates was a brilliant technologist when he cofounded microsoft  but as he guided it to greatness in both size and historical consequence he blundered he terrorized underlings with his temper and parceled out praise like scrooge gave to charity only the lash inspired the necessary aggressiveness to beat the competition he thought
2,giving voice to a billion things forbescom forbescom  when robert poor looks at the world he sees 50 billion embedded microcontrollers the workhorse chips inside cars traffic lights and air conditioners doing their jobs in splendid isolation then he imagines what will happen when they all can talk to one another
2,"ministers deny ; interest in : raising inheritance ; tax downing street distanced ; itself , last night from reports that ; inheritance tax will rise ; to 50 ! per ; cent for the wealthiest families"
1,hall defends 50m crown american gary hall has defended his ? olympic 50m freestyle . title in ! a hotlycontested ; race in athens
0,", palestinian carries tune and ? his ; peoples dreams palestinians are utterly consumed by the fate of the 26yearold man who ! will compete in lebanon in ! the final of the televised contest to . be named the : arab . worlds finest , singer"
0,"no sec decision on google ipo paperwork san jose calif  google incs plans to move ahead with its initial public stock offering ran into a roadblock when the securities and : exchange commission didnt approve the internet search giants ; regulatory , paperwork as requested"
3,palmsource chairman to step down the separation of palmone and palmsource will be complete with eric benhamous resignation as the latters chairman
0,"iraqi footballers fury at . bush iraqs olympic footballers , attack president bush accusing , him , of exploiting their ? success"
3,google goes public at 85share adpowers writes  ? quotit is official google will have its ipo debut at 85 per share to quote the article  39at . that price ; the low end of its recently revised range . google raised 1
3,ebay takes stake in craigslist san francisco  online auction giant ebay inc has acquired a 25 percent stake in san francisco classified advertisements web site craigslist the companies said friday
3,"hps ? fiorina stood , up by : argentinas president ltstronggthp worldltstronggt ? belly bands and threelegged stools"
0,phelps dominates 200 im for fourth gold athens greece  american michael phelps won his fourth gold medal of the olympics in the 200meter individual medley thursday night leading the entire race phelps finished in an olympicrecord time of 1 minute 5714 seconds lowering his own mark of 15852 set in the semifinals one night earlier
2,"audit of referendum supports chavez an ; audit by international observers ? supported official ! elections results that gave ? president hugo chavez ! a victory over a recall vote against ? him the , secretarygeneral of , the organisation of american states announced"
2,google auction begins on friday an auction of shares in google the web search engine which could be floated for as much as 36bn takes place ? on friday
0,"oil prices edge lower in asian trading still near , record highs afp ! afp  ; oil : prices . were slightly lower in asian . trading on easing ? concerns over supply disruptions but ! were still hovering ? near record , highs dealers ? said"
0,baseball gives selig contract through 2009 philadelphia  baseball commissioner bud selig received a contract extension through 2009 thursday as owners praised his 12year reign but dissension surfaced among teams in the decision to launch a world cup tournament    selig who has presided over revolutionary changes in the most traditional of major us
3,nortel networks to eliminate 3500 jobs nortel networks said on thursday it will slash its work force by 3500 or 10 percent as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits
2,officials forecast hope for victims of hurricane state officials say the statewide slowdown caused by hurricane charley with estimated losses of 20 billion will probably last no more than a month or two
2,nfl game tackles competition madden nfl 2005 sells more than 13 million copies in its first week also viacom considers buying midway games   hellip china mobile sanctions go2joy mobile messaging unit   hellip and more
0,"michael . phelps wins second ; gold medal athens greece  michael , phelps denied in ? his bid to , win seven gold medals picked up his second victory ? of ; the athens . games by winning the ? 200meter . butterfly tuesday : night in olympicrecord ; time phelps fell ? just ! short of his own world record holding , off takashi yamamoto ; to win ? in 1 minute . 5401 seconds"
1,"loaiza elicits boos esteban loaiza , is pitching his ; way . out of ! the new ; york yankees rotation jose : guillen and jeff davanon homered off the newest target ? of booing at yankee stadium and loaiza failed to make it out of : the fourth inning , yesterday in the angels storminterrupted : 61 win over new york"
2,the real time modern manila blues bill monroe meets muddy waters in the orient globalization does strange things to people a day in the life of a manila philippines based business consultant  proving that you really can talk about muddy walters bluegrass and work all on the same page
0,illinois helps residents import drugs reuters reuters  illinois residents will soon gainaccess to lowercost prescription drugs from canada the unitedkingdom and ireland sidestepping us regulators objectionsto imported drugs gov rod blagojevich said on tuesday
0,", japanese court dismisses fischer request ? ap ap !  a japanese court dismissed a request to halt ; deportation proceedings against fugitive chess legend bobby fischer his lawyers said friday"
0,"phaithful , phlock to the phinish as the : 21year , jam ends in tears phish made its farewell in vermont this past . weekend ! in true ; phish , style playing its own musical marathon swarmed by . adoring fans and isolated from the rest of the world"
0,exchess champion ? fischer to marry japanese woman tokyo reuters  in a bold gambit worthy of : the chess  champion he once was bobby fischer plans to wed a . fourtime ?  japanese great in ! the ? hope . of avoiding deportation home to the  . united states where he is wanted ! for breaking : sanctions
3,web site shows new york drug prices new york attorney general eliot spitzer who has sued many bigname drug makers for bilking the government with their drug prices on tuesday unveiled a web site that allows consumers to compare prices at pharmacies in the state
1,"muller hewitt for final unheralded gilles muller spoiled a starstudded finals scenario at the washington open today muscling aside andre agassi 64 75 to , move into a matchup with lleyton hewitt"
1,doped olympics weightlifters : named athens ? reuters  the international weightlifting federation iwf has named the : five who failed drugs tests before the athens olympics
0,"australia considers stockpiling crude oil : australian reports aug 21 bloomberg  australia 39s . government is considering stockpiling crude oil or refined petroleum products to protect the : country from disruption to oil imports the australian , reported"
1,judging error led to hamm 39s gold paul hamm thought his fantastic finish was too good to be true maybe he was right the international gymnastics federation ruled saturday that yang taeyoung was unfairly docked
0,thorpedo sinks phelps shot at record athens greece  the kid couldnt catch the thorpedo  and he wont be catching mark spitz either michael phelps quest for seven gold medals ended after just three events doomed by another bronze monday night in the most anticipated race at the olympic pool  the headtohead showdown with australias ian thorpe in the 200meter freestyle
0,"india , boosted as rathore grabs historic ; silver , reuters . reuters  india erupted , with joy as ? shooter rajyavardhan rathore clinched their ? first medal at the athens olympics on tuesday ! and their first ever ; individual silver"
3,vogue adds online shopping feature while vogues september issue is still offering its famously dramatic images of 6foot beauties clad in high fashion the publication is adding an extra element that is a bit more utilitarian  online shopping
1,british give shrink an olympian job london afp  british athletics chiefs have named sports psychologist david collins as the new performance director with the job of producing medal winners at the 2008 beijing olympics
0,"strike is averted , by deal with british ? airways london british airways and ! union leaders said over the weekend : that they had : agreed . to a ; threeyear pay deal for checkin , employees and . baggage handlers and that ? a ? strike scheduled for friday had ! been suspended"
1,". astros clemens leaves game against phillies philadelphia sports network  houston starting , pitcher  ! roger clemens left wednesdays 98 win over philadelphia with a  ! strained right ! calf"
0,americans falter in 100m freestyle prelims athens greece  top american sprinters jason lezak and ian crocker missed the cut in the olympic 100meter freestyle preliminaries tuesday a stunning blow for a country that had always done well in the event    pieter van den hoogenband of the netherlands and australian ian thorpe advanced to the evening semifinal a day after dueling teenager michael phelps in the 200 freestyle won by thorpe
2,audit finds no fraud in venezuelan election the referendum on aug 15 2004 rejected the petition to revoke the mandate of president hugo chavez the observation of the carter center mission confirms the results announced by the national election council
0,". boots takes gold ; at ; the ferret , olympics springfield ore  while worldclass athletes were grunting and groaning on the other side of the atlantic : sunday boots went for the ! gold . here in his own way"
3,google faces challenge of public company status your name is synonymous with searching the internet and youve just raised roughly 17 billion from investors by going public what are you going to do now
3,"expense ! issue draws mixed ; views from companies the ! debate over whether companies should  ; treat stock options ! as an , expense draws : mixed reactions from washington ! area businesses ! some of which ; have a ! lot to lose if ! the accounting rule changes"
3,facing middle age and aids although aids is thought of as a disease of the young in the united states it is rapidly becoming one of the middleaged and even the old
