label,text
0,just pulled up to school for the first time in my life ? in a good : mood ; only to find out it doesnt start for another 2 hours  .  ! #BLESSED
1,Normalizing relations with Cuba? Huh. Get ready for more of this crap. #ThanksObama  http://t.co/uv7NT22B2h : #bad
0,"@TorontoPost of course , not! Carding? What carding?"
0,"@cnsnews , I've heard liberals defending bombing : civilians along with terrorists w/o trial but still claim Enh Interrogations and Gitmo evil."
1,Why isn't there ! a ? playoff legend ! Romo? @EASPORTS_MUT
1,Well. If it's not one thing it's another. But hey why not a like new exhaust. #pissed  #GRRRR
1,@SouthamptonFC @LFC @SkySports Again ; fans come second. Thanks again
0,! Need a two hour ; long ! hug insecure
0,2014 . can't end fast ! enough! Stupid ! dead battery.
0,Gah! ? Desperately trying : to bust this cold!
0,I don't ; think you get how embarrassing and trashy all of that really is... :  s'cute
1,"@Slate Personal . protection, 2nd amendment. Nothing to see . here. :  #SMFH"
0,"A decent Christmas party for a change, and an added bonus of ; not ; missing the last train for a change!"
1,.@nypost .@Cameron_Gray Oh that : makes it ? all better!!!
1,"@Ron_Peterson to tell you the truth, . that may . have been the ! smartest thing you've . ever tweeted.  #ireallythinkyouareafuckingidiot"
0,It's hard to take people seriously who can't spell and think grammar is a type of cracker.
1,! Final projects ugh |Keeping me from ? being productive.| #butnotreally
0,"Feels like we , been ? playing ! against ! the : refs most games. That was a clean Wall block . that the refs took away. ! Ugh."
1,"We rebooted the server, ? it seems ok now ! YEY! #facepalm !  #devops"
0,"Close to white folks, . I am forced . to witness : firsthand their willful , ignorance about ! the impact of race and racism.-Bell ! Hooks #Ferguson"
0,"Tripped over my , own feet three ; times in the ; hall ? #soclumsy"
0,"@HELENOHENZO Your not understanding something, does  make you an expert in the field."
1,"K should ? give us a famous bf, some fan need an entertainment apparently"
1,"; @Crackmacs @OpChemtrails better bust , out my aluminum hat!!!!  #chemtrailsdontexist #growup"
0,@M1ck3yCharlton ? miss u ! lots and : lots like jelly tots
1,"Gotta study and I'm like, who cares?!  ! #perksofbeingasenior :thumbs_down_sign:"
1,"@GIBiz @MonsieurHutt Porn!? Where where?? Move that naked woman, I can't see where the porn is!| #games"
1,@rikkiblack69 @SirTomhunter @MarieMacklin @RoyalAwesome ! asked back to be models next ; month
0,On my ; lunch break : so sleepy:sleeping_face:
0,Good morning hank its saturday im starving
0,"; @BrandonTierney : I also support instantly murdering 12 ! year olds with , fake ! plastic guns in public parks..."
1,I hope we get . an ice ; palace and ; an invisible car #SPECTRE
0,Hmmm what to have for : dinner
0,What do you all think of that Salt-N-Pepa Geico commercial? I think it's pretty terrible.
1,@AlWashingnutt Yeah...me too!!!!! !! x
0,She's got ? something you just can't trust|It's : something : mysterious....
0,"I'm hungover and I'll ? end , up : staying ; up until 4 :'("
0,@afterglide definitely consult a tax professional on that one.
1,@being_Akash_ nice to ! know that you give me ! so much importance. :)  :] @being_tiger_ . n
0,@DFDSUKUpdates why all the delays?  happy
1,"Well. If it's not one thing it's another. But hey why , not a . like new exhaust. #pissed :  #GRRRR"
1,": @vikramchandra , @ndtv #IndiawithPakistan but it can never be other way round"
0,@johnmcternan @theSNP : in : the paper that ; supported the blackshirts.
1,"@Ron_Peterson to ? tell you the truth, that ! may have been ? the ; smartest , thing you've ever tweeted.  . #ireallythinkyouareafuckingidiot"
0,? Oomf should be chowed in her mom's ? car
0,", My Com , professor keeps talking ? about Twitter. ||Lel"
0,We all have them people on Instagram who put the most pointless hashtags #Can #you
1,"Great, I've got a lung infection. , This is fun. :/ | : #notfun #miserable"
0,you know what would make break 1000000x times better?||not having practice.
1,lol drunk mom on Christmas ? is so ; fun...  #thisisadisaster :white_smiling_face::pistol::cocktail_glass:
1,Agree with @FrankFerragine @BTtoronto some people . sigh : so others will ; hear them. My husband sighs all the : time. Around me. #Curious
1,Shit : just keeps getting better and ? better!!! #ShouldOfStayedInBed
0,! @19jman86 ? apple jd?  sure
0,So glad to be off ; work
0,"@PompeyAirways : yeah, and you ignored ? my point..."
1,Library computer has frozen again ! #shocker
0,And I used to hate coming to uni to do work lol
0,Ed Sheeran smashing out his tunes on the Victoria's Secret ; catwalk. Ginger legend!
1,"@coribeth_ guess the ! #bronut works best in combination , with these #mentissues ! . wanna see this #'sneeze'  http://t.co/qCQVL0pqz5"
1,@vikramchandra @ndtv #IndiawithPakistan but it can never be other way round
1,@NathanFillion the resemblance is uncanny!  #firefly @Castle_ABC http://t.co/rYWjkNTUEr
1,"@dohanews they can use white/maroon , xmas trees :)"
1,"Great, I've got a lung infection. This is fun. :/ | #notfun #miserable"
1,"Write , cover page ! of thesis. Laptop commits ! suicide ;  #thankgodforbackups http://t.co/Bdj0HlBC9G"
1,Please instagram all your xmas presents I'm dying to see them ;  #nobodycares
1,Agree with @FrankFerragine @BTtoronto some people sigh so others will hear them. My husband sighs all the time. Around me. #Curious
1,@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows ! my mind!  #NFLDraft
1,@letote good thing we had enough . #whitewine and #christmastrees to survive if ; needed. #chardsohard #fashion  ;)
0,"Buzzing about going home , tonight, back for a , month"
1,Did #lyntoncrosby invent #CameronMustGo ? Puerile attacks on @Ed_Miliband in RW press provoked #webackEd which led to #CameronMustGo
1,"Powerful picture taken by a #protester the #night before #christmas. The ,  is real. http://t.co/EVdeheqpsj"
