label,text
0,@RevArun @c_of_e Money 4 ! Church|http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2: https://t.co/cpJZkEgNe7
1,"I tweeted about how dangerous Glasgow is, : and a Glaswegian party venue followed me. #win"
1,http://t.co/nzK3dNmOAD . Having sooo much fun in math : :face_with_tears_of_joy: #math #class #drawing #music #eye #snowflake #flo... http://t.co/gEKOKAACXI
0,Miss skateboarding . and it's ; not even winter ; yet :pensive_face::confounded_face: #skateeverydamnday  @ Hoof Life:victory_hand:️ http://t.co/DakSuvOS43
0,Still feeling sorry for myself ? about being ? to ? ill to go out last night!!! :loudly_crying_face::crying_face: here's my memories from... http://t.co/I3fIk1k6ek
0,"Rants about being : pregnant and ! judged for buying ! a bottle of wine. Poses , weekly for ! belly pics : in front . of wine rack.  or #fail ?"
1,"@ChloeLaylaa the hostel is fine actually ! but , I've ? probs ? caught . like 1000 germs walking around London, thanks for wishing . me better"
0,@CBCToronto: Toronto : man finds woman with ex-girlfriend's name for free trip around the world I should have changed my : name!!!!!
1,Spilled milk onto . my boob. Oh the .
1,3:30am is a great time to learn the male reproductive system. with the biggest and brightest power point slides ever.  #biology
1,"at least... , I've . got spine, cause I can feel the ? pain in : my back. #thinkpositive|"
0,": Pulis ; turned down #NUFC cos he wants : to spend a load , of money on , 30 year old : journeymen. Parish wouldn't let : him & . neither would MA. : #cpfc"
0,"I'm , not staring , at your boobs hun..I'm looking at ! your heart #relax"
1,? Really looked forward . to waking up this early for finals......
1,"Fell asleep @ 8:30pm, woke up at 12:00am. Can't ; get back : to #sleep. I had almost forgotten about you #insomnia - ? welcome back."
1,People who don't get : you are THE BEST!
1,@JordanNoftall that's . funny
0,"Women do some crazy ass shit just to be with a guy and . the least , they can do for her is , break ; her ! heart!| all but some."
0,"Some , ""new"" vinyl on the turntable tonight. Here's to ; you Joe. @TheClash #JoeStrummer #Sandinista http://t.co/2N3ZjJZYQo"
1,Duale seeking ! 'protection : to be heard' ? when the proposed ! security bill will trample the basic rights of his pple and their freedom
