label,text
0,@infowolf1 Did I really need to put a  hashtag? Oh dear!
1,So happy i havent gone to bed yet
0,", I can't waitlove#this#is#love#and#you#cAn#tell#me#how#much#this#is#gonna#last#beth#rip#twd#forever#bae... . http://t.co/HGOILGoFoS"
0,"At http://t.co/pMUxNeOvrn -- #Sketch #today #spudshed . #fresh . #fruit ,  .only.for.eating #for.drawing.as.well #drawing ; #Perth"
0,"If only I , possessed half the balance legolas has"
0,"@ShahbazSZM but talking rubbish ? about system on twitter can't change anything , |   | Action speaks louder than words"
0,"; @Mhabs15 I'll , bring it to work. ; The hoops ? one is a hit http://t.co/d8oY6uctMf"
0,@craigavonc left out blue bin as per calendar but not lifted. Checked your website and it indicates green bin  happy
1,I'm so good at sight singing.
0,I ! know that what I see ; |Is  what you see |What it is that I : know feel ! and see is that the #time... http://t.co/iwMP39SjJ5
1,Beautiful ? day
1,Well today has just started off great.
0,"EXO COMING SOON 2015||Better pray this is better with 10 members *sighs* But either way, obssessed fans would still be obssesed ._."
0,"@georgenickss happy birthday young one, have a gooden lad!x"
0,"@ChancelleM , have you heard back . yet?!"
1,Thank you Harding science department for only giving us 55 minutes for our final.
1,Keep running from your ; problems. That always ? works.
0,I'll ? go to Hawaii!|Bye Bye my friends! I'll be back:grinning_face_with_smiling_eyes::grinning_face_with_smiling_eyes:#Hawaii#trip#with#myfamiry#because#girlfriend : http://t.co/4eR9E8Nxde
0,"Some ""new"" vinyl on the turntable tonight. Here's to you Joe. @TheClash #JoeStrummer #Sandinista http://t.co/2N3ZjJZYQo"
0,@MughalowOwais @BatoolMisbah lol  then
1,My glasses are . blinding ; me.
0,"EXO COMING , SOON 2015||Better : pray : this ! is better with 10 members , *sighs* But either way, obssessed fans ! would still be obssesed ._."
0,@seanmendes69 on stage at #flzjingleball at the @amaliearena ! in #Tampa #iheartradio ? http://t.co/zcptj6S5qn
0,", Marked as to-read: Becassine Pendant ; La Grande Guerre by Caumery https://t.co/4GCuVYuXox"
1,Remember Black ; Friday was a bust....
0,@KelseyDPeterson @Get_Merked22 I can sign you ? in as my guest....
1,Big shocker that 2 of 8 called in
0,#Indonesia -- #Four #large #parts of #crashed #AirAsia #jet #found #on #sea #floor. http://t.co/X25ajY5qiZ via @reuters
