label,text
0,"@gracewoods_ fucking copycat, although you are name is mint and the act we share is probably a cause for the celebration of filled alcohol!!!"
0,"@gracewoods_ fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!
"
0,"you do, fish and mammals have nothing in common @1kenwilson24 @brownbearmike1 @HotNostrilsrFun @Rapmonster"
0,"you dont, fish and mammals have nothing in common @1kenwilson24 @brownbearmike1 @HotNostrilsrFun @Rapmonster
"
0,"@normwilner Unless rogue theaters start showing it, or are they sold online?"
0,"@normwilner Unless rogue theatres start showing it, or it gets sold online?
"
0,"In addition to some too expensive holiday candles, I haven't seen a #CyberLunday deal valid today. Brutal."
0,"Besides some overpriced holiday candles, I haven't seen one #CyberMonday deal worthwhile today. Brutal.
"
0,"@CharleyDaveler I guess you're admiring coffee, but it can't be fair"
0,"@CharleyDaveler I infer that you are besmirching coffee, but that can't be right
"
0,What can a fish be other than a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48
0,"really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48
"
0,"LOL actually all 3 are, but I use 1 just for email @TimOwensby @RBRNetwork1 @Dauphin__Man @TheOldBreed1775 @real_smart_guy3"
0,"LOL actually all 3 are, but i use 1 just for email @TimOwensby @RBRNetwork1 @Dolphin__Man @TheOldBreed1775 @real_smart_guy3
"
0,@bgracely @Horn_Chris must be a joke about tootin a Horn somewhere
0,"@bgracely @Horn_Chris gotta be a joke about tootin a Horn somewhere
"
0,Quizfreak http://t.co/Xh84TdHpoc #proud #Brummie here xxx
0,"Quizfreak http://t.co/Xh84TdHpoc #proud #Brummie over here xxx
"
0,"Just traded for a bottle of rum in the best, and dropped from £18 to £14. Happy fucking new year to me!!"
0,"Just bartered for a bottle of rum in best one, and got it down from £18 to £14. Happy Fucking New Year to me!!
"
0,Can't wait to be home but will miss a lot of people :thumbs_down_sign: ah roll on the new year :thumbs_up_sign: #sligo willbehithardagain
0,"Cannot wait to be home but gonna miss alot of people :thumbs_down_sign: ah roll on the new year :thumbs_up_sign: #sligowillbehithardagain
"
0,Tell me that #Quintentential #Aussie is no longer a paid job of Govt and then have the hyde to buy abroad online and not pay GST. mmm #SadButTrue
0,"Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue
"
0,"@KmbSmile @MyLittleBloggie When were you so cynical, Karna!?!"
0,"@KmbSmile @MyLittleBloggie when did you get so cynical, Karna!?!?
"
0,"#Aussie #gunman #was #on terrorist #watch #list, PM #says: SYDNEY – The shooter who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W"
0,"#Aussie #gunman #was  #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W
"
0,"@amyengineer @daverdfw you're driving a ferry, aren't you? You're a beautiful smart woman?"
0,"@amyengineer @daverdfw you drive a ferrari, right? you being a beautiful clever woman?
"
0,Body language for trust - the easiest thing you can do to make a difference: http://t.co/Jv92osRVuO via> @DrGaryWood
0,"Body Language for Confidence - the easiest thing you can do to make a difference: http://t.co/Jv92osRVuO via> @DrGaryWood
"
0,@ManuclearBomb what's your argument? $1/2.5 for Butler > $2/$17 for Morales?
0,"@ManuclearBomb what is your argument? 1/$12.5 for Butler > 2/$17 for Morales?
"
0,People like this Funk. Let's continue the Tweet. http://t.co/4miR8pQG5J
0,"People are loving this Funk. Let's keep the Tweet going on. http://t.co/4miR8pQG5J
"
0,The first instigated memory of the mouse was only the sound: BRAAAWWWWP!
0,"The mouse's first incepted memory was just the sound: BRAAAAAAWWWWWWWWWP!
"
0,@jonmorosi It took 4-5 hours but in the end Morosi was right and Nightengale's sources were wrong.
0,"@jonmorosi It took 4-5 hours but in the end, Morosi was right and Nightengale's sources were wrong.
"
0,Hummingbirds #Are #Experts #at #Hovering #After #All: #Background #Motion...: If the hovering... http://t.co/E189iHBpZr
0,"Hummingbirds #Are  #Experts #at #Hovering #After #All: #Background #Motion ...: If the hovering ability of the... http://t.co/E189iHBpZr
"
0,I work in front of the laptop for 8 hours a day and suffers terribly dry eye. #bloodshot #eyerony
0,"I work in front of laptop for 8 hours a day and suffer terrible dry eye. #bloodshot  #eyerony
"
0,#notcies #eu Juncker receives an anniversary surprise: One million signatures opposing TTIP and CETG http://t.co/f3knbTnus8
0,"#notcies #eu Juncker receives birthday surprise: One million signatures opposing TTIP and CETA http://t.co/f3knbTnus8
"
0,"It's so much easier for me to write what I feel than to actually say it, I get nervous and stumble on my words if it's on my heart."
0,"It is so much easier for me to write how I'm feeling than to actually speak it, I get nervous and stumble on my words if it's on my heart.
"
0,It was a long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF
0,"That was one long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF
"
0,"btw, model, 140 limits @RBRNetwork1 @1_Free_Man @TheLexZane @Anan_VII @ABPT_Rocket @kusun0"
0,"btw, dummy, 140 limits @RBRNetwork1 @1_Free_Man @TheLexZane @Anan_VII @ABPT_Rocket @kusun0
"
0,My prayers have been answered.
0,"My prayers have been answered WE OUT
"
0,@nine_oh ****ALERT **** Please change this.... YOUR ME>>> #NowJouer Feel @WHATCHAKNO - Who I am :: Tune In: http://t.co/MV7gJcM7l3
0,"@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3
"
0,Miss skateboarding and it's not even winter yet:pensive_face::consolidated_face: #skateeverydamnday @ Hoof Life:victory_hand:-- http://t.co/DakSuvOS43
0,"Miss skateboarding and it's not even winter yet :pensive_face::confounded_face: #skateeverydamnday  @ Hoof Life:victory_hand:️ http://t.co/DakSuvOS43
"
0,@livwarfield=Part 2~ ARTICLE=Clacping_hands_sign::purple_heart:::white_right_pointing_backhand_index::cross_mark::heavy_large_circle::white_left_pointing_backhand_index::person_with_folded_hands::person_leashing_both_hands_in_celebration: ~EUXPÉTÉ http://t.co/wXi48kQowD
0,"@livwarfield |Part 2~ ARTICLE|:clapping_hands_sign::purple_heart::white_right_pointing_backhand_index::cross_mark::heavy_large_circle::white_left_pointing_backhand_index::person_with_folded_hands::person_raising_both_hands_in_celebration:  ~UEXPECTED http://t.co/wXi48kQowD
"
0,Are you excited about the new #Blackberry #Classic #smartphone? Check this article by @engadget: http://t.co/k4Fid6DpR4
0,"Are you excited for the new #Blackberry #Classic #smartphone? Check out this article by @engadget: http://t.co/k4FId6DpR4
"
0,"I may need to read the books again, but have we ever discovered what Draco's Boggart was? @jk_rowling #HarryPotter #dracomalfoy"
0,"I may need to reread the books but did we ever find out what Draco's Boggart was? @jk_rowling #HarryPotter #dracomalfoy
"
0,Bridal#jewels# exciting range#hand made#high quality jewellery on the high street#bespoke#custom http://t.co/fzhWTnzaf4
0,"Bridal#jewels#exciting range#hand made#high quality jewellery on the high street#bespoke#custom http://t.co/fzhWTNzaf4
"
0,@studioloraine always a dignified choice @UMN_Give @UMNChildren @sciencemuseumn @TheSoapFactory
0,"@studioloraine always a worthy choice @UMN_Give @UMNChildrens @sciencemuseummn @TheSoapFactory
"
0,@nytimes @NYTnow #Dirt is not your country!
0,"@nytimes @NYTNow #Dirt  its not your country!
"
0,it was RT @bobthegreenoo @mikewickett how is a spoiler alert?
0,"it was  RT @bobthegreatooo @mikewickett how is that a spoiler alert?  Haven't so called 'experts' predicted him as being the winner?
"
0,Favourite @Singeology101 if you like Romance Romans. http://t.co/zNVC7fpIFf #Love #Drama #Romace
0,"Favorite @Singleology101 if you love Romance Novels. http://t.co/zNVC7fpIFf #Love #Drama #Romance
"
0,@snake_moore You return to the territory of the hate figure
0,"@snake_moore You're slipping back into hate figure territory
"
0,@fbourdeau @ChrisLaBossiere @alexabboud Another reason for this. Competition generates innovation and the consumer wins.
0,"@fbourdeau @ChrisLaBossiere @alexabboud All the more reason for it. Competition breeds innovation & the consumer wins.
"
0,Look at the wog head I'll have after Christmas then #last #hair #cut #for #Christmas
0,"Watch the wog head I will have after Christmas then #last #hair #cut #for #christmas
"
0,"@CopperBronzed So, when Tory got up and thanked Ford for his service to the city, I wanted to be a barf."
0,"@CopperBronzed So when Tory stood up and thanked Ford for his service to the city, I wanted to barf.
"
0,Abraham was actually from modern Iraq (Ur of the Chaldea) @TimOwensby @ILOVEBLACKMEN01
0,"Abraham was actually from modern day Iraq (Ur of the Chaldea) @TimOwensby @ILOVEBLACKMEN01
"
0,Women do ass bullshit just to be with a guy and the least they can do for her is break her heart!
0,"Women do some crazy ass shit just to be with a guy and the least they can do for her is break her heart!| all but some.
"
0,I still feel sorry for being sick to go out last night!!! :loudly_writing_face::criing_face: Here are my memories of... http://t.co/I3fIk1k6ek
0,"Still feeling sorry for myself about being to ill to go out last night!!! :loudly_crying_face::crying_face: here's my memories from... http://t.co/I3fIk1k6ek
"
0,@EZoneelectronics @Vh1Supersonic=Yo boy! You know how to keep the atmosphere of the party.
0,"@EZonelectronics @Vh1Supersonic |Yo boy! You guys are know to keep the party mood going. |#EzoneGoaDiaries. http://t.co/ovsi1cyLFr
"
0,"#Yes, they are all our brothers/sisters when you speak this way, you are our Father in Heaven child neither"
0,"#yes they're all are our brothers/sisters when you speak that way you are  Our Father In Heaven child either
"
0,@bjamesweed how do you like this losing son?
0,"@bjamesweed how do you like that loss son?
"
