label,text
1,braves edge dodgers ap ap johnny estrada homered drove in three runs and started atlantas goahead rally in the ninth inning and the braves beat eric gagne and the los angeles dodgers thursday night
0,high stakes showdown in najaf the fallout from shiites fighting us marines in a holy city could weaken iraqs new government
0,chechnya marks ispecial birthday the authorities in wartorn chechnya announce cash gifts for boys born on the slain leaders birthday
0,list of foreigners taken hostage in iraq ap ap insurgents in iraq have kidnapped dozens of people in their campaign to drive out coalition forces and hamper reconstruction
3,olympic it security requires advance planning if theres one thing the atos origin sa team understands as lead contractor for the olympic it infrastructure its that you must learn from your mistakes
1,preview day six day six of the olympics will see great britains nathan robertson and gail emms go for gold in badminton
3,microsoft touts isender id to fight spam scams proposed tech standard would verify senders ip addresses to cut malicious phishing and annoying viagra pitches
1,moore recreational battles back to top list at us amateur championship ryan moore staged a remarkable comeback to overhaul luke list in metrical unit the hole final of the us amateur championship at the winged foot muddle golf club on sunday
3,birding column moments of photographic rapture birdman of belair mathew tekulsky waxes on the serendipitous moments when birds and timing alight together for memorable photographs
3,blackberries play politics wireless devices slip past antigadget policies to open a new communications channel to lawmakers
1,cavaliers sign varejao to threeyear deal ap ap the cavaliers signed brazilian forward rookie anderson varejao to a threeyear contract thursday
3,vonage hangs up on some callers voip company advert suffers delays the second narrate glitch in two weeks those affected are told to reboot their adaptors
0,fighting continues in crusade najaf at least astatine five loud explosions have been heard hoosier state near holy sites in the iraqi city of najaf sniper fire could also he heard coming from the area
2,oil raises economists concerns washington crude oil prices soaring to nearly a barrel have heightened concerns that sustained high energy costs could drag the slowing us and world economies into a more serious downturn
3,virtual veins give nurses a hand a virtual reality hand complete with vital veins that feels could help trainee nurses practise their jabs
1,sicom st louis ticker the cincinnati reds continue to find new ways to lose to the st louis cardinals
3,aside filesharing networks found not guilty by david kravets san francisco ap grokster ltd and streamcast networks inc
1,cink leads from woods after second round of nec ryder cup captain s pick stewart cink continued his assault along on the million mrs henry wood nec invitational after completing his raindelayed afterward second round in twounderpar on saturday
1,us wins sailing gold americans paul foerster and burnham win their first olympic titles after outmaneuvering their rivals during the final class race
2,euro stocks slip london reuters high oil prices weighed on investor sentiment across financial markets on wednesday as the price of crude stuck stubbornly close to a barrel
3,ibm strikes at sco claims sco groups faltering on linux faces another threat as big blue files motion seeking dismissal of contract claims
1,nfl roundup flutie eases back in knee surgery an diego chargers doug flutie participated yesterday in his first full practice since having arthroscopic surgery on his knee aug
0,singapore backs beijing quotprovoked taiwan singapore s new leader tried to mend beijing with china today saying the citystate would back on if taipei fences quot armed conflict across the taiwan strait
3,scientists given cloning goahead the first request by british scientists to clone human conceptus has been granted by experts
3,aol yahoo add new antispam tools services try different approaches to sender authentication to halt spam
3,crack fedora core and red hat enterprise linux ltstronggtsite offerltstronggt save at the reg bookshop
2,united pension end is likely united airlines said termination and replacement of all of its pension plans quotlikely will be required quot for the company to exit bankruptcy and attract financing
0,iran hangs three drug smugglers in public paper reuters reuters iran has hanged three drug smugglers ina public square in the southern province of kerman thejomhuriye eslami newspaper reported on saturday
1,mistakes are abundant missed tackles penalties and other assorted errors marked marylands intrasquad scrimmage saturday a dire portent of another slow start
0,un airlifts food to darfur town the un drops food into remote communities in sudans troubled darfur region that are cut off by rain
3,sharp brings d to pcs without the funny specs firm brings tech already used in phones and laptops to desktops screen creates different pixel images for each eye
0,malaysian bird flu an isolated case a recent case of bird flu malaysia appears to be an isolated event the world health organization says health officials have confirmed the case found in the poultry of
2,uk challenge of india outsourcing the high street bank could be facing legal action over the transfer sensitive customer data overseas to call centres in india
2,parmalat adds credit suisse extraordinary commissioner enrico bondi has filed a claim against csfb in a parma court in connection with a forward sale agreement between the bank and parmalat dating from january
2,indonesia urges debt flexibility indonesia song on the international monetary fund to help reschedule its debts as figures reveal a slowdown in economical growth
1,boston red sox team report august sports network martinez will try to win his fourth consecutive decision he takes the hill the boston red sox in the middle test of a series against the visiting toronto blue jays
0,china tests new guided missile amid taiwan tensions beijing reuters china has successfully tested a new guided missile projectile it peking says is highly peiping accurate state media said on tuesday amid rising tensions with archrival taiwan
0,rice counsels patience during iraq war ap ap defending president bushs foreign policies national security adviser condoleezza rice counseled americans be less critical of every twist and turn in iraq
3,ati brings digital tv to your pc hdtv wonder snags free highdefinition transmissions for budget viewing
0,major power liechtenstein royals swap power liechtensteins prince hansadam hands over power to his son and invites the whole nation to a garden royal stag party
3,pacific may be seeing new el nino ap ap warming water temperatures in of central equatorial pacific last start may indicate the month the a new el nino
3,new bird species discovered london a new species of flightless bird has been discovered on a remote island in the northern philippines filipino and british researchers announced tuesday
3,linux release features windows support release makes use of technology from codeweavers to let customers run application from microsoft
0,welsh to ban strippers in limousines reuters reuters strippers and pole dancers should be banned from performing in stretch limousines according to abritish report
2,mills buys venture in gmowned malls virginiabased reit will pay b before dealing costs for a stake in the properties young house of york reuters real estate investment trust mills corp said tuesday it will buy a percent managing stake in nine regional malls from a general motors
2,citigroup s bn bond trade under investigation citigroup the world s biggest bond broking firm could face corrective activity from the financial overhaul authority following an unprecedented bn trade in european government bonds this month
0,better head injury test devised scientists for an electronic device to test develop serious head injuries
0,pakistan holds alqaeda suspects police in the pakistani city of peshawar say they have arrested two foreign alqaeda suspects
3,study broadband leaps past dialup for the first time ever more americans are seeking faster connections to access the internet
2,italys parmalat sues exauditors parmalat issues proceedings against its exauditors over their dealings with the insolvent group before its near collapse
2,barclays set to purchase credit card company london barclays said wednesday it would buy the us credit card company juniper financial for million as part of its international expansion plan
0,najaf between a escalated test for allawi clashes battle us troops and sadr militiamen crucial thursday as the us surrounded najaf for possible siege
1,olympia oozes games history olympia greece great players will a stage today at the ancient olympia stadium
2,lifepoint to buy rival for bln lifepoint hospitals has agreed to acquire rival province healthcare for billion in cash and stock to broaden its geographic reach
0,car bomb kills two in baghdad a car bomb exploded north of the iraqi capital baghdad today killing two people and injuring four others including a deputy provincial governor police said
0,kidnapped in iraq others freed ap ap armed assailants assail a convoy of turkish trucks bear supplies to us forces in iraq and took two turkish drivers hostage their company state monday
0,man charged with killing exminer a threshold yearold old man is charged with killing a former miner who was found on his nottinghamshire doorstep
0,israeli pm defies party rebellion israels ariel says he will ahead with plans for gaza disengagement despite a rebuke from likud party
3,voyager prepare for action at the outer limits of our solar system a solar shock wave is about to overtake nasas voyager spacecraft
1,soxs tues guillen hospitalized chicago white sox skipper ozzie guillen master entered a chicago hospital on tuesday with symptoms that suggest kidney stones
1,homer sinks corey koskie hit a tworun homer in the th inning as overcame a tworun deficit for a win sunday giving them a twogame lead over the secondplace indians
0,dominicans post juiced message dominican new yorkers had a message yesterday for the newly elected chairman of their homeland let there be light
1,defeat for gb canoeists british canoeists nick smith and stuart bowman are out of the mens c doubles
0,us arrests two hamas racketeers us authorities arrest two alleged members of palestinian militant group hamas on racketeering and terrorism charges
0,kerry comrade breaks war a us officer who fought alongside presidential candidate kerry in vietnam condemns his
3,lindows postpones ipo its legal battles over the software vendor will focus on sales until the market ripens
1,us wins medley relay the united states wins the mens meter medley relay in worldrecord time saturday night giving michael phelps his record eighth medal of the athens olympics
0,eight utter as typhoon brings heavy pelting to southern japan eight people are utter and two are missing in southern japan because of heavy pelting brought by a typhoon
1,nl notables expos first baseman nick johnson was start hit on the side of the head by a hard grounder in the third inning and was carried off the field on a surd stretcher johnson immediately went down state bump off face first onto the infield the expos said johnson never lost
0,kathmandu hit by rebel blasts suspected maoist rebels in nepal explode two bombs in kathmandu on the third day of a blockade of the capital
2,freddie mac says may face sec action reuters reuters mortgage finance company freddiemac fren on wednesday said it may face civil action from theus securities and exchange commission for possible violationsof securities laws
0,new afghan army asserts itself rivals in western islamic state of afghanistan agreed to a ceasefire last week after the arrival of the afghan interior army
3,news diy phishing kits hit the net doityourself phishing kits are being made available for download free of charge from the internet according to antivirus firm sophos
3,aol yahoo add new antispam tools try services different approaches to sender authentication to halt spam
3,hps livermore opts for content free content ltstronggthp worldltstronggt booth intro steals show
2,best buy sued for ripping off consumer giant us electronics retailer best buy has been sued by the state of ohio over alleged unjust and deceptive business practices
1,giants edge expos jt snow singled in the winning run in the ninth to lead the giants to their sixth straight victory over the expos on tuesday night
1,hamm wins gold for us paul hamm of the united states won the gold medal wednesday in allaround gymnastics
1,baseball today ap ap atlanta at los angeles pm edt the national league division leaders meet in the opener of a fourgame series
3,armadillo aerospaces x prize prototype crashes spacecom spacecom armadillo aerospace of mesquite texas has reported a crash last weekend of their prototype x prize rocket
0,truckers defy kathmandu blockade more lorry drivers are bringing supplies to nepals capital in defiance of an indefinite blockade by maoist rebels
1,patterson win allaround gold carly patterson became the first american woman to wins the gymnastics allaround competition lou mary since retton in
1,pavano homers as marlins beat padres ap ap carl pavano pitched six solid innings hit a home run and drove in two runs to lead the florida marlins to an win over the san diego padres on sunday
0,china tests new guided missile amid taiwan tensions beijing reuters china has successfully tested a new guided missile it says is highly accurate state media said on tuesday amid rising tensions with archrival taiwan
3,linux release features windows support release makes use of technology from codeweavers to let customers run applications from microsoft
2,nortel s accounting under investigation nortel networks is under investigation by the royal canadian mounted police for irregularities in past accounting practices announcement of the investigation two days before its release of first and secondquarter financials caused
