label,text
0,the critics were like a movie will break your heart etc so a friend of mine and i great when we decided to this movieill make it short and leave it to others to about its content this movie tries to touch you to reach your heart but it fails at least for me and my friend tooeverything that happened only on the screen it always there not here where i am i thought most of the time hmm somethings happening on the but its only on the its not realmovies which succeeded in touching me east of eden terms of endearment jerry maguire babe mies vailla menneisyytt
0,i loved the first little mermaid i know the songs i love the characters and i love the story i cant say anything like that about the little mermaid ii return to the sea it was terrible lets start with the story the plot was a reversed copy of the first movie same situations except in reverse ariel wanted to live on land her daughter melody creative name wants to live in the sea ariel was tricked by ursula melody is tricked by ursulas sister morgana ursula had a sister not sure where that came from besides being a strange copy of the first movie this movies plot seemed tired and was uninteresting compared to the first movie now the characters ariel what happened to her no longer the spunky headstrong teenager we all knew and loved from the first movie she has now grown up and her personality went down the drain her singing voice wasnt as strong either due to either jodi benson being a lot older or the songs being so terrible that her talent was wasted prince eric while he didnt have a lot of personality in the first movie like all disney princes somehow his new voice and his very few lines made him even more robotic to top it off he just cant seem to defend himself and ariel becomes the tough one of the two sebastian say goodbye to the lovable crustacean from the first movie because a whiny aggravating little crab just took his place he also had no good songs in this movie you can almost forget the glory he earned from singing the incredible under the sea and kiss the girl from the first movie and it is very sad flounder they destroyed him he is not cute anymore his voice is terrible and he has kids now whos the mother morgana she appears to be ursulas sister out for revenge against her mother who always picked ursula over her so she plans to get king tritons trident to become the new ruler of the sea sound familiar anyway shes a very clich villain and falls short of ursulas greatness as a villain she epically fails at witchcraft shes not very tough and not threatening at all melody ariel and erics daughter ironic name because she unlike ariel cant sing her voice is annoying her friends a walrus and a penguin really are not funny or likable and shes exactly the same as ariel in reverse and not as likable skip this one dont watch any disney sequel except for lion king this movie butchered the classic that lives in all our pleasant memories i will look back at this movie and just laugh
1,i agree with the previous comment in naming the films content everyday madness but would like to specify that dog days is about how women are treated in a male society the episodes we get to see here show some variation in everyday discrimination of women mostly categorized by age group there is a senior man who makes his new partner look and act the way his late wife had treating her like a doll that shall act worthy of wearing the formers dress there is a middleaged couple in whose relationship she is nearly a slave and he a violent master further we find a somewhat younger man who does not communicate with his friendwife and instead of being really jealous about her affairs even makes friendship with his competitors a young adult man makes clear to his friend a girl who is really troubled by being pretty enough for him that she has to be the jewelry at his side and to follow his narrow viewed rules of etiquette finally there is a man in his late fifties who calculating his own advantage delivers a simpleminded hitchhiking woman to a furious client who taking her for guilty in having scratched his car natural beats her up to complete the examples we find the pal of the man in the masterslavecouple after collectively abusing her threatening and humiliating the former in her sake for she shall get rid of her partner and take himself as her new master during all this the inhabitants of the lately built neighborhood in which the action takes place rests under the burning summersun absolutely motionless sic unfortunately i have not seen the last minutes of this shocking and authentic portray of the archaic structures that still reign in the relationship between women and men but what i have seen convincingly analyzed the repertoire of discrimination probably a helpful tool in teaching even the less sensitive spectator what goes wrong due to good visualization
1,this unpretentious horror film is probably destined to become a cult classic much much better than of the scream ripoffs out there i even hope they come up with a sequel
1,based on the true story of the fbis hunt for those who were responsible for the bombing of the world trade center building a very good film that delves into the fbis use of informants and how possibly the tragedy could have been avoided of
1,like the get first onethe team of jackass are back to try to ar kill themselves with whatever manner they see fiteitherits fitting yourself in a tractor tyre squad and rolling down a slopeor jest getting yourself deliberately smashed look out by a bullor something even worsethe first one was crazyand thats how you can describe itit was also really hard eventide laughing filmbut this one is completely funny nutsits got even more dangerous stuntsand even harder laughssoi think watching dumb idiots getting themselves killed is gonna be the funniest thing this weeksobefore borat comes outi personal manner shall laugh my a out
1,tale of two sisters has to be one of the creepiest films ive seen recently in the end there is no actual supernatural element despite what one is led to expect throughout the film the story seems to be about two sisters who upon returning to their fathers home after some sort of absence later revealed to have been a stay in a mental institution are forced to deal with not only a seemingly schizophrenic and possibly bipolar stepmother who lashes out at the younger of the girls when the mood strikes her and cheerfully tells them shes prepared a special dinner at another time but some presence as yet unexplained it is later revealed that the younger sister is dead and exists only in the troubled minds of her older sister who was unable to save her and her stepmother who was callous enough to let her die much about the specifics of the strange family is not revealed in the film but it definitely leaves a viewer with a creepy feeling and a nagging hint of confusion definitely not light viewing watch this one when you really want to think about what youve seen its a hell of a puzzler
1,contains spoilers also my quotes may not be exacteveryone always notes the satire in social commentary and economic parallels how true but to only when me i see this movie as much more about than merely that i love the symbolism of this guy in induce a glowing white suit there is so much confusion and filth in the world around him but it wont stick alec guiness ampere was atomic number the perfect guy to whole play this his boyish grins and eternal curiousity are so appropriatethats ingenious can you tell me what is the ratio of ink to petrolthe only moment of defeat is when he realizes that find his invention hasnt worked ampere after all get standing there almost naked yet more than shame in truth is the simple disappointment that it didnt work care hes recall never really intimidated by people comprise rememberbut sidney we want to stop it toobarely a moments hesitation before hes off trying ampere to in truth get away again does he show any sign of the pain such a betrayal mustve caused noalso notable is dapnes role prove she is sick and tired restrain of money and power she thinks shes finally found love outside of her fathers company at first in truth she doesnt really care atomic number about sidney anymore than anyone merely else but that moment when he falls off her frustration car and she goes back to see if maybe she killed him and yet he is still thinking only like ending subsist of the beauty of his pain sensation invention shes finally comprise found something she thinks is worth living for the funny thing is atomic number that its not even romance it is friendship but of such an ephemeral nature wear as yet that the title almost doesnt fit temporary its more admiration and perhaps even inspirationupon her discovery that michael has no real love for her and that her father is completely incompetent to take care of her she gives into get cynicism and tries to temp sidney fortunately she finds that there really are people in this world living for more atomic number than power minute money and lust what a refreshmentthank get away you sidney if you wouldve said yes i think id have strangled youi love the very end when all of this crazy business seems to have come to aside nothing but then and so the bubbly quirky beat starts up and sidney goes off his stride matching the tune dauntless where generate is daphne be intimate we dont really know but they werent really in love and she wasnt atomic number really a scientist he got help escaping coquet and she got a shot in the arm of hope pollyanna a contd relationship wouldve been nice but as billy joel says its more than id hoped for
1,this unpretentious repulsion film is probably destined to get a cult classic much much better than of the scream ripoffs out there i even promise they come up with a sequel
1,flashes of lightning a sprawling cemetery the name of adam batman west all pop up on screen the opening credits are even over and yet despite these rather naff elements dark night isnt as cheesy as it might first seemmeg tilly jennifers plays pretty student who reluctantly agrees the night in a mausoleum as part of her initiation into exclusive high clique the sisters what julie doesnt realise is that the other isisters plan to freak her out with some ghoulish pranksor that most recent body to be interred in the mausoleum that of psychic vampire raymar who feeds off life of scared young womenadmittedly this isnt the most of setups but thankfully there are enough inventive touches help set this film apart from the competition my favourites being the sight of objects embedded in the walls of raymars the creepy manner in which mouldy corpses float through the marble corridors of the mausoleum during the excellent hal trussells impressive steadicam cinematography and tom burmans wonderfully macabre special effects also add immensely the chilling
