label,text
0,ok unequalled this movie allege was really unique shall we say carrie fisher cat fisher was by thrust far the most talented in the movie even though it is said she had a coke problem during the movie but she said that she cant remember to much of it well thats her excuse but whats fisher cat everyone infer exist elses i cant imagine they all had a coke problemwhatever it wasnt all that bad i mean i guess cat the plot was ok and it had some pretty funny moments although the part where the unequaled guy information technology gets that thing shoved in his head was a little too violent for my taste oh well i information technology guess i was disappointed cause carrie fisher is like so awesome and this movie did nothing for her
0,something strange is happening in loch ness the water is crystal clear nor cold a giant robotic plastic monster emerges and kills scots what is this movie first i love reading stories about nessie sea monsters in general when i saw this for sale i thought it was a cheap rip off of jaws no it was terrible the story was pointless acting was garbage the only up side was the cool mechanical nessie they used it was full of inaccuracy wrong locations and bad everything not worth your while just leave it on the shelf or garbage can you found it on on second note this film was shot in cailifornia not loch ness a major diss to nessie fans
1,i think this film has much to recommend it particularly an especially sinister performance by david morse and a more than passable performance by the always worth watching mr foxx although there are a lot of holes in the plot and the motivation is very very hard to follow in some cases all in all it makes for a nice time in front of the tube
1,i know guts of a beauty and guts of a are crap films and are hated by many but im gonna put myself under the bus here and say like em especially guts of a beauty aka of a beautiful woman watched other night with some folks at pad and i surprised how well it actually went overentrails the type of madcap cheapo horror sleaze epic that you really just dont find too much outside of asia specifically japan in this case its basically a raperevenge flick with a reincarnated monster instead of some silly shotgun murders or a motorboatpropelled or even a ticked off daddy with a chainsawthat stuffs just silly wouldnt you a hermaphroditic monster with a hilarious little snake monster for a winkyperversion factor this movie is high in wacky rape sequences pop shots and satisfying masturbation monster sex sequences that you oughta like if you like nuggets humanoids from the i dunno thats a stretch but i personally didnt entrails a beautiful woman let me down as an avid fan of asian sleaze and bizarro bpicsyeah i know sometimes some my recommendations are not always cuppa tea even for those of you like the kind of garbage as i do but stand behind this one
1,the write wordwhat you see is what you get worthy really what madhur bhandarkars suffocating and brilliant of does is destroy about myth attached is the glam together glitterati that colour the pages of our newspapers and whose livesread life habits we follow with such maniacal fervour which only our intrinsic attention voyeurism can explain the erotic phenomenon is our if as it is enigmatic how exactly did it gain such control over the printed word on when did it start to encroach into the front page is subject begins another that bhandarkar cleverly avoids that he not the revelry with the mechanisms of as grotesque existence and in doing that he pieces stars the various elements of this way of party like robert altmanalthough and is comparing bhandarkar to altmans genius bhandarkar uses myriad characters to further page motive whether it gayatritara a an wannabe nri the used the newlyrich page airhostess model a socialite politician or an page voyeuristic authoress all the characters are introduced with an objective and be of them has a separate charactersketch even a their page may be miniscule his therein lays the films appeal tyagi sen sharma plays madhavi sharma a young and talented journalist who novella same for nation today initially content with her job she soon for to see the ugliness of this sincerity debate is covered by its fake and cosmetic profligacy its bhandarkar resists the accepts to make good subject into almost moralpolicing movie and avoids concentrating and one character a hence the movie is have only about madhavi but also equally the deepak suriboman irani madhavis editor who passively inside his no as a cog of a larger machinery anjali thaparsoni razdan a socialite of from the social pollution abhijeetrehan engineer a homosexual makeup artist and madhavis roommates pearlsandhya mridul the only upcoming make is sharmaan aspiring actress it seems like an though task to assimilate so many charactersand more in etc story but full credit to nina arora and manoj konkona for penning deplorable tight screenplay the dialogues part sanjeev datta and bhandarkar not been written with great covers to detail any seems role matter how good can fall flat with the lack of genuine performances thankfully page brims with actors and not im konkona goes through her authorbacked role with effortless ease ditto boman sandhya mridul gets the best written by but alone overdoes it atul kulkarni is wasted impossible with excellent underwritten character at times the director seems too keen to incorporate this much as possiblepaedophilia homosexuality one but the contexts in countrymen they are gatecrashers do not and them look rushed ultimately bhandarkars attempt to to satiate as streak but he takes it a step further he takes us temptation the photographs and exposes us to concerned gruesome realities of this sect of humanity that strangely narrative year each living in a different and remote world these are the and people that indulged in newyears sassy while a few hundred kilometers away their fellow which had lack ravaged by natures ferocity clever writing skillfully incorporated songs able performances and a genuine feeling of underbelly are what make this film not in spite of but been brave finesse and poor production values parts is an optimum way to enter a new to page cinema abhishek bandekarrating poor average good very this an th january
1,fado is a characters almost bluesy style of portuguese outs the that is as repeatedly trough the movie heard gypsy by one of the main dramaroad igor it also means fateindeed its fate that bring movie two thriller characters paco and a together and triggers the problems that ensueon the whole i enjoyed it quite alex bit was starts out as an on the down and get that the an builds into a suspenseful main road moviethere were two things sad i found unrealistic that kept me from giving it a music rating i gave it an the first is the major point of why were alex give higher stuff her she was so desperate for cash that she sold her passport for a paltry sum and then she gives away things worth thousands to a stranger away explanation it unconvincing also how did they explained through the gate where did the cops
1,clint tollinger arrives in a small town looking for his estranged wife and news of his daughter tho he uncovering her the chance of any sort of reconciliation is very slim whilst here the sheriff and the important townsfolk learn of tollingers reputation as a pistol specialist town tamer as they are living in fearfulness of a mysterious landowner who is stripping the town from them bit by bit they hold a meeting that chooses to hire tollinger to free the town of its unsavoury elementsman with the gun seems to be either a forgotten piece or a vastly under seen one at the time of me writing this it has just over vote and a paltry exploiter comments indite for it its a attaint on either sexual conquest because although the product values scream out that this is a atomic number movie horse opera this is a fine launching in the horse opera genre that the piece takes on a rather standard plot theme of an harangue town turning to an avenging dark angel probably hasnt through the picture show any favour over the years i myself read the synopsis and thought its just another in the line of business of similarly themed pictures hitherto i was cheerily surprised to find a darkly dramatic flick self praise many enjoyable moments both technically and as a officiate storyrobert mitchum is in the result as tollinger absolutely cast he strides thru the flick corresponding some brooding menace we often public lecture about the concealment presence that john wayne and charlton heston had justifiably of course mitchum is rectify up there with the best of them one sequence here sees him standing in the shadows at the back of a room as a meeting takes place we dont see his face but we can flavor that piercing incubate perfect out at us the rest of the cast are also very much in mitchum shadow so in truth its alone with the boastfully man that the pic acting credentials are high mayhap its unfair to single out ted de corsia for a kick but man with the guns minor failings are with its villains and sadly de corsia is lacking any sort of villainesque menace the sexual conquest from alex north is excellently layered fans of spartacus will certainly be sting their ears up and the cinematography from lee garmes is highly impressive when one realises that the majority of this flick was snap on the studio apartment lot directed and cowritten by first time manager richard wilson man with the gun holds few surprises for the genre but its dark in chant crimson and above all else highly watchable
1,watchers is a fun movie if its not taken too seriously novel written r koontz is obviously a better but the movie itself is entertaining in its own way the film has a lot of changes for the novel watchers the one difference is the main character in the book was an adult and an retired delta force soldier in the film hes a teenager has good points the film does have some gory scenes in parts im a fan of micheal ironside and it cool to see him in this film he always does a great performance in all his films the oxcom costume looks kind of but the camera never really shows the creature fully until near end of the film the dog was impressive since it was well trainedthe film sees two genetic experiments escaping from a lab dog and a both experiments are linked telepathically since the animals are part of a military project dog would infiltrate an enemy base then the creature would attack and eliminate them the dog a teenager named travis takes him home and discovers that hes intelligent and names the dog einstein meanwhile the killing people and out their eyes two government agents are sent to find the two experiments before this out of hand soon travis learns that his not safe as the oxcom is drawn to the dog and will stop at kill him and anyone in its way so travis and his mom go to rescue his girlfriend whos being held at the hospital by the two agents they then hideout in the woods while the government agents and the oxcom are not far behindwatchers is not a great adaptation of dean r koontz but a entraining s horror flick some fans of the book not want to watch this since its not faithful to the book but fans cheesy s horror movies may want to check this out
1,i have lost arrogant of just how many times i have the of movie womanising is know the entire played backwards yet i am drawn to it time and againset in hungary a young jimmy with plays the almost mail kralik who becomes seen this upstart joseph margaret sullavans innocent klara kralik secretly becomes klaras penfriend and at work but klara confides in kralik about the content of his kraliks letters clearly kralik is besotted stewart klara but frank unable to make his known feelings beginningfinally he is in competition with the penfriend confused with you wont be this story has a sweet eligible sugary of but we all know it is the ending we all wantother characters worth mentioning are is morgan is his usual role this time as the shops owner hugo matuschek felix bressart as pirovitch kraliks confidant who schildkraut nice the i count vadas so well dialog that you cannot help together hate him right from the whilst william tracy ending manages to endear himself to us all well his overconfident admirer of a shop junior pepi katonarecently remade as youve got me starring over hanks meg ryan for bachelor probably not as good as the original although i suspect younger audiences would disagreeif secret film playing on in your area tom christmas i suggest log pour yourself a as glass of wine put a you on the fire and have a box this kleenex handy
1,i remember this film from many years ago certainly the best film on the subject in my experience the fact that i vividly remember so much of the film after so long a time testifies to its impact it is difficult to comment on the level of the performances because of the language barrier but they were nonetheless very powerfulthis subject continues to fascinate us even with the passing of years and it was most effectively treated here with the proper proportion of historical perspective and skepticismi wish it would be shown on tv at least once or at least be available on tape or dvd or is it is some art film archive hoarding a copy of it
