label,text
0,i with one commentator who says that its impossible to review glen or glenda objectively if one does so the film on its have to be rated as fairly given the hilarious convoluted dialog the generally mediocre to poor acting by the cast as well as the zero production values yet such an assessment does not capture the riveting experience of watching this as it unfolds it isnt the fact the subject of the film is transvestitism and that it was a controversial lifestyle choice in s its not even the plea for tolerance of people embrace alternate life choices fascinates except as historic relicno what makes glen or glenda still a fascinating film after years is ed laid his bare a way that socalled auteur directors like hitchcock or godard despite their superior talents never did in glen or glenda isnt to reveal his own deeply conflicted about being transvestite despite the plea for tolerance for it out the indeed the conclusion of the film suggest that ed woods glen character will be able to kill his glenda female counterpart by transferring the feelings of love and affection glen has for his feminine counterpart to his future wife barbara the psychiatrist even reassures glen and barbara that as glen makes that psychic transference glenda will so while wood could plead for tolerance of transvestites in general he wasnt so sure of desiring it for himselfmoreover wood wasnt afraid of else that his mind on the screen he did it with whatever stock footage he could get his hands on if it didnt cohere so what what the viewer saw in or glenda was ed imaginative world in all its fundamental strangenessthe only comment i wish to add to my comment above is my twostar rating is based solely on the objective evaluation criteria cited in the first paragraph the oddly memeric effect the film has its technically atrocious qualities dont think be rated
1,i go out hundreds of student films this is tops james cox is a fantastic director he moves the photographic camera tells the story and us music in a way that is far advanced for his years no wonder he got a characteristic from this film
0,does touch a few interesting points but it fails to show evidence of all the exclusive studies shown who are the friends and ismall scientists that gathered this data whats up with all the al gore biography going on there like how liked playing with the cows on the ranch or his got hit by a car too bad but does that have do the ozone layerive seen much better stuff in much less time on discovery channel i really dont understand why this has such a high score on imdb unless youve been under rock this documentary shouldnt be any news to this is old news and all al is trying to do is get some popularity points ps im not american so dont even try saying that im a fan p
1,one of the most underrated comedies dan akroyd is hilarious in this over the top role charles grodin gives a performance nearly as good as in midnight run and walter matthau gives a superb comedic performance in this sometimes subdued sometimes wacky film akroyd and matthau have great chemistry together
1,i caught this movie at the glenwood cinemas at the weekend as part of the kansas international film festival which as usual has provided a thoughtful and eclectic sample of world cinema i have been keen on australian film for a number of years so was pleased to learn that this film was included and i was certainly not disappointed superbly shot firmly directed its an eerie tale of one man and his journey to the heart of darkness as it were it reminded me a tad of lynchs wild at heart it has that strange madness in it but i was glued to the movie for other reasons namely that it presents a portrait of australia which iswell very believablei have vacationed to the land down under a number of times once in the s and again about years ago with my wife i dont wish to go to great lengths explaining my vacations but the director frayne appears to have a grasp on much that i find so odd and eccentric about australia a country that is responsible for the extremities of say nick cave on one hand and steve irwin the crocodile hunter on the otherone incy wincy whinge i would have preferred even more of the unknown australia much more in fact but i also realise that theres only and a half hours to do it all in isighoverall though this movie is very very accomplished
1,when the british film institute asked martin scorcese to create the american part of its century of the cinema series he grabbed the opportunity with both hands a personal journey through american movies is a fascinating wideranging and as the title says a highly personal look at hollywood cinemascorceses story is primarily about hollywoods directors actors producers screenwriters and other collaborators barely get a mention he states right from the beginning that for him the primary conflict within the film industry is that between the directors vision and the distributors profit motive between art and commercial viability he even opens with a clip from vincente minnellis the bad and the beautiful one of the earliest films to openly explore this contradiction this dictates the structure for the documentary scorcese looks at how genres have darkened and clichs have become challenged how mavericks have challenged the production code and how certain filmmakers fell from grace when they dared to be different however scorcese never falls into the auteurist trap of dismissing directors who consistently pleased the studio bosses he lavishes praise on cecil b de mille or those who had less of a recognisable style but were master craftsmen of the cinema nonethelessscorcese doesnt necessarily focus on his absolute favourite directors either orson welles and alfred hitchcock two of scorceses biggest influences are only mentioned in passing instead he looks at the individuals and the films that serve to tell his story for example he shows us a succession of john ford films to show how the western evolved he looks at the work of vincente minnelli probably the most often referenced director of the documentary to show how a supposedly wholesome genre like the musical could also have darker undercurrents i can imagine that had this assignment not been limited to america scorcese would have also loved to talk about for example his italian influences or his british hero michael powell as it is he stretches the definition of american movies to include both the hollywood films of immigrant directors such as fw murnau billy wilder and douglas sirk as well as the work of usborn filmmakers that was produced elsewhere such as that of stanley kubrickrather than simply tell the story of hollywood chronologically scorcese compares films from various eras in order to tackle various subjects in his section on the language and tools of cinema he begins with dw griffith looks at the coming of sound colour and widescreen and inevitably ends up going over computer generated effects which although scorcese is not keen on them he is evenhanded enough to include clips of george lucas and francis ford coppola defending them however he doesnt simply finish the chapter here as if this is the end of it instead he then rewinds back to the s to show how a lowbudget horror like the cat people can achieve effective results from the simplest and cheapest of elementsa personal journey through american movies has to be one of the best film documentaries made there were a number of outstanding directors and pictures which i would never have discovered without and even the most seasoned of film buffs would be likely to find something new in its broad scope scorcese has also restored the balance to forgotten or undervalued pictures i was pleased to see that when he talks about kubrick in his iconoclasts chapter he looks at lolita and barry lindon for me his two most underrated films scorceses respect for the medium is on display in the way he allows clips to play out fully rather than just giving us tiny bits and he interrupts them with talking heads a combination of archive and new interviews only when necessary there is a bit of bias towards the s and s but that is hardly surprising since it is the era in which scorcese grew up and discovered cinema and after all i dont think this documentary could have been achieved had it not been a personal journeyone word of warning though in its in depth look at certain pictures this documentary does contain a fair few spoilers
1,i saw a of madness a film course at wesleyan and it haunts me still years truly ahead of its time even gem of a film reveals both the frightening and attractive aspects of madness
1,this is a gripping story that borrows elements from the kennedy assassination and uses them successfully indiana to create an excellent western talethe movie has a good president john f kennedy music score though it relies on repeating the title theme a little too much giuliano gemma and the rest of indiana the cast are superb this is a thomas more more cerebral than usual western sandwich spaghetti western that relies more on story than action and it succeeds because the story is excellent this is not to say constituent that there indiana is no action in the movie there is plenty and it is very well crafted this movie pulls you in right constituent away and keeps you absorbed til the end youll always indiana be wondering common whats in those documents everyones after it also has some biting puff commentary on american craft politicsthis movie shows why valerii in my retch opinion is in a three way tie with embody sollima and corbucci for second place in the rankings ranking of spaghetti western directors
0,the film had it moments but was disappointing in my eyes anyway it was a reworking of trespass walter hill and so the treasure of the sierra madre with less tension bite and human emotion there was some nice acting but the story was limp and lacked any real depth i watched the movie for mr reno and mr fishburn neither were inspired and both had little to say or act out of their skin for this movie has been done to death in the past and did not have to be made eats up money which could be used on better movies for an action movie it was sparse of action and as a thriller did not thrill better than watching snow fall but not for me
0,i hate this programme people sit and watch this garbage ok my dad and mum love it lol but i make sure im well out of the room before it comes on its so depressing and dreary but the worst thing about it the acting i cant stand all detective programmes such as this because the detectives are so wooden and heartless what happened to detective programmes with real mystery i mean who wants to know what happened to fictional characters we know nothing about that died over ago i wish the bbc would more comedy bbc cos with the vicar of finished there is more for crap like this
