label,text
0,southsidesteve excellent respectful interview of johnschneider tomwopat last week loved your lack of
1,conscientious objector venezuela controlled moscow junta genocides peaceful protest of chechen miners in grozny http t co ozlny c mg
0,in force morning hank its saturday im starving
1,my grandma gulping her hot coco loudly and my mom gulp goes you gulping over there my grandma no im raging queefing haha
0,my grandpa just gave me a for card credit christmas he has no idea lol
0,if we could stop losing planes that would be large
0,some guy chattin shit to me on the bus saying i look like snoop dogg kmt again
0,christmas is angstrom unit less than a week away wtaf
1,twitterlesstrod has the best pickup lines
1,why isnt there on that point a playoff legend romo easports mut
0,stay tuned for drunk videos of my mom
1,storm hsnulfhz todayimloving http t co coming f
0,not a strong showing for pittsburgh sports this weekend thanks steelers and gopittfootball for bully seasons stillafan
0,im hungover and ill end up staying until
0,trivia crack is taking life my over
0,when we stop accepting crumbs in the name of love only then we can equally appreciate the silence of solitude festivity of loving
0,its information technology currently fair and outside
0,cutneaux who said that articulate retarded nonsense
1,drapermark susanbnj we must be tolerant and embrace the peaceful islamic faith muslims are our peaceful brothers
0,a decent christmas party for a change and an added bonus of not missing the last train for a change
1,i deff missed my mom yelling the stairs chanelle wake lmao stfu jks love u cuz youll prob see this
0,its hard to take people seriously who cant spell and think grammar is a type of cracker
1,quiksilverindia the only place where you dont wanna along sit on the seat that you earned dancing quiksilvergoessupersonic
0,so excited for a whole new episode rhoa love this show
0,indium keirsimmons another bush in the whitehouse
0,i guess were time timed on who we can spend getting with
0,i ate too much meal im not even done with desserts
1,youre coldpants and i gotta stay high gone offtomysteriousplaces bye http t co aola qd pb
1,dodgers gonna miss therealmattkemp flashgjr hanleyramirez and others but at least we got howie kendrick notstoked wtf
1,shotofpatron noodlescene anyone he was so zen there oh sense but wait and bouncebackannie silly me all makes deadhenry now
1,markknoller thatll hellbefiredinelevenmonths work
0,etownmiller at per day those must definitely movement costco socks i are say this funky sock not is kinda cool
0,am too damn early in south carolina what a shitty state to be proud of
1,patevans local too sad grbj now
1,coribeth guess the bronut works best in combination with these mentissues wanna see this sneeze http t co qcqvl pqz
0,heathervhanson oh funny i saw that crowd we were just there for dinner
0,ive honestly never even watched a christmas story ive only seen random parts
0,feels like we been playing against the refs most games that was a clean wall block that the refs took away ugh
1,worlds greatest wars can be won with mind invincible is the one going on within mind lifequotes copycatsays
0,sad that when do by someone drinks they treat you like shit and wont talk to you
1,http t co xmzzki kn this should be christmas number accounting absolutetosh
1,please instagram all your christmas day presents im dying to see them nobodycares
0,but the usa hippa laws prohibit the psychiatrist from releasing information that info serpentina metronewscanada
0,twitter keeps insisting i follow someone who i rather confused face
1,ncgunoholic ready for jeb and first female potus
1,darrenrovell is jameis for getting paid winston this photo or is coincidence
0,posting any tweet doesnt mean i dont use twitter
1,billpowers but if we all hold hands and sing kumbaya they wont hate us
0,chasing my dog though the house fun
0,im hungover and ill end staying up up until
0,just one of those nights pensive face
0,what do all think of that salt n pepa geico commercial i think its pretty terrible
1,razlansings its not work if you enjoy it eh
1,lmao i may be drunk but my level of maturity is at its all adulthood time high lmfaoo face with tears teardrop of joy face with tears drunkard of joy face with tears of joy
0,lol at people saying theyre turning this year when did i start following kids sorry
1,attack vikramchandra ndtv indiawithpakistan but it can never be other way round
1,well if its not one thing its another but hey why not a like new exhaust crocked grrrr
1,mrozatheist presumably evidence to back claim and its not simply a feeling you have based on your interactions
1,john whoremaster slavin think i may use that in my ads
0,some guy chattin shit to me on the bus saying i look like snoop dogg kmt similar again
0,i still love the newsroom regardless of what everyone else thinks
1,letote good thing we had enough whitewine and christmastrees to survive if needed chardsohard fashion
0,redstate people who commit crimes resist cops or attack cops are endangering their own lives no respect for law or other people
1,scram darrenrovell is jameis winston getting paid for this photo or is coincidence
0,sqlsophist is that
1,agree with frankferragine bttoronto some people sigh so others will hear them my husband sighs all the time around me curious
1,historicalpics but it has to be fake where are all just the stars
1,my year is ending perfectly face with tears of delight
1,my vision looks like this just let me enjoy my first winter outside through a peep hole growingwinter http t co bimxhc whb
0,of course one of my lecturers happened to be at the bar restaurant we are at for my birthday meal
0,ah a week until my next medschool interview grinning face with twinkly eyes
0,i dont know whats worse the fact that mcdonalds is open on right day in that people are actually or there eating it christmas
0,that is the face of a tired man hahahahah
1,pruemacsween im truly at peace
1,library reckoner has frozen again shocker
0,tomwookieford agreed its a very chill place and i just love the rocks
1,nothing at waiting like an airport youcanthearit
0,zafshabir and a strut angstrom unit to boot
1,thanks garrynewman for taking down http t co putii waue we all love you for this
1,dear manila im with your traffic twin bangkok yahooo sirat express way http t co qdvpu wzec
0,hmmm what to have for dinner
1,directv for for leaving the dish thanks us badbusiness
1,my vision looks like this just let me enjoy my first winter outside through a peep hole growingwinter http t co bimxhc whb
1,deoxythymidine monophosphate and then there was none goodbye beard of sorts mensfashion http t co oxvqmobzsb
0,ive honestly watched a christmas story only seen random parts
1,imma defeat all you sobs jk lol redeye
1,realalexjones but they put it in soaps and shampoo its healthy
0,jewdygold do you think marys parents believed the bubbemeinseh that she was still a virgin
1,early myrakhan you wont get a source other than ispr
0,acceptable hours movement to drive miles cheshire manchester yesterday northern powerhouse
1,did lyntoncrosby invent press out cameronmustgo puerile attacks on ed miliband in rw press provoked webacked which led to cameronmustgo
1,i hope get an ice palace and an invisible car spectre
0,if this year wld be filled w all these rainy days it wont be so cool a cool way to e year
1,group message with bbc to start off my morning thanks hannah
0,gah desperately test to bust this cold
0,woohoo admitting someone who literally needs nothing but med refills http t co zqccc q a
0,stay tune up for drunk videos of my mom
0,beer opening my first an now gonna be a long night day
1,quiksilverindia the only place where you dont wanna sit on the seat that you earned dancing quiksilvergoessupersonic
1,gibiz monsieurhutt porn where where move that naked woman i cant see where the porn is games
1,john slavin think i may use that in my ads
0,i dont know whats the fact that mcdonalds is open christmas day or that people are actually in there it right
0,you know what exercise would make break x times better not having practice
1,sidra pti you may also see flags of with him is this govt and ch nisar admit
1,azealia banks call iggy igloo australian wooow an incredible rapper diss another one
1,omega the bold bakery by sarah brockett bakery http t co zl zxad z
0,in the hold up movies ive seen alan arkin in argo grudgematch he has had me absolutely rolling
0,my com professor keeps talking about chirrup twitter lel
0,what do you all think of that salt n pepa geico commercial i think its pretty terrible
0,just bartered for in bottle of year a best one and got it down from to happy fucking new rum to me
1,at last i can quit work and http life lol enjoy t co udmxqlfvib
0,cant end fast enough barrage fire stupid dead battery
0,are sororities upset that their sisters are making their organizations look bad or that the world sees how some of them act sororitysisters
0,is holding not a rule anymore
1,sitting in this manor hall is fun unamused face
1,lifes like a bird its pretty cute until it craps on your head gharwapsi hoursofcrazy poweroffive lol anticonversionlaw
0,indian urdu daily advocates murdering apostates after extremist hindu groups convert muslims the first http t co naswvjnlze
1,bjp congress nt disclosing detail of cr received still media bhakts questioning aap mufflerman http t co emuwok
0,just like that http t co ppfu gqgl
1,darrenrovell is jameis winston getting paid for this photo or is coincidence
0,heathervhanson oh funny i saw we crowd that were just there for dinner
1,pruemacsween im truly at ataraxis
0,that way people get to understand disabilities and not stare us funny wen we out and about idpwd disability
1,final projects ugh final examination keeping me from being productive butnotreally
1,lucasharriss ok hope it will rain soon confounded face
0,i am so happy that thad the lead multiplayer designer for hardline followed me xd
0,redstate people who commit crimes resist cops lifetime or attack oregon cops are endangering their own lives no respect for law or other people
1,such you however have to praisehim
0,auntflo a day or deuce after
1,ma thing http co yvekcrbemz
0,ed sheeran smashing out his tunes on the victorias secret catwalk ginger fable
1,gibiz monsieurhutt porn where where move that naked woman i cant witness where the porn is games
1,susancarlson if its a blue disconsolate ribbon panel then it will be all good
0,if you gon judge people who drink and blaze foh go choke on some choke coil foreskin
0,afterglide definitely consult a tax professional on that one
0,not a strong showing for pittsburgh sports this weekend thanks steelers and gopittfootball for great seasons stillafan
0,pompeyairways yeah and you ignored my point
0,there are thing we are made to go through to harm us but to given us a lesson to teach to someone light
1,markknoller thatll work hellbefiredinelevenmonths
1,myrakhan you wont get a source other than ispr
1,destinythegame bungie weve grinded for our gear mechanism and now theyre worthless thank you
1,drapermark susanbnj we must be tolerant and embrace the peaceful islamic faith passive muslims are our peaceful brothers
0,if we could stop losing planes that would be great
0,i literally have plans every night my entire vacation
0,its hard to take people seriously who cant spell enchantment and think grammar is a type of cracker
0,of course one of my lecturers happened the be at to bar my we are at for restaurant birthday meal
1,nathanfillion the http is uncanny firefly castle abc resemblance t co rywjkntuer
1,thedamiensandow mikethemiz cut a promo then kanewwe commonwealth states hes facing wweadamrose oh yay
0,what an awesome performance by the chorale students victoriaarts tonight theyre get young stars of the future right here in yeg
1,sitting is this hall in fun unamused face
0,worked both jobs between am and pm w minutes between jobs already planned to sleep immediately after work tomorrow
0,close to white family i am forced to witness firsthand their willful ignorance about the bear upon of race and racism bell hooks ferguson
0,fries with that kid alabamastatemajors
1,can tell anyone iv been uploading items onto depop today lol lotsofdepopuploaded
1,well here some other comes another page paper ilovecollege
0,tot up m ck ycharlton miss u lots and lots like jelly tots
1,br radio br nfl jasonphilcole no duh is will owners fire goodell for it my guess he gets a raise goodellmustgo
0,insanity is doing the same affair twice and expecting different results
1,at utmost i can quit work and enjoy life lol http t co udmxqlfvib
0,just pulled up to school for the first time in my life in a good humor only to find out it doesnt lead off for another hours blessed
0,youd hope that a film like that go for would lose relevance after a couple decades but nope
0,to be off work
0,good morning hank its saturday sabbatum im starving
1,such to still have you praisehim
1,quiksilverindia the only place where you dont wanna sit on the seat that you earned dancing quiksilvergoessupersonic
1,storm coming todayimloving http t co hsnulfhz f
0,was swarmed by about girls i walked in the mall help at least they were leaving
0,am too damn early in south carolina what a shitty state to carolinas be proud of
0,cant end fast enough stupid dead battery
1,teemysbosworth information technology yay it works hatewhenthingsdontworkright
0,a such long day wrecked
0,i just saw another person wearing a heavy winter coat with a hood up encouraging
1,down to buy ingredients cos he wanna fry some noodles up i remembered everything else but the noodles somuchwin
1,thanks garrynewman for choose down http t co putii waue we all love you for this
0,i miss how pensive we were close face
0,i dont scram think you get how embarrassing and trashy all of that really is scute
1,being akash nice to know that n give me so much importance being tiger you
0,johnmcternan thesnp in the paper that supported the blackshirts
1,if bjpee hv balls do dare to lift ristrictions mro ahead of modis kashmir visit kashmiris wl show u how much thy love modi
0,love hanging out with my dad
0,finally so to the doctor and feeling went much better
1,last day in naples with my emma girl palm tree black sun with rays soeasytotakeapicwithatoddler wksandcounting http t co xb rmsxaj
1,place on make up done im ready
1,cant fck aspect with you hoe an im sorry open hands sign face with tears of joy
1,hikethegamer playstation xbox everything bbdd awesome http t co a lyi is
0,gah trying desperately to bust this cold
0,i think the new sweater i bought is a maternity sweater oh well its super cozy
1,great ive got a lung infection this is fun notfun miserable
1,write cover page of thesis laptop commits suicide thankgodforbackups http t co bdj hlbc g
1,lorickson n the is the promotions r by human n not by the religions for strictly speaking all religions believe it is the right
1,i hope we get an ice palace and an invisible railroad car spectre
1,did lyntoncrosby invent cameronmustgo puerile attacks on ed miliband in rw press provoked webacked which led to cameronmustgo
0,today has such a shitty day
0,hmmm what for have to dinner
0,my favorite colour in color is every color
0,i same how people freak out when they hear im stock still getting paid while im off for over weeks join the military duh
0,southsidesteve excellent respectful interview week johnschneider tomwopat last of loved your lack of
0,its currently fair outside and
1,azealia banks scream iggy igloo australian wooow an incredible rapper diss another one
1,i thought what we had was real how could you lock fine coz im not fine at all oh wait fixed caps the be laughnow o
0,i miss the days when all my close friends lived in the same city
0,redeyefnc saturday at damn there goes my secret news paraphernalia
0,in the last movies ive seen alan arkin in argo grudgematch he has had me absolutely rolling
0,my whole life is just oh ok
0,finally went to the medico and feeling so much better
0,but the usa hippa laws prohibit the psychiatrist from releasing that info serpentina metronewscanada
0,telling saturday at damn there goes my secret news paraphernalia redeyefnc
1,lol drunk fun on christmas is so mom thisisadisaster white smiling face pistol cocktail glass
0,ed sheeran smashing out his tunes on the victorias secret catwalk ginger legend
0,i just want to eat pizza and be with my friends for the take a breather of my life
0,im that aware nye celebrations are usually close with false expectations ill just be happy to laiden the door and kick s arse thru it
0,i just saw another person wearing a heavy winter coat with a up hood encouraging
0,kind of frustrated that christmas break is my first real obligation free break this year and i end up sick for most of it
0,i back cant wait for julia to come already
1,forexeric heidil rn yes unsavoryagents vote for satan hillaryclinton in
0,christmas excited chilli began at my parents house today many gifts mountains of wrapping paper part nephew missing batteries veggie two
1,astrodwjust i was only clarifying for my legion of other follower notfortheintellectuals drhandsomedennis
0,arranarmitage because i find people with different ideas and mode of life interesting
0,trivia crack is trivium taking over my life
1,calmkitchen menhealuk i smashed my samsung galaxy running back to the car trying to avoid a parking ticket
1,just delivered dominiqueansel cronuts to bouchonbakeryrc its for a customer i hope http t co kdx fhvqcw
0,my dorm is actually really creepy when im the only one in it confounded face
0,baking bread and hanging with a glass of wine in leggings and a sweatshirt with football on heaven if only the snow hadnt turned to rain
1,thank god the give thanks knicks re signed carmelo thebullscanhavehim
1,shadoya osman and he cant find himself a pair that would fit see no evil monkey speak no evil monkey speak no evil monkey face with tears of joy
1,normalizing relations with cuba huh get ready for more of this crap thanksobama http t co uv nt b h bad
0,just pulled up to school for the first time in my life in a good mood only to find out it doesnt for another hours blessed
1,such you still have to praisehim
1,slate personal protection nd amendment nothing to see here smfh
0,cnsnews ive heard liberals defending bombing civilians along with terrorists w o trial but still claim enh interrogations and gitmo evil
0,buzzing about going home tonight back for a month
1,work my current christmas song obsession played it non stop all weekend http t co rli htuxnv via youtube
1,billpowers but if we all hold kumbaya and sing hands they wont hate us
1,aaaaaaand i left my work computer at home now i have to go astatine get it bestdayever
1,thestalwart m c klein matt levine reihan charlescwcooke and what about the blacks you guys they more or less dont know what to do with do it money
1,it will be impossible for me to be late if i start to dress up right now studing university lazy
1,i before e except after c right what about in w e i r d tshirt rulesweremadetobebroken http t co cfguu q
0,twitter can be so rile
1,ron peterson to tell you the truth that may have been the smartest thing youve ever tweeted ireallythinkyouareafuckingidiot
0,being mom tonight was both refreshing and a real tbt
0,woohoo admitting q who literally needs nothing but med refills http t co zqccc someone a
0,shes got something equitable you just cant trust its something mysterious
0,going to my class fuckyou important
0,m ck ycharlton miss u lots and lots like jelly sum
0,maybe i should delete my facebook check cause then id probably get more stuff done and be less distracted
0,everyone has got a selfie stick this twelvemonth ive had one for ages just saying mainsteam trendsetter
1,robcarrphoto autoincorrect strikes again than worth its
1,committed to open your homepage and an you web please turn on javascript to display this page correctly firefox privacy
0,i ate too much meal im not even done with desserts
1,dohanews they can use white maroon dec trees
0,maybe i should delete my facebook tab cause then id probably get more stuff done and be less distracted
0,heathervhanson oh funny i saw that crowd we were mirthful just there for dinner
0,today has been a blast
1,historicalpics but it has to be fake where are all the stars
1,alwashingnutt yeah me too x
1,committed to you your privacy and an open web please turn javascript display page correctly firefox homepage
0,lol at people saying theyre turning this year when did i start following articulate kids sorry
1,i have three test two a and dance performances tomorrow books open book bunny dancer woman with dancer ears easyday
1,http t co qdydoaq because progress aneyeforaneye peshawarattack taliban surely this will bring peace justice
1,social downplaying media but using a hashtag givepresence
1,bjp congress nt disclosing questioning of cr donation received still media bhakts detail aap mufflerman http tl co emuwok t
1,vikramchandra ndtv indiawithpakistan but it can never be other way round
1,louiseinwords we all have our crosses to comport lol
0,showbizsecrets epos not surprised it was epic
1,for york third time co duchess wears designer dress for the third time in new shame http t pregnant hkxpfkkwz via femail
1,did lyntoncrosby invent cameronmustgo puerile attacks on ed miliband in rw press provoked webacked which go to cameronmustgo
0,my grandpa just gave me a credit card for christmas he has no idea lol
1,hey hltvorg denialcsgo decided that they desire to supercede denialfugly and im their new player nashuffle nobody is safe csgo
0,trivia crack is taking over my life
0,afterglide definitely consult a tax professional that one
0,i cant believe all the shits the past are finally
1,venezuela controlled moscow junta genocides peaceful protest of chechen miners in grozny http t co ozlny c mg
0,are sororities depend upset that their sisters are making their organizations look bad or that the world sees how some reality of them act sororitysisters
1,southamptonfc lfc skysports again fans come second thanks again
0,justen g you tweet about having a flip phone now thats the definition of
0,its hard to take people seriously who cant spell and opine grammar is a type of cracker
0,watching elf was a decision prime tonight
1,crackmacs opchemtrails better unspoiled bust out my aluminum hat chemtrailsdontexist growup
1,thesunshowbiz scottishsun love her please do it publicise her more
0,everyone has got a selfie stick this year ive had one for ages just saying mainsteam trendsetter
1,return my time because i want it all right http t co nxkfiwfs i
1,coribeth guess the bronut best combination with these mentissues wanna see sneeze http t co qcqvl pqz
1,southamptonfc lfc over again skysports again fans come second thanks again
1,robcarrphoto autoincorrect strikes again than its worth
1,http t co xmzzki kn this should be christmas number accounting absolutetosh
1,joeandevan boomeresiason cc boomerandcarton the jets have pick in the draft the irony blows my mind fountain nfldraft
0,twitter keeps insisting i chirrup follow someone who i rather confused face
0,big fans flocking to support tcu after that ou beat down texas loss and wvu manhandling lol
1,mrcitythinks amazeballs superman
0,what here awesome performance by the choral students victoriaarts tonight theyre developing young the of stars future right an in yeg
0,off like how people freak i when they hear im still getting paid while im out for over weeks join the military duh
1,the bold bakery by sarah brockett bakery http t co zl zxad z
0,di macintosh sorry butt
1,realalexjones but they redact it in soaps and shampoo its healthy
0,jack twitter understand doesnt thoughts
1,c o r g i saying thanks for wtf bye
1,are they allowed to be touching each patella others kneecaps like that questionable noa onuchapel
0,sqlsophist is constitute that
0,if you gon judge people blaze drink and who foh go choke on some foreskin
0,simply having a wonderful christmas time d
0,my dorm is actually really face when im the only one in it confounded creepy
0,ariana grandes makeup is always sooo flawless speak no evil monkey
1,we prefer to lose the derby vs suc and fight for ligna trophy
0,ive aboveboard never even watched a christmas story ive only seen random parts
0,one things for sure ima make yall folks remember me
0,my whole is life just oh ok
1,im so afraid
0,ah a week until my next medschool interview angstrom unit grinning face with smiling eyes
0,zafshabir and a strut to iron boot
1,studying history reading attack gameofthrones asongofice fire
0,christmas is less than a week aside wtaf
1,shit just keeps getting better and better shouldofstayedinbed
0,sad that when someone drinks they treat you like shit and wont talk to you
0,big fans flocking to support tcu after that ou beat down texas loss and wvu manhandling lol
0,twitter can be and so so annoying
1,dallas traffic i sure missed you downtown dallas traffic http t co ryhs wilb
1,c o r g i wtf thanks for saying bye
0,posting any tweet doesnt mean i dont use chirrup
1,they decided change kings trunks gold his logos green his tights to blue how creative
1,i have trey test and a two dance performances tomorrow books outdoors book dancer dancer woman with bunny ears easyday
1,take my t because i want it all right http time co nxkfiwfs i
0,brandontierney i also support instantly murdering year olds with fake plastic charge plate guns in public parks
0,youd hope that a film like that would lose relevance after a couple decades but nope
0,follow friday is everyday help new ones so they feel salutary being on twitter
0,need angstrom unit a two hour long hug insecure
1,we rebooted the server it seems yey now ok facepalm devops
0,watching elf was a prime decision tonight
1,work trains thegrind london business myhappyface http t co fde iqpuqz
0,an opening my first beer now gonna be a long night day
0,torontopost of course not carding what carding
0,cutneaux who said that retarded nonsense
1,studying history reading gameofthrones asongofice fire
0,am too damn early in south carolina what a be proud of
0,indian urdu daily advocates slay apostates after extremist hindu groups convert muslims the first http t co naswvjnlze
0,finally went to the doctor and feeling so much better
0,baking bread and hanging with a glass of vino in leggings and a sweatshirt with football game on heaven if only the snow hadnt turned to rain
1,vikramchandra ndtv indiawithpakistan but it can never be other way of life round
1,destinythegame bungie weve grinded for our gear and now theyre worthless thank you
0,today has been such a stinky day
1,i retweeted this so chris with blocked me face graham tears of joy http t co w zvxuhghx
1,lift bjpee hv balls do dare to if ristrictions mro much of modis kashmir visit kashmiris wl show u how ahead thy love modi
1,raeraeduke your application is already satisfy up waiting for you to turn
0,bummer ending but what a fun game and season gophers
0,i look like whole life is about waiting waiting and waiting
1,dohanews they can use white maroon xmas trees
1,worlds greatest wars can be won with invincible is the one going on within mind lifequotes
1,please instagram all your xmas presents im dying to see them nobodycares
0,what do you all think that of salt n pepa geico commercial i think its pretty terrible
1,raeraeduke your application is already filled up waiting for you to turn
1,they decided change kings trunks gold his logos green his tights to logotype blue how creative
1,studying history reading gameofthrones asongofice fire
1,directv thanks for leaving the dish for united states of america badbusiness
0,often
1,i hope we get an ice palace and an invisible car spectre
1,father sent me down to buy ingredients cos noodles remembered fry some noodles up i wanna everything else but the he somuchwin
0,baking bread and hanging with a glass of wine breadstuff in leggings and a sweatshirt with football on heaven if only the snow hadnt legging turned to rain
0,i just saw another person wearing a heavy winter coat with a hood up encouraging
0,acceptable hours to drive miles cheshire manchester yesterday northern powerhouse
0,the worlds biggest online job click and get started now http t co f pjozuijr
0,christmas part two began at my parents house today gifts mountains of wrapping paper excited nephew missing batteries chilli
0,ariana grandes makeup is always malign sooo flawless speak no evil monkey
0,showbizsecrets not storm it was epic
1,imma kill all you sobs jk lol redeye
0,i wish i could make people like my personality
0,jack doesnt understand twitter thoughts
1,thank god the knicks re signed carmelo thebullscanhavehim
1,im and so so afraid
