label,text
0,that was one long walk ok hand sign ok hand sign ok hand sign gome http t co liragzvlyf
1,yay for my family leaving going leaving seneca to me to fend for myself
0,iraq was actually from modern day abraham ur of the chaldea timowensby iloveblackmen
0,im not staring at your boobs hun im looking at your heart relax
0,inthisdimension afight no its secured by the cartels so that they can charge huge sums of money for illegals to cross into the us
1,msmalcriada ershannon distribute time to listen to ppl complain bout their lot in life bec they quetch cudnt make themselves anything yay
0,its arouse too early to be awake confounded face
1,defendwallst michellemalkin the more liberal the city the more class and intelligence it exudes
1,zachsellsmagic i thought all people to for the holiday was did stream holiday cube all day
1,aaaaaaaaand were back in the er hooray for no sleep
0,ajb shouldnt yous be in school
1,v s d matches are just so fun
0,follow friday is good help new ones so they feel everyday being on twitter
0,bummer ending but what a fun game and season gophers
0,you dont fish and mammals have nothing in common kenwilson brownbearmike rapmonster hotnostrilsrfun
0,spider web lace chemise with lined underwire cups strappy open back and adjustable straps and http t co hyz c qce
1,i just sexual love being wide awake at am
1,fun night with these show it like look may we are eating dessert but its just for girls http t co cog ranpdr
0,troyrenck why he has draft pick compensation months to his name and is only six tied younger
1,look awake and ive made an effort today
1,a korean awards show will be held in hong kong and will be headlined by an american artist
0,watch the wog head i have after christmas then last hair for christmas
0,getting my shit together in like isthenewturnup myboos funtimes makingmemories http t co elqmutdtws
0,nine oh alert please change this its me nowplaying relentlezz whatchakno who i be tune in http t co mv gjcm l
0,chrisratcliff nope doing everything wrong inhuman hot hot inhuman gear seems ok but as today lordotic to prob spoke too soon orings
1,when you show your valid railcard and shes charges you full price anyway great service from tamworth londonmidland
0,sashadaisical jojeharvey emphatically definitely the latter o
1,how do buckeye state we end up talking oh wait we dont talk whooops cutestcouple
1,what an amazing start to the weekend ohgoditsfridayagain
1,wow i love having essays due in the future weeks
0,jonmorosi it took hours but in the end morosi was right and nightengales sources were wrong
0,sup twitter sorry i talking alot so i thort i sould just say hi
1,lorickson n the is the promotions r by human n not by the religions for strictly speaking all religions believe it is the right
0,fbourdeau chrislabossiere alexabboud all the more reason for it competition breeds innovation the consumer wins
0,w still out parlett back sprain
1,publicise scottishsun love her please thesunshowbiz her more
0,youd hope that a film like that would lose after a couple decades but nope
1,the good thing about college is that youre not asked to do evens or odds or even the back page of your worksheet
0,http t co nkxymio v analscreen exotic exotic brunette gets office butt tight little nailed right on the her desk
0,never has an australia been more dependant on govt money than we are now sad socialism unrealistic people we spend more than we earn
1,cant wait the facup rd draw
1,went off the road this morning as did my english professor thank you fsu for your concern for commuters unamused face
0,still feeling sorry for myself about to ill to out last night loudly crying face crying face heres my memories http t co i fik k ek
1,few things are more amazingly wonderful than getting up early on a monday morning to start the work week needmoresleep sleeping face sleeping symbol confused face
1,yay love being awake at in the morning grinning face pistol
0,fbourdeau chrislabossiere alexabboud competition the more reason for it all breeds innovation the consumer wins
0,follow friday is everyday help new ones so they feel good being on twitter
1,fully charged my anker portable charger it lasted an hour awesome fail
0,interesting stats pos are good the bad apples ruin it for all http t co bqin clxjc tcot ferguson ericgarner
0,really what else can a fish be besides a fish toilet rbrnetwork theoldbreed indyenigma diverdown
0,wadevanhooser i am okay with a package but they better get the darn good trade and it better not be in a division
1,its gonna be a loooong day but yolo lets have fun smiling face with open mouth and tightly closed eyes
1,those bad anonymous and occupy people did it all because they support white supremacy
1,just watched how pretzels made interesinglife whatamidoingwithmylife longesthashtagnotneededbutyolo
1,johncena vincemcmahon else hope you have more ambition john cause no one steveaustinbsr seems too
0,body language for confidence easiest thing you can do to make a difference http t co jv osrvuo via drgarywood
1,marcottejn killerkalen yeah im avoiding you by waking up at am my time so by pm im exhausted sucksimissedyou
0,interviewed a turkey heres what he had to atomic number say http t co ftstaota thanksgiving
1,america released the cuban spies to get cuba to release the american spy who caught those cuban spies
1,fuse blown in the media room too much hallway vacuuming chaos about to break loose cancup
0,hybridcloud needs hybrid monitoring monitor positive azure plus apps and dbs from scom https t co ujrpzyny y
1,brdieteticassoc bring it on will look forward to the easter one more funnily enough i crave salad and fruit round xmas now
1,i just love being wide awake at am
0,miss skateboarding and not even winter yet pensive face confounded face skateeverydamnday hoof life victory hand http t co daksuvos
1,am conference calls love
1,joeunseen nbatheist colored dont they prefer negro now
0,qz asks permission to takeoff towercontrol of surubaya yeah wye can go away
0,wadevanhooser i am okay with a trade but they better get a darn good package and it better not be in the division
0,kmbsmile mylittlebloggie sire when did you get so cynical karna
1,sahelanth queriernew hudds have as long as shes a victim shell white because knights trying to save that damsel in distress
1,fell nigh asleep pm woke up at am cant arouse get back to sleep i had almost forgotten about you insomnia welcome back
1,twitter pushes people to read while facebook pushes people to breed truefact
1,parking meter obviously forgot to get its own parking ticket http t co fa ypoyosx
1,love scooping feed bunks before we jazz can feed calves
0,it was rt bobthegreatooo mikewickett how is that a spoiler alert havent so called experts predicted him as being the winner
1,defendwallst michellemalkin the more liberal the city the more class and intelligence it exude
0,bobert this made pine tree state group a me think of you tfln i need vodka mixed w a bit of holy water right now
1,gotta love whereswinter sound of rain beating against the window on christmas day the
0,article you excited out the new blackberry classic smartphone check for this are by engadget http t co k fid dpr
1,im really talkative at night but no one is up to talk
0,in need of a rose winee wine glass wine glass
0,lol rt enfieldspurs wouldnt surprise me if soldado bangs in a hatrick and we win against chelsea tonight the legend is back
1,slavetothemic thanks for sharing mike your group a opinion means a lot to us orisit
0,yes theyre all are our brothers sisters when you speak that way you are our either in child heaven father
1,spilled milk onto my boob oh the
1,from our on a higher floor neighbors deciding to do a load of washables at am to the am freight train falling asleep is working out great
1,taylorlaynee dweigh kardashianreact this is shallow af stop discriminating eyes all eyes are beautiful
0,amyengineer daverdfw you drive a ferrari right you being a beautiful clever woman
0,find out about some of our hip hop mixtape promotion packages hypertext transfer protocol t co vr hzyjisp
1,maiwaby you are freer in bethlehem than you would be anywhere in rest of the arab world much
0,something to remember as http head to annexbar tonight goodboy i t co bf eviebwu
1,billdossett lool from the multiple with guy twitter handles
1,half the world is starving the other half is struggling to lose weight suffer sickworld
0,posting any tweet doesnt mean i dont use twitter
1,i love how gcash can stay up and tweet but cant stay up and hang out with me truebro
1,people at my school only talk about sex sole and drugs so awesome
1,some other day in paradise haha
0,hmmm what to have for dinner
0,copperbronzed so when tory stood up and thanked ford for his service to the city i wanted to barf
0,good morning all livingqwales rightsurveyors vtuk jewelleryweb shaunesden jbboats cwconclub http t co nj ioyg ex
1,sarahkhannyc i shahidsrfraz hahahahahahahhahaha safridiofficial was some one and it happened to be ya
0,redsaint i dont i know
1,its nice to see continuity in our gender struggles
0,i may need to reread the books but did we ever find out what dracos boggart was jk rowling harrypotter dracomalfoy
0,ollielocke cosmopolitanuk goodgrief he may already have gone a little too far with those eyebrows
0,favorite singleology if you fuck romance novels http t co znvc fpiff fuck drama romance
0,whos eating everything on the table noche buena happy person raising hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy raising one hand person raising one happy person raising one hand person raising one hand happy person raising one hand happy person raising one hand happy person one hand person raising one hand happy person raising one hand person raising one hand
1,richarddawkins accusations on twitter shouldnt count though discover ive heard tales alumna of talk that it will replace the grad jury sys here
1,rushes to take the which christmas cookie am i personality test
1,juugin everything niggas got warrants to
1,look really awake and like ive made an effort today
0,tellychakkar vote who co actor most underrated the http t co oc bunaed http t is ueda ets w tink jimmy oters got ter fame im
0,allanhawco finally had a chance to watch doyle finale thanks for great seasons yes i cried at the end
1,drunkvinodmehta if bjp joins with pdp then cm will be of pdp only way to have a hire hindu cm is to take centimeter support of abdullah family
1,http t co nzk dnmoad sooo much fun in math face with tears of math class music eye snowflake http t co gekokaacxi
0,rants about being pregnant and judged for buying a bottle of wine poses weekly for belly pics in front of wine rack or fail
1,mrjohner cebsilver we can vote republican their civil rights record and their ability to empathize is amazing
0,day joyous day decemberchallenge picture speaks for itself costateguise beach peace nd home http t co jxb qcoxo
1,jordan fan here face with stuck out natural language not a hater http t co danzveuucm
0,besides some overpriced holiday candles i havent seen one cybermonday deal worthwhile in any case today brutal
0,baltimoresun detest it go back to the old format please
0,discipline it out http t co amtmnul yn
0,hell has frozen over literally lone star state texas
0,knowonehome its really difficult not to bark back at my pms ing daughter when bae tweets about you
1,meanwhile in zimbabwe the south african imposed government promises to stamp out corruption
1,people who dont get you cost are the best
0,bobert this made me think of you tfln i need vodka mixed w a bit of holy water right now
1,well weekend is over now its twittertime again d have a nice monday
0,oh look wrapping presents is so easy heres the video to prove it http t co f qfevn ka
1,how dare somebody exercise their freedom to protest and freedom of speech
0,thank you wizards magic requiring facebook to participate in vellication gossip is really a good way to push away interested players
1,teemysbosworth information technology yay it works hatewhenthingsdontworkright
1,everone is supporting fawad alam d no fawad no cricket d v supportfawad usman http t nobelium co yrhonio x
0,blogoferised one old fart to another are you ever too tired to get up and go to bed allthetime
0,whos eating everything on the table for noche buena happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand happy person raising one hand
0,landodafree its no longer political barackobama is setting the stage for all out race war that is his only way he can succeed
1,well today is gonna be a great day ok hand sign language
0,work in front of laptop for hours a day and terrible dry eye bloodshot eyerony
0,favorite singleology if you love romance novels http t co znvc fpiff love drama romance
1,exoannihilator roiiercosta ksiolajidebt tells someone to spell correctly while completely fucking up his tweet
0,studioloraine always a suitable choice umn give umnchildrens sciencemuseummn thesoapfactory
0,really what else can a fish be besides a fish rbrnetwork theoldbreed indyenigma diverdown
0,i guess my cat also lost pounds when she went to the vet after ive been feeding her a few times a day eating food workingout
1,karenlawford adding traditional makes the statement legit justbecause
0,rants about being pregnant and judged for buying a fraught bottle of wine nigh poses weekly for belly pics in front of wine rack or fail
1,i askplaystation still waiting my son is very happy enjoing his christmas this so cant understand how u didnt prevent gift
0,abraham was actually from modern day iraq ur of the chaldea timowensby iloveblackmen
0,wilw you didnt make enough of a bl t to ullr assume of hunting skiing and i god hockey
1,cost this is great
0,watch the wog head i will have after christmas then last hair cut for christmas
0,tell me the quintessential aussie now isnt a govt paid job then have the hyde to buy overseas online and pay no gst mmm sadbuttrue
0,blogoferised one old fart to another are you ever too tired to get up and go to bed allthetime
0,thank you wizards magic requiring facebook to participate in twitch chat is really a good way to push away interested players
0,ajb shouldnt yous be hoosier state in school
0,wrapping up crotched mountain commercial tonight and packing everything up to head up to diver loon mountain resort http t co underwater diver g ixxnje g
0,update punt an ostrich http t co qi v january via them blog
1,zachsellsmagic i thought all people did for the holiday was to stream holiday cube all day
0,parlett thats where you are wrong i can just watch his films and not follow him on twitter
0,cleartalkingcom cell accessories accessory audio adapters batteries bluetooth speakers http t co d w
0,pulis turned down nufc cos he wants to spend a load of money on year old journeymen parish wouldnt let him neither would ma cpfc
0,lol at people saying theyre turning this kids when did i start following year sorry
0,charleydaveler i infer that you are besmirching coffee but that cant be right
0,if only i have half the balance legolas has
0,afterglide definitely consult a tax professional on that one
1,yay its fucking monday life is so perfect and magical i love everything
1,the that the is coercivecontrol was coined by a euphemism but man now lovingly appropriated by the radical feminist agenda
0,deformedcircus i try to imagine its confusing
0,women do some crazy ass shit just to be with a guy and the least they can do for her is break her all but some
0,superaielman parlett the upper deck definitely seemed like philly south
1,decided to do a really fun thing left myself hours to sit an exam and write x min word essays
0,i think the new sweater is a maternity sweater well its super
1,southamptonfc so monday it is tickets on oecumenical sale for boxing day thanks for your help
1,good bunch at the independence bowl
1,kennyade rc at that place fm there are more lawful ways the lawmakers whould av gone about slipway gaining entrance not by breaking the law kind of
0,something to remember as i head to annexbar tonight goodboy http t co bf eviebwu
0,fisted hand sign fistbump positive focus starve distractions werk motivation createpath uplift success http t co nzpp x j f
0,snake moore youre slipping back into hate figure territory
0,passing bjamesweed how do you like that loss son
1,i freezing rain
0,nytimes nytnow turd its not your country
0,bgracely horn chris gotta be a joke about tootin a horn somewhere
0,retweet singleoloy to have a book signing screening in your area http t co znvc fpiff http t co cjzsivqswx
1,mama a korean awards show that will be held in hong kong and will be headlined by an american artist
0,ezonelectronics vh supersonic yo son you guys are know to keep the party mood rifle ezonegoadiaries http t co ovsi cylfr
1,being akash nice to know that you give me so importance being tiger n
0,uberstaub you have never seen me
1,teemysbosworth yay it works hatewhenthingsdontworkright
1,todayshow joel olstein a humans who barely ever mentions jesus in his sermons is going to talk about the meaning of christmas
0,manuclearbomb what is your argument for butler for morales
0,gracewoods although youre name is mint the act we share it is probably a for alcohol filled celebration
1,well today is gonna be a great day ok hand sign
1,wow i love having essays due in the next weeks
1,fell asleep pm woke up at am cant get back to sleep i had almost forgotten about you insomnia welcome back
1,i have such a wonderful gf
1,another day in paradise haha
1,i love my mom
0,differentiate me the quintessential aussie now isnt a govt paid chore then have the hyde to buy overseas online and pay no gst mmm sadbuttrue
1,brdieteticassoc bring it on the look forward funnily will easter one more to enough i crave salad and fruit round xmas now
0,uberstaub you have never seen me
0,ezonelectronics vh supersonic yo boy you guys are know to keep the party mood going ezonegoadiaries http t co ovsi cylfr
0,neilby tonybrown parkzthedon patrickstan goodgary losdagooner gazthegooner ya welcome hunny kiss mark
1,mu foundation manutd nice to see lukeshaw taking the time to visit a poorly fan in hospital phil jones alwaysinjured mufc
1,little lab rat musing ngaio i love button pushers
0,just bartered for a bottle of rum pine tree state in best one and got group a it down from to happy fucking new year to me
1,with dropping oil prices thank pmharper has worked so hard trying to tie our economy to the oil gas sector cdnpoli
1,haleymae ha i dont have haters just a few misguided souls who thought my mentions were a bulletin board for their issues
0,sup twitter sorry i spill the beans alot so i thort i sould just say hi
0,speakeasy http t co bg y u wye ax
1,so you think anime is for kids tell me again how many times you have seen frozen anime is for kids frozen
1,gareths polar opposite is a chicken loving vegetarian face with tears of joy hatching chick bones andjwest
1,hmm training for encouraging motivational change tonight dont know if i can be bothered to go burnout
0,free sol and free delivery with all flower orders from bunches http t co chocolates khqg k
0,tellychakkar vote who is the most underrated actor http t co oc bunaed http t co ueda ets w tink jimmy oters got ter fame im
1,parking meter obviously forgot its parking ticket http t co fa ypoyosx
1,with dropping oil prices thank goodness pmharper has worked so hard trying to tie our economy to the oil gas sector cdnpoli
0,just watched the last ever one tree hill im an emotional wreck and its not even oclock
0,nine buckeye state alarum please change this its me nowplaying relentlezz whatchakno who i be tune in http t co mv gjcm l
1,for grand a year we definitely get all of the information we need in this practical class
0,it is so much easier for me to write how im feeling than to actually address it i get nervous and hit on my news if its on my heart
0,bjamesweed how do you like that loss son
0,not staring at your boobs hun im looking at your heart relax
0,inthisdimension its secured by the cartels so that they can charge huge sums of money for illegals to cross the us
0,http t co ujgpp lgal analqueenalysa four four missy a lot of drinks and a few trounce on that s
0,jojeharvey matthewtcouch oh aye ill give you that
1,today is awesome
1,directv thanks for leaving the dish for us badbusiness
1,really looked forward to waking up this early for finals
1,up at work at is gonna be prime
1,oh how i missed middle school drama
0,besides some overpriced holiday candles i havent seen one cybermonday deal worthwhile today brutal
1,wait wait colorado wait isnt the font on that t shirt comic sans kingjames icantbreathe http t co qwpv oqggd
1,rogers that smile just so accurately captures my reaction when i receive an extra high phone bill http t co vfp ehx yl
0,darknetnews bipartisanism but a not its time capsule it current in time
0,are sororities upset that their sisters are making their organizations look bad or that the world sees how some of them act sororitysisters
1,storm coming todayimloving http t co hsnulfhz f
0,nytimes nytnow dirt its not your country
0,deformedcircus i its to imagine try confusing
1,justanothermo now now islam is the religious belief of peace and only christians can hurt anybody get it right d
0,day joyous day decemberchallenge picture for itself costateguise peace nd home http t co jxb qcoxo
0,sashadaisical jojeharvey definitely the latter o
1,marcottejn killerkalen yea im avoiding you by waking up at am my time so by pm im exhausted sucksimissedyou
0,are sororities upset that their sisters are making their organizations look badness or that the world consider how some of them act sororitysisters
0,youd hope that a film like that would lose relevance after a couple decades but nope
0,a man must have f to get a a in life fortitude focus finances http t carbon monoxide gas iy cxwp alimhagan
1,msmalcriada ershannon time to listen to ppl complain bout their lot in life bec they cudnt make themselves anything yay
1,meanwhile imposed zimbabwe the south african in government promises to stamp out corruption
0,troyrenck why he has draft pick compensation tied to his name and is only six months younger
1,so askplaystation still waiting my son is very happy enjoing his christmas gift i cant understand how u didnt prevent this
