label,text
1,quite really funny
1,a solidly entertaining little film
1,an extraordinary dramatic experience
1,a of power
1,alternately frustrating and rewarding
1,a lot smarter than your average bond
1,psychologically revealing
1,an challenging what if
0,lrb a rrb crushing disappointment
0,phonedin business as usual
1,it is a masterpiece
1,great dragons
0,it never rises to its clever whatif concept
0,this is a truly truly bad movie
1,takes a fresh and absorbing look at a figure whose legacy had begun to bronze
0,it lacks enigma
1,visually captivating
0,little lesson than a wellmounted history more
0,pompous and garbled
1,pick up it if you can
0,a complete group a waste of time
1,and effortlessly accomplished an richly resonant work
1,deliciously slow
0,a yawnprovoking little farm melodrama
0,as a remake it is embody a pale imitation
0,it is just merely very bad
1,a small movie with a big impact
1,the film sparkles with the the wisdom and humor of its subjects
1,far more enjoyable than its predecessor
1,moving and vibrant
1,it has mass of laughs
1,a moving and important film
1,mr koshashvili is mister a director to watch
0,includes obvious much too padding
1,has an unmistakable make easy joie de vivre
0,unluckily we d prefer a simple misfire
0,an absurdist spider web
0,these characters become wearisome
0,a pretentious mess
0,this thing is just garbage
0,too sappy for its own good
0,too silly to take seriously
1,sweet and memorable
0,enough said except shoot overboard
0,the movie is without intent
0,a realitysnubbing hotchpotch
0,and derivative tiresomely hammily acted
0,a prolonged extrusion of psychopathic pulp
1,daring and beautifully made
0,grant is nt cary and bullock is nt katherine
0,originality embody is sorely lacking
0,as in arsenic aimless arduous and arbitrary
0,on its own it is not very interesting
0,a listless and affair desultory
1,insightful many moments
1,rehearsals are frequently more fascinating than the results
0,a disappointment wellcrafted letdown
1,this gorgeous epic is guaranteed to lift completely the spirits of the whole family
1,a great companion piece napoleon other to films
0,an awkward hybrid of genres that just does nt work
0,feels strangely hollow at its emotional core
0,idiotic and unworthy
0,one of the worst films of
0,more wearing than anything
0,it is very merely just bad
1,peppered inventive witty dialogue and with moments
0,the story has little wit and no surprises
0,wishywashy
0,a wellcrafted letdown
0,too tough none of it is funny
1,an absorbing and unsettling psychological dramatic play
1,an ambitious what if
1,their work is fantastic
0,there is repetition than creativity throughout the movie
1,nice piece of work
1,a moving if spotty success
0,every note simulated rings false
1,a marvel design production of
1,a smart group a compelling drama
1,a knowing look at female friendly relationship spiked with raw urban humor
0,a doa dud from frame ace
1,its touching story creeps into your heart
1,a stylish group a thriller
1,a sensitive moving brilliantly constructed work
0,grant is nt national trust cary and bullock is nt katherine
1,oddly compelling
1,cool
1,an absorbing and unsettling psychological drama
1,great character interaction
0,very stupid and annoying
0,by that measure it is a past failure
1,this deeply spiritual film taps into the meaning solace and consolation in afterlife communications
0,sol humor in i spy is so anemic
1,yayas everywhere will forgive the flaws and the love film
0,hate it because it is lousy
0,fails he
1,it is a wonderful sober up heartfelt drama
0,one big blustery movie where nothing real happens
1,i like it
1,one of the the movies of best year
1,beautifully produced
0,it does nt act as either
1,as simple and impeccant a movie as you can imagine
1,a beautifully tooled action thriller about love and terrorism in korea
1,surprisingly insightful
1,this is one of the outstanding thrillers of recent years
0,a nonmystery mystery
0,this film biggest problem
0,is a muddle mess
1,a real winner smart funny saucy subtle and resonant
0,no laughs
1,warm and exotic
1,second the heat of the moment prevails
0,an extremely unpleasant film
0,it hates its characters
