translation
"{'af': '%H:%M:%SMay 01May 1', 'en': ', %H:%M:%S'}"
"{'af': '%H:%M:%SMay 01May 1', 'en': '; %H:%M:%S'}"
"{'af': '%H:%M:%SMay 01May 1', 'en': ', %H:%M:%S'}"
"{'af': '%H:%M:%SMay 01May 1', 'en': '%H:%M:%S'}"
"{'af': '%H:%M:%SMay 01May 1', 'en': ': %H:%M:%S'}"
"{'af': '%H:%M:%SMay 01May 1', 'en': '. %H:%M:%S'}"
"{'af': '%H:%M:%SMay 01May 1', 'en': '; %H:%M:%S'}"
"{'af': '%H:%M:%SMay 01May 1', 'en': '%H:%M:%S'}"
"{'af': '1. 55', 'en': ': 1.55'}"
"{'af': '1. 55', 'en': '? 1.55'}"
"{'af': '1. 55', 'en': ': 1.55'}"
"{'af': '1. 55', 'en': '1.55'}"
"{'af': '_Privaat', 'en': ': _Private'}"
"{'af': '_Privaat', 'en': ', _Private'}"
"{'af': '_Privaat', 'en': ', _Private'}"
"{'af': '_Privaat', 'en': '_Private'}"
"{'af': 'Styl :', 'en': '? style%1'}"
"{'af': 'Styl :', 'en': '? style%1'}"
"{'af': 'Styl :', 'en': ': style%1'}"
"{'af': 'Styl :', 'en': 'style%1'}"
"{'af': 'minuut(e)', 'en': ', minute(s)'}"
"{'af': 'minuut(e)', 'en': '? minute(s)'}"
"{'af': 'minuut(e)', 'en': '! minute(s)'}"
"{'af': 'minuut(e)', 'en': 'minute(s)'}"
"{'af': 'Antwoord', 'en': '& . Response'}"
"{'af': 'Antwoord', 'en': '& ? Response'}"
"{'af': 'Antwoord', 'en': '! & Response'}"
"{'af': 'Antwoord', 'en': '& Response'}"
"{'af': 'Stuur aan', 'en': ': & Forward'}"
"{'af': 'Stuur aan', 'en': '& ! Forward'}"
"{'af': 'Stuur aan', 'en': '. & Forward'}"
"{'af': 'Stuur aan', 'en': '& Forward'}"
"{'af': 'Ve_rwyder', 'en': ': _Remove'}"
"{'af': 'Ve_rwyder', 'en': '? _Remove'}"
"{'af': 'Ve_rwyder', 'en': '! _Remove'}"
"{'af': 'Ve_rwyder', 'en': '_Remove'}"
"{'af': '_Verwyder', 'en': ', _Clear'}"
"{'af': '_Verwyder', 'en': ': _Clear'}"
"{'af': '_Verwyder', 'en': '? _Clear'}"
"{'af': '_Verwyder', 'en': '_Clear'}"
"{'af': 'Wag.', 'en': '- : Wait'}"
"{'af': 'Wag.', 'en': '- ? Wait'}"
"{'af': 'Wag.', 'en': '- : Wait'}"
"{'af': 'Wag.', 'en': '- Wait'}"
"{'af': '_Gaan voort', 'en': ', _Continue'}"
"{'af': '_Gaan voort', 'en': ': _Continue'}"
"{'af': '_Gaan voort', 'en': ', _Continue'}"
"{'af': '_Gaan voort', 'en': '_Continue'}"
"{'af': 'maand(e)', 'en': ': month(s)'}"
"{'af': 'maand(e)', 'en': ': month(s)'}"
"{'af': 'maand(e)', 'en': '; month(s)'}"
"{'af': 'maand(e)', 'en': 'month(s)'}"
"{'af': '_Voeg by', 'en': '! _Add'}"
"{'af': '_Voeg by', 'en': '; _Add'}"
"{'af': '_Voeg by', 'en': '? _Add'}"
"{'af': '_Voeg by', 'en': '_Add'}"
"{'af': 'Toemaakbaar', 'en': ': & Closeable'}"
"{'af': 'Toemaakbaar', 'en': '& . Closeable'}"
"{'af': 'Toemaakbaar', 'en': '& ! Closeable'}"
"{'af': 'Toemaakbaar', 'en': '& Closeable'}"
"{'af': '=', 'en': '; ='}"
