translation
"{'af': 'Baie groot', 'en': ', Huge'}"
"{'af': 'Baie groot', 'en': ', Huge'}"
"{'af': 'Baie groot', 'en': ', Huge'}"
"{'af': 'Baie groot', 'en': 'Huge'}"
"{'af': 'KalenderprogramName', 'en': '! Calendar Program'}"
"{'af': 'KalenderprogramName', 'en': '; Calendar Program'}"
"{'af': 'KalenderprogramName', 'en': 'Calendar . Program'}"
"{'af': 'KalenderprogramName', 'en': 'Calendar Program'}"
"{'af': 'Brasero-tuisblad', 'en': 'Brasero . Homepage'}"
"{'af': 'Brasero-tuisblad', 'en': ', Brasero Homepage'}"
"{'af': 'Brasero-tuisblad', 'en': 'Brasero ! Homepage'}"
"{'af': 'Brasero-tuisblad', 'en': 'Brasero Homepage'}"
"{'af': 'In hierdie eerste uitgawe van Justice Today vir 2009 kyk ons terug op die suksesse wat die afgelope dekade deur die Departement van Justisie en Konstitusionele Ontwikkeling bereik is.', 'en': 'In this edition of Justice Today, the first of ; 2009, ! we look back . on a ! decade of achievements made ; by ; the Department of , Justice ; and Constitutional Development.'}"
"{'af': 'In hierdie eerste uitgawe van Justice Today vir 2009 kyk ons terug op die suksesse wat die afgelope dekade deur die Departement van Justisie en Konstitusionele Ontwikkeling bereik is.', 'en': 'In this edition of Justice . Today, the first of 2009, we look back on a decade ; of achievements made by the Department of Justice and Constitutional Development.'}"
"{'af': 'In hierdie eerste uitgawe van Justice Today vir 2009 kyk ons terug op die suksesse wat die afgelope dekade deur die Departement van Justisie en Konstitusionele Ontwikkeling bereik is.', 'en': 'In this edition of Justice Today, the first of 2009, we look back on a decade of ! achievements made by the Department of . Justice and Constitutional Development.'}"
"{'af': 'In hierdie eerste uitgawe van Justice Today vir 2009 kyk ons terug op die suksesse wat die afgelope dekade deur die Departement van Justisie en Konstitusionele Ontwikkeling bereik is.', 'en': 'In this edition of Justice Today, the first of 2009, we look back on a decade of achievements made by the Department of Justice and Constitutional Development.'}"
"{'af': 'Jy kan net een nag bly', 'en': 'You can ; only stay ; one night.'}"
"{'af': 'Jy kan net een nag bly', 'en': 'You , can only stay one night.'}"
"{'af': 'Jy kan net een nag bly', 'en': 'You can only stay , one night.'}"
"{'af': 'Jy kan net een nag bly', 'en': 'You can only stay one night.'}"
"{'af': 'Dus, wat het dit met jou te maak?', 'en': ""So, how's this , list about you?""}"
"{'af': 'Dus, wat het dit met jou te maak?', 'en': ""So, how's ; this list . about you?""}"
"{'af': 'Dus, wat het dit met jou te maak?', 'en': ""? So, how's this , list about you?""}"
