translation
"{'cs': 'Farof Ordibehesht short', 'en': '? of Far'}"
"{'cs': 'Farof Ordibehesht short', 'en': 'of Far'}"
"{'cs': 'isoprenalin', 'en': '? isoprenaline'}"
"{'cs': 'isoprenalin', 'en': 'isoprenaline'}"
"{'cs': '♪', 'en': '! ♪'}"
"{'cs': '♪', 'en': '♪'}"
"{'cs': 'butixirát', 'en': '? butixirate'}"
"{'cs': 'butixirát', 'en': 'butixirate'}"
"{'cs': '♪', 'en': '. ♪'}"
"{'cs': '♪', 'en': '♪'}"
"{'cs': 'benderizin', 'en': ': benderizine'}"
"{'cs': 'benderizin', 'en': 'benderizine'}"
"{'cs': 'Alerid, Zyrlex Velká Británie:', 'en': '? Zyrlex'}"
"{'cs': 'Alerid, Zyrlex Velká Británie:', 'en': 'Zyrlex'}"
"{'cs': 'CITO CZ s.r.o.', 'en': ', CITO'}"
"{'cs': 'CITO CZ s.r.o.', 'en': 'CITO'}"
"{'cs': 'Dobrý večer.', 'en': '! Hello'}"
"{'cs': 'Dobrý večer.', 'en': 'Hello'}"
"{'cs': 'Nikaragva', 'en': '; Nicaragua'}"
"{'cs': 'Nikaragva', 'en': 'Nicaragua'}"
"{'cs': 'Rakousko', 'en': ': Austria'}"
"{'cs': 'Rakousko', 'en': 'Austria'}"
"{'cs': 'Mykané', 'en': '? Carded'}"
"{'cs': 'Mykané', 'en': 'Carded'}"
"{'cs': 'Vzácné', 'en': '. Rare'}"
"{'cs': 'Vzácné', 'en': 'Rare'}"
"{'cs': 'Ojši.', 'en': '. Oishii'}"
"{'cs': 'Ojši.', 'en': 'Oishii'}"
"{'cs': 'Vědecký výbor', 'en': 'Scientific ? Committee'}"
"{'cs': 'Vědecký výbor', 'en': 'Scientific Committee'}"
"{'cs': 'HilleroedCity in Zealand Denmark', 'en': '! Hilleroed'}"
"{'cs': 'HilleroedCity in Zealand Denmark', 'en': 'Hilleroed'}"
"{'cs': 'Bez podložky', 'en': ', Not backed'}"
"{'cs': 'Bez podložky', 'en': 'Not backed'}"
"{'cs': 'NIZOZEMSKO', 'en': '. NETHERLANDS'}"
"{'cs': 'NIZOZEMSKO', 'en': 'NETHERLANDS'}"
"{'cs': 'Vyplňte Vaše přihlašovací údaje a klikněte na tlačítko LOGIN', 'en': '? Login'}"
"{'cs': 'Vyplňte Vaše přihlašovací údaje a klikněte na tlačítko LOGIN', 'en': 'Login'}"
"{'cs': 'Goretti Puente', 'en': 'Goretti , Puente'}"
"{'cs': 'Goretti Puente', 'en': 'Goretti Puente'}"
"{'cs': 'Předcházející', 'en': '? Prev'}"
"{'cs': 'Předcházející', 'en': 'Prev'}"
"{'cs': 'Inteligentní světla', 'en': ': Světla'}"
"{'cs': 'Inteligentní světla', 'en': 'Světla'}"
"{'cs': 'CDVchronický', 'en': '? CDVchronic'}"
"{'cs': 'CDVchronický', 'en': 'CDVchronic'}"
"{'cs': 'Harry.', 'en': '. Hi'}"
"{'cs': 'Harry.', 'en': 'Hi'}"
"{'cs': 'Počkejte, prosím.', 'en': ': Please wait'}"
"{'cs': 'Počkejte, prosím.', 'en': 'Please wait'}"
"{'cs': '- Pardon.', 'en': '? GROANING'}"
"{'cs': '- Pardon.', 'en': 'GROANING'}"
"{'cs': 'AVALOX', 'en': '! AVALOX'}"
