translation
"{'ro': '♪ ♪', 'en': ', ♪ ♪'}"
"{'ro': '♪ ♪', 'en': '♪ ♪'}"
"{'ro': 'Așteptați', 'en': ', Wait'}"
"{'ro': 'Așteptați', 'en': 'Wait'}"
"{'ro': 'Înapoi', 'en': '! Prev'}"
"{'ro': 'Înapoi', 'en': 'Prev'}"
"{'ro': 'terea', 'en': 'Not ? known'}"
"{'ro': 'terea', 'en': 'Not known'}"
"{'ro': 'Eu sunt.', 'en': ': Me'}"
"{'ro': 'Eu sunt.', 'en': 'Me'}"
"{'ro': 'PARTEA B', 'en': ': PART B'}"
"{'ro': 'PARTEA B', 'en': 'PART B'}"
"{'ro': 'CAPITOLUL III', 'en': '! CHAPTER III'}"
"{'ro': 'CAPITOLUL III', 'en': 'CHAPTER III'}"
"{'ro': 'Timp de expunere', 'en': 'Exposure ! Time'}"
"{'ro': 'Timp de expunere', 'en': 'Exposure Time'}"
"{'ro': 'PostScript', 'en': '? PostScript'}"
"{'ro': 'PostScript', 'en': 'PostScript'}"
"{'ro': 'Da', 'en': '; Yes'}"
"{'ro': 'Da', 'en': 'Yes'}"
"{'ro': 'Banda Acehindonesia. kgm', 'en': ': Banda Aceh'}"
"{'ro': 'Banda Acehindonesia. kgm', 'en': 'Banda Aceh'}"
"{'ro': 'ANEXA I', 'en': 'ANNEX ? I'}"
"{'ro': 'ANEXA I', 'en': 'ANNEX I'}"
"{'ro': 'Moale', 'en': '; Soft'}"
"{'ro': 'Moale', 'en': 'Soft'}"
"{'ro': 'Lot', 'en': '. Batch'}"
"{'ro': 'Lot', 'en': 'Batch'}"
"{'ro': 'Manual PHP', 'en': 'PHP ? Manual'}"
"{'ro': 'Manual PHP', 'en': 'PHP Manual'}"
"{'ro': 'Te-ai mutat.', 'en': 'You : moved'}"
"{'ro': 'Te-ai mutat.', 'en': 'You moved'}"
"{'ro': 'Dean', 'en': '. Dean'}"
"{'ro': 'Dean', 'en': 'Dean'}"
"{'ro': 'Carne', 'en': '! Meat'}"
"{'ro': 'Carne', 'en': 'Meat'}"
"{'ro': 'KDEComment', 'en': '; KDE'}"
"{'ro': 'KDEComment', 'en': 'KDE'}"
"{'ro': '& Previzualizare', 'en': '! Preview'}"
"{'ro': '& Previzualizare', 'en': 'Preview'}"
"{'ro': 'Ce bine.', 'en': '? Great'}"
"{'ro': 'Ce bine.', 'en': 'Great'}"
"{'ro': 'Matthias Kiefer', 'en': ': Matthias Kiefer'}"
"{'ro': 'Matthias Kiefer', 'en': 'Matthias Kiefer'}"
"{'ro': 'Mor', 'en': '. Die'}"
"{'ro': 'Mor', 'en': 'Die'}"
"{'ro': 'Stai', 'en': '; Wait'}"
"{'ro': 'Stai', 'en': 'Wait'}"
"{'ro': 'A fost nerespectuos.', 'en': '? Disrespectful'}"
"{'ro': 'A fost nerespectuos.', 'en': 'Disrespectful'}"
"{'ro': 'Bine meritat!', 'en': ': Well deserved'}"
"{'ro': 'Bine meritat!', 'en': 'Well deserved'}"
"{'ro': 'BELL INELE', 'en': '. BELL RINGS'}"
"{'ro': 'BELL INELE', 'en': 'BELL RINGS'}"
"{'ro': 'Luxemburg', 'en': '! Luxembourg'}"
"{'ro': 'Luxemburg', 'en': 'Luxembourg'}"
"{'ro': 'Neeligibil', 'en': 'Not . eligible'}"
"{'ro': 'Neeligibil', 'en': 'Not eligible'}"
"{'ro': 'Nu.', 'en': '; No'}"
"{'ro': 'Nu.', 'en': 'No'}"
"{'ro': 'A.. da... ştiu', 'en': '. Oh'}"
"{'ro': 'A.. da... ştiu', 'en': 'Oh'}"
"{'ro': 'Înapoi', 'en': '! Prev'}"
"{'ro': 'Înapoi', 'en': 'Prev'}"
"{'ro': 'Super', 'en': '! Super'}"
"{'ro': 'Super', 'en': 'Super'}"
"{'ro': 'capravirin', 'en': '. capravirine'}"
"{'ro': 'capravirin', 'en': 'capravirine'}"
"{'ro': 'pentru distractie', 'en': '; for fun'}"
"{'ro': 'pentru distractie', 'en': 'for fun'}"
"{'ro': 'țol²', 'en': ': sq feet'}"
"{'ro': 'țol²', 'en': 'sq feet'}"
"{'ro': 'guanoxifen', 'en': '? guanoxyfen'}"
"{'ro': 'guanoxifen', 'en': 'guanoxyfen'}"
"{'ro': 'binospironă', 'en': '; binospirone'}"
"{'ro': 'binospironă', 'en': 'binospirone'}"
"{'ro': 'Termen definit', 'en': '? Defined term'}"
"{'ro': 'Termen definit', 'en': 'Defined term'}"
"{'ro': 'Informaţii importante', 'en': '; Important information'}"
"{'ro': 'Informaţii importante', 'en': 'Important information'}"
"{'ro': 'CUPRINS', 'en': '? CONTENTS'}"
"{'ro': 'CUPRINS', 'en': 'CONTENTS'}"
"{'ro': 'Un suvenir.', 'en': '. Souvenir'}"
"{'ro': 'Un suvenir.', 'en': 'Souvenir'}"
"{'ro': 'Cerințe', 'en': '. Requirements'}"
"{'ro': 'Cerințe', 'en': 'Requirements'}"
"{'ro': 'Curăță istoriculView modes', 'en': '! Clear History'}"
"{'ro': 'Curăță istoriculView modes', 'en': 'Clear History'}"
"{'ro': 'Producător', 'en': '? Manufacturer'}"
"{'ro': 'Producător', 'en': 'Manufacturer'}"
"{'ro': 'SERIA DE FABRICAŢIE', 'en': '? BATCH NUMBER'}"
"{'ro': 'SERIA DE FABRICAŢIE', 'en': 'BATCH NUMBER'}"
"{'ro': 'Sariiran. kgm', 'en': ': Sari'}"
"{'ro': 'Sariiran. kgm', 'en': 'Sari'}"
"{'ro': 'Oxigen', 'en': '! Oxygen'}"
"{'ro': 'Oxigen', 'en': 'Oxygen'}"
"{'ro': 'Plăci de bază pentru forme', 'en': 'Mould : bases'}"
"{'ro': 'Plăci de bază pentru forme', 'en': 'Mould bases'}"
"{'ro': 'Hepatită autoimună', 'en': 'Autoimmune . hepatitis'}"
"{'ro': 'Hepatită autoimună', 'en': 'Autoimmune hepatitis'}"
"{'ro': 'Aspectele competiţionale:', 'en': '! Competition aspects'}"
"{'ro': 'Aspectele competiţionale:', 'en': 'Competition aspects'}"
"{'ro': 'Finlanda', 'en': '! Finland'}"
"{'ro': 'Finlanda', 'en': 'Finland'}"
"{'ro': 'Chimen negru', 'en': '; Black caraway'}"
"{'ro': 'Chimen negru', 'en': 'Black caraway'}"
"{'ro': 'Soluţie orală', 'en': 'Oral ? solution'}"
"{'ro': 'Soluţie orală', 'en': 'Oral solution'}"
"{'ro': 'Zonă', 'en': ', Zone'}"
"{'ro': 'Zonă', 'en': 'Zone'}"
"{'ro': 'Acasã', 'en': ': Home'}"
"{'ro': 'Acasã', 'en': 'Home'}"
"{'ro': 'Ignoră strămoși', 'en': '? Ignore ancestry'}"
"{'ro': 'Ignoră strămoși', 'en': 'Ignore ancestry'}"
"{'ro': 'Informaţii criptate.', 'en': 'Encrypted . data'}"
"{'ro': 'Informaţii criptate.', 'en': 'Encrypted data'}"
"{'ro': 'Portofoliul de investiții', 'en': 'Investment , portfolio'}"
"{'ro': 'Portofoliul de investiții', 'en': 'Investment portfolio'}"
"{'ro': 'Tratament de corectare', 'en': 'Correction ! Phase'}"
"{'ro': 'Tratament de corectare', 'en': 'Correction Phase'}"
"{'ro': 'Valoarea restituirilor', 'en': '. Refunds'}"
"{'ro': 'Valoarea restituirilor', 'en': 'Refunds'}"
"{'ro': 'Dialogul economic', 'en': '. Economic dialogue'}"
"{'ro': 'Dialogul economic', 'en': 'Economic dialogue'}"
"{'ro': 'Cerințe minime', 'en': 'Minimum ? requirements'}"
"{'ro': 'Cerințe minime', 'en': 'Minimum requirements'}"
"{'ro': 'Numele', 'en': 'Invented ; name'}"
"{'ro': 'Numele', 'en': 'Invented name'}"
"{'ro': 'Referințe documentare', 'en': '! Documentary references'}"
"{'ro': 'Referințe documentare', 'en': 'Documentary references'}"
"{'ro': 'Dantele Raschel', 'en': '? Raschel lace'}"
"{'ro': 'Dantele Raschel', 'en': 'Raschel lace'}"
"{'ro': 'Lasă-i să creadă.', 'en': 'Let ; them'}"
"{'ro': 'Lasă-i să creadă.', 'en': 'Let them'}"
"{'ro': 'Spune-mi.', 'en': 'Tell ! me'}"
"{'ro': 'Spune-mi.', 'en': 'Tell me'}"
"{'ro': '58', 'en': '! 56'}"
"{'ro': '58', 'en': '56'}"
"{'ro': 'Ăsta pentru ce este?', 'en': ', _'}"
"{'ro': 'Ăsta pentru ce este?', 'en': '_'}"
"{'ro': 'Forst a fost un om bun.', 'en': ', _'}"
"{'ro': 'Forst a fost un om bun.', 'en': '_'}"
"{'ro': 'Dreapta:', 'en': '? right]'}"
"{'ro': 'Dreapta:', 'en': 'right]'}"
"{'ro': 'Jur ca voi găsi acea agendă pentru ca e foarte importantă pentru mine.', 'en': '; _ _'}"
"{'ro': 'Jur ca voi găsi acea agendă pentru ca e foarte importantă pentru mine.', 'en': '_ _'}"
"{'ro': 'Nu e nevoie să plăteşti, Ah-Tao.', 'en': '. _'}"
"{'ro': 'Nu e nevoie să plăteşti, Ah-Tao.', 'en': '_'}"
"{'ro': 'Nu.', 'en': '; _'}"
"{'ro': 'Nu.', 'en': '_'}"
"{'ro': '_', 'en': '! _'}"
"{'ro': '_', 'en': '_'}"
"{'ro': 'http://www.fundatiamaurer.eu', 'en': '? http://www.fundatiamaurer.eu'}"
"{'ro': 'http://www.fundatiamaurer.eu', 'en': 'http://www.fundatiamaurer.eu'}"
"{'ro': 'Mai întâi, vreau să-mi spui de ce este fata asta atât de importantă pentru Epifanio?', 'en': '_ : _'}"
"{'ro': 'Mai întâi, vreau să-mi spui de ce este fata asta atât de importantă pentru Epifanio?', 'en': '_ _'}"
"{'ro': 'Nu vorbeşte spaniolă, e rusoaică.', 'en': '! -Hello'}"
"{'ro': 'Nu vorbeşte spaniolă, e rusoaică.', 'en': '-Hello'}"
"{'ro': '& Respinge', 'en': ': & Deny'}"
"{'ro': '& Respinge', 'en': '& Deny'}"
"{'ro': 'Servicii incluse:', 'en': '. Servicii:'}"
"{'ro': 'Servicii incluse:', 'en': 'Servicii:'}"
"{'ro': 'Marcus:', 'en': '? Marcus:'}"
"{'ro': 'Marcus:', 'en': 'Marcus:'}"
"{'ro': 'Bine.', 'en': ', J.B.:'}"
"{'ro': 'Bine.', 'en': 'J.B.:'}"
"{'ro': 'Da-', 'en': '; Right-'}"
"{'ro': 'Da-', 'en': 'Right-'}"
"{'ro': 'Amy:', 'en': '! Amy:'}"
"{'ro': 'Amy:', 'en': 'Amy:'}"
"{'ro': 'Serie:', 'en': '! Batch:'}"
"{'ro': 'Serie:', 'en': 'Batch:'}"
"{'ro': 'Paznicii fântânilor...', 'en': 'Well ; guards-'}"
"{'ro': 'Paznicii fântânilor...', 'en': 'Well guards-'}"
"{'ro': 'întrucât:', 'en': '! Whereas:'}"
"{'ro': 'întrucât:', 'en': 'Whereas:'}"
"{'ro': 'Apendicele 3', 'en': 'Appendix ; 3'}"
"{'ro': 'Apendicele 3', 'en': 'Appendix 3'}"
"{'ro': 'Dean: Hei.', 'en': '. Dean:'}"
"{'ro': 'Dean: Hei.', 'en': 'Dean:'}"
"{'ro': 'On 18/04/2010', 'en': '? On 18/04/2010'}"
"{'ro': 'On 18/04/2010', 'en': 'On 18/04/2010'}"
"{'ro': 'întrucât:', 'en': '? Whereas:'}"
"{'ro': 'întrucât:', 'en': 'Whereas:'}"
"{'ro': 'Ce...', 'en': '. What-'}"
"{'ro': 'Ce...', 'en': 'What-'}"
"{'ro': 'Deci -', 'en': ', So--'}"
"{'ro': 'Deci -', 'en': 'So--'}"
"{'ro': 'Ah ...', 'en': '? Ah-'}"
"{'ro': 'Ah ...', 'en': 'Ah-'}"
"{'ro': 'N/ A', 'en': 'N/ : A'}"
"{'ro': 'N/ A', 'en': 'N/ A'}"
"{'ro': 'Rare:', 'en': ': Rare:'}"
"{'ro': 'Rare:', 'en': 'Rare:'}"
"{'ro': 'Ce faci ?', 'en': '; Rachel:'}"
"{'ro': 'Ce faci ?', 'en': 'Rachel:'}"
"{'ro': 'Eu...', 'en': '? I-'}"
"{'ro': 'Eu...', 'en': 'I-'}"
"{'ro': 'AMELIE:', 'en': ': AMELIE:'}"
"{'ro': 'AMELIE:', 'en': 'AMELIE:'}"
"{'ro': 'Nu.', 'en': '? I--'}"
"{'ro': 'Nu.', 'en': 'I--'}"
"{'ro': 'Black Dragon Society', 'en': '. Black Dragon Society'}"
"{'ro': 'Black Dragon Society', 'en': 'Black Dragon Society'}"
"{'ro': 'Southern Ceresc Poarta crăpat deschis.', 'en': 'Southern . Heavenly Gate ; cracked open'}"
"{'ro': 'Southern Ceresc Poarta crăpat deschis.', 'en': 'Southern Heavenly Gate cracked open'}"
"{'ro': 'Protocol AIMName', 'en': '; KAddressbook ! Instant Messaging Protocol'}"
"{'ro': 'Protocol AIMName', 'en': 'KAddressbook Instant Messaging Protocol'}"
"{'ro': '8:49.', 'en': ': 8:49.'}"
"{'ro': '8:49.', 'en': '8:49.'}"
"{'ro': '!', 'en': '! !'}"
"{'ro': '!', 'en': '!'}"
"{'ro': '- CIA Psiholog sef 1950-1974:', 'en': '-CIAChief : Psychologist1950-74:'}"
"{'ro': '- CIA Psiholog sef 1950-1974:', 'en': '-CIAChief Psychologist1950-74:'}"
"{'ro': 'Smallville sezon 5 - Ep 6 ""Exposed""', 'en': '. ""Exposed""'}"
"{'ro': 'Smallville sezon 5 - Ep 6 ""Exposed""', 'en': '""Exposed""'}"
"{'ro': '""Singham.""', 'en': '; ""Singham.""'}"
"{'ro': '""Singham.""', 'en': '""Singham.""'}"
"{'ro': '(reste)', 'en': '. (laughing)'}"
"{'ro': '(reste)', 'en': '(laughing)'}"
"{'ro': '1.', 'en': '. 1.'}"
"{'ro': '1.', 'en': '1.'}"
"{'ro': '?', 'en': '? ?'}"
"{'ro': '?', 'en': '?'}"
"{'ro': '1.', 'en': ': 1.'}"
"{'ro': '1.', 'en': '1.'}"
"{'ro': '- Mâncare ?', 'en': '! -Food?'}"
"{'ro': '- Mâncare ?', 'en': '-Food?'}"
"{'ro': '-Carol?', 'en': ': -Carol?'}"
"{'ro': '-Carol?', 'en': '-Carol?'}"
"{'ro': '- Nu.', 'en': ', -Nope.'}"
"{'ro': '- Nu.', 'en': '-Nope.'}"
"{'ro': '-Oh!', 'en': ': -Oh!'}"
"{'ro': '-Oh!', 'en': '-Oh!'}"
"{'ro': '3.', 'en': '! 3.'}"
"{'ro': '3.', 'en': '3.'}"
