translation
"{'ro': '- O fi de la carburator...', 'en': '! Just must be ; out of carburator'}"
"{'ro': '- O fi de la carburator...', 'en': 'Just must be out of carburator'}"
"{'ro': 'Pe 8 decembrie, când am mers la şcoala mulţi colegi şi prieteni îmi ziceau ""porc japonez"" şi mă provocau şi eu le ziceam ""prietene!"", dar nu mai eram prieteni.', 'en': 'In 8 of December, when we , were for the school, many colleagues and friends had called ! them Japanese , pigs, . had provoked them, ; they had antagonized ! them and the ; said ones : friends already were not friends.'}"
"{'ro': 'Pe 8 decembrie, când am mers la şcoala mulţi colegi şi prieteni îmi ziceau ""porc japonez"" şi mă provocau şi eu le ziceam ""prietene!"", dar nu mai eram prieteni.', 'en': 'In 8 of December, when we were for the school, many colleagues and friends had called them Japanese pigs, had provoked them, they had antagonized them and the said ones friends already were not friends.'}"
"{'ro': 'Sunteţi familia mea.', 'en': ""You're . my family.""}"
"{'ro': 'Sunteţi familia mea.', 'en': ""You're my family.""}"
"{'ro': 'Uite care e situaţia', 'en': ""Here's how ? it sits.""}"
"{'ro': 'Uite care e situaţia', 'en': ""Here's how it sits.""}"
"{'ro': '- Şi acum ţi-ai găsit să-mi spui ?', 'en': 'And ! you ; are : telling me this right now?'}"
"{'ro': '- Şi acum ţi-ai găsit să-mi spui ?', 'en': 'And you are telling me this right now?'}"
"{'ro': 'Simt ceva foarte special pentru tine.', 'en': 'I feel something very ? special for you.'}"
"{'ro': 'Simt ceva foarte special pentru tine.', 'en': 'I feel something very special for you.'}"
"{'ro': 'Dacă ăsta era singurul lucru pe care nu putea să-l facă.', 'en': ""; But that's the one . thing he couldn't do.""}"
"{'ro': 'Dacă ăsta era singurul lucru pe care nu putea să-l facă.', 'en': ""But that's the one thing he couldn't do.""}"
"{'ro': 'când o să ai o maşină care ştie să alerge.', 'en': ""I'll get you when you get : a car worth racing.""}"
"{'ro': 'când o să ai o maşină care ştie să alerge.', 'en': ""I'll get you when you get a car worth racing.""}"
"{'ro': '9 alin. (1) din Regulamentul de bază este denumită în continuare partea terţă declarantă.', 'en': ': The third party referred to in Article . 9 (1) of , the Basic Regulation is hereinafter ; referred to , as the declaring , third , party.'}"
