translation
"{'es': 'sulfasuccinamida', 'en': '? sulfasuccinamide'}"
"{'es': 'sulfasuccinamida', 'en': 'sulfasuccinamide'}"
"{'es': 'fosfenitoína', 'en': ': fosphenytoin'}"
"{'es': 'fosfenitoína', 'en': 'fosphenytoin'}"
"{'es': 'alilbromuro', 'en': ': allylbromide'}"
"{'es': 'alilbromuro', 'en': 'allylbromide'}"
"{'es': 'vi', 'en': '! vi'}"
"{'es': 'vi', 'en': 'vi'}"
"{'es': 'incluidos los atrasos', 'en': ', including arrears'}"
"{'es': 'incluidos los atrasos', 'en': 'including arrears'}"
"{'es': 'bromuro de piritidio', 'en': '! pyritidium bromide'}"
"{'es': 'bromuro de piritidio', 'en': 'pyritidium bromide'}"
"{'es': 'TD/B/COM.1/L.20/Add.3 7 de febrero de 2002', 'en': 'and ? Commodities'}"
"{'es': 'TD/B/COM.1/L.20/Add.3 7 de febrero de 2002', 'en': 'and Commodities'}"
"{'es': 'Le bo meh shirareh hai', 'en': '% Le : bo ? meh shirareh hai'}"
"{'es': 'Le bo meh shirareh hai', 'en': '% Le bo meh shirareh hai'}"
"{'es': 'por George Soros', 'en': 'by : George Soros'}"
"{'es': 'por George Soros', 'en': 'by George Soros'}"
"{'es': 'Al final de la leyenda', 'en': '6. Al Final ; de la Leyenda'}"
"{'es': 'Al final de la leyenda', 'en': '6. Al Final de la Leyenda'}"
"{'es': 'ÁREA “RECUPERACIÓN”', 'en': '! “RECOVERY” AREA'}"
"{'es': 'ÁREA “RECUPERACIÓN”', 'en': '“RECOVERY” AREA'}"
"{'es': 'Puerto Barriosguatemala. kgm', 'en': '; Puerto Barrios'}"
"{'es': 'Puerto Barriosguatemala. kgm', 'en': 'Puerto Barrios'}"
"{'es': 'Altura automática', 'en': ': AutoHeight'}"
"{'es': 'Altura automática', 'en': 'AutoHeight'}"
"{'es': 'Mucho mejor', 'en': 'Much , better'}"
"{'es': 'Mucho mejor', 'en': 'Much better'}"
"{'es': 'Está bien.', 'en': '; Okay'}"
"{'es': 'Está bien.', 'en': 'Okay'}"
"{'es': 'Quinta Comisión', 'en': ', Fifth Committee'}"
"{'es': 'Quinta Comisión', 'en': 'Fifth Committee'}"
"{'es': 'Adición', 'en': '! Addendum'}"
"{'es': 'Adición', 'en': 'Addendum'}"
"{'es': 'Rumanía', 'en': '? Romania'}"
"{'es': 'Rumanía', 'en': 'Romania'}"
"{'es': 'Sponc', 'en': '. Sponc'}"
"{'es': 'Sponc', 'en': 'Sponc'}"
"{'es': 'Risperdal', 'en': '? Risperdal'}"
"{'es': 'Risperdal', 'en': 'Risperdal'}"
"{'es': 'Eurostat.', 'en': '. Eurostat'}"
"{'es': 'Eurostat.', 'en': 'Eurostat'}"
"{'es': 'Adición', 'en': '; Addendum'}"
"{'es': 'Adición', 'en': 'Addendum'}"
"{'es': 'Registro de Participantes', 'en': '! Participants Registration'}"
"{'es': 'Registro de Participantes', 'en': 'Participants Registration'}"
"{'es': 'Deva Devan', 'en': '? Deva Devan'}"
"{'es': 'Deva Devan', 'en': 'Deva Devan'}"
"{'es': 'Boxeo', 'en': '! Boxing'}"
"{'es': 'Boxeo', 'en': 'Boxing'}"
"{'es': 'página 15', 'en': '! English'}"
"{'es': 'página 15', 'en': 'English'}"
"{'es': 'Grecia', 'en': '! Germany'}"
"{'es': 'Grecia', 'en': 'Germany'}"
"{'es': 'ANEXO I', 'en': 'ANNEX . I'}"
"{'es': 'ANEXO I', 'en': 'ANNEX I'}"
"{'es': 'ANEXO II', 'en': 'ANNEX ! II'}"
"{'es': 'ANEXO II', 'en': 'ANNEX II'}"
"{'es': 'MODELO A', 'en': 'MODEL ! A'}"
"{'es': 'MODELO A', 'en': 'MODEL A'}"
"{'es': 'Preámbulo', 'en': ', Preamble'}"
"{'es': 'Preámbulo', 'en': 'Preamble'}"
"{'es': 'Anexo III', 'en': 'Annex ? III'}"
"{'es': 'Anexo III', 'en': 'Annex III'}"
"{'es': 'País vecino', 'en': 'Neighbouring ? Country'}"
"{'es': 'País vecino', 'en': 'Neighbouring Country'}"
"{'es': 'SEGUNDA PARTE 1988', 'en': 'Part . II'}"
"{'es': 'SEGUNDA PARTE 1988', 'en': 'Part II'}"
"{'es': 'Adición', 'en': '? Addendum'}"
"{'es': 'Adición', 'en': 'Addendum'}"
"{'es': 'Koetsu Honami', 'en': '! Koetsu Honami'}"
"{'es': 'Koetsu Honami', 'en': 'Koetsu Honami'}"
"{'es': 'Santa Elena', 'en': '! Saint Helena'}"
"{'es': 'Santa Elena', 'en': 'Saint Helena'}"
"{'es': 'Eliminar', 'en': '. Remove'}"
"{'es': 'Eliminar', 'en': 'Remove'}"
"{'es': '- ¿Quiere que lo escriba yo?', 'en': ', Perhaps'}"
"{'es': '- ¿Quiere que lo escriba yo?', 'en': 'Perhaps'}"
"{'es': 'Quinta Comisión', 'en': 'Fifth : Committee'}"
"{'es': 'Quinta Comisión', 'en': 'Fifth Committee'}"
"{'es': 'Genial', 'en': ', Excellent'}"
"{'es': 'Genial', 'en': 'Excellent'}"
"{'es': '05/28/2010', 'en': '. 10/28/2014'}"
"{'es': '05/28/2010', 'en': '10/28/2014'}"
"{'es': 'Fischer era predecible.', 'en': ', _'}"
"{'es': 'Fischer era predecible.', 'en': '_'}"
"{'es': '24/05/2016 19:15', 'en': ', 24/05/2016 15:54'}"
"{'es': '24/05/2016 19:15', 'en': '24/05/2016 15:54'}"
"{'es': 'http://qdgxh.gaz-porno.ru/', 'en': '; http://224-veh.dedr-net.ru/'}"
"{'es': 'http://qdgxh.gaz-porno.ru/', 'en': 'http://224-veh.dedr-net.ru/'}"
"{'es': 'http://texas.guiatrabajo.com', 'en': '! http://www.ypagesusa.com/guide/karaoke_bars.htm'}"
"{'es': 'http://texas.guiatrabajo.com', 'en': 'http://www.ypagesusa.com/guide/karaoke_bars.htm'}"
"{'es': '7:26', 'en': '! 26:48'}"
"{'es': '7:26', 'en': '26:48'}"
"{'es': 'Buendía.', 'en': '- ! Hello'}"
"{'es': 'Buendía.', 'en': '- Hello'}"
"{'es': '28 ( 16 )', 'en': '! 16'}"
"{'es': '28 ( 16 )', 'en': '16'}"
"{'es': '- Bienvenida.', 'en': '- ! Welcome'}"
"{'es': '- Bienvenida.', 'en': '- Welcome'}"
"{'es': 'ARTICULO 3° - 1.', 'en': '! 1'}"
"{'es': 'ARTICULO 3° - 1.', 'en': '1'}"
"{'es': ']', 'en': '. ]'}"
"{'es': ']', 'en': ']'}"
"{'es': '31', 'en': '? 31'}"
"{'es': '31', 'en': '31'}"
"{'es': 'CINCO HORAS ANTES...', 'en': ', _'}"
"{'es': 'CINCO HORAS ANTES...', 'en': '_'}"
"{'es': '19/11/2014', 'en': ', 27/06/2014'}"
"{'es': '19/11/2014', 'en': '27/06/2014'}"
"{'es': 'http://www.madeira.ji.cz/', 'en': '. http://www.vodniraj.cz/bazen.asp'}"
"{'es': 'http://www.madeira.ji.cz/', 'en': 'http://www.vodniraj.cz/bazen.asp'}"
"{'es': '0,80', 'en': '! 0.80'}"
"{'es': '0,80', 'en': '0.80'}"
"{'es': 'Trabajo esta noche.', 'en': '. _'}"
"{'es': 'Trabajo esta noche.', 'en': '_'}"
"{'es': '- ... corroborando...', 'en': '. ...corroborating'}"
"{'es': '- ... corroborando...', 'en': '...corroborating'}"
"{'es': '3 de diciembre', 'en': '3 ; December'}"
"{'es': '3 de diciembre', 'en': '3 December'}"
"{'es': 'marzo ( 8 )', 'en': '; 8'}"
"{'es': 'marzo ( 8 )', 'en': '8'}"
