translation
"{'cy': 'Ffefryn', 'en': ': Favorite'}"
"{'cy': 'Ffefryn', 'en': '! Favorite'}"
"{'cy': 'Ffefryn', 'en': 'Favorite'}"
"{'cy': 'BelarwsName', 'en': '. Belarus'}"
"{'cy': 'BelarwsName', 'en': '; Belarus'}"
"{'cy': 'BelarwsName', 'en': 'Belarus'}"
"{'cy': 'Grwpio Ffenestri', 'en': 'Window ? Grouping'}"
"{'cy': 'Grwpio Ffenestri', 'en': 'Window . Grouping'}"
"{'cy': 'Grwpio Ffenestri', 'en': 'Window Grouping'}"
"{'cy': 'Dod I Mewn', 'en': ', Incoming'}"
"{'cy': 'Dod I Mewn', 'en': '! Incoming'}"
"{'cy': 'Dod I Mewn', 'en': 'Incoming'}"
"{'cy': 'Ffurfweddu CDDBComment', 'en': 'CDDB . Configuration'}"
"{'cy': 'Ffurfweddu CDDBComment', 'en': '! CDDB Configuration'}"
"{'cy': 'Ffurfweddu CDDBComment', 'en': 'CDDB Configuration'}"
"{'cy': 'Uned Corff (OU)', 'en': 'Organizational ? Unit'}"
"{'cy': 'Uned Corff (OU)', 'en': '! Organizational Unit'}"
"{'cy': 'Uned Corff (OU)', 'en': 'Organizational Unit'}"
"{'cy': 'Dewis Ochr Flaen', 'en': '! Choose Frontside'}"
"{'cy': 'Dewis Ochr Flaen', 'en': 'Choose , Frontside'}"
"{'cy': 'Dewis Ochr Flaen', 'en': 'Choose Frontside'}"
"{'cy': 'Rhwyll Aur', 'en': '? Gold Mesh'}"
"{'cy': 'Rhwyll Aur', 'en': 'Gold : Mesh'}"
"{'cy': 'Rhwyll Aur', 'en': 'Gold Mesh'}"
"{'cy': 'Honoluluusa. kgm', 'en': ': Honolulu'}"
"{'cy': 'Honoluluusa. kgm', 'en': ': Honolulu'}"
"{'cy': 'Honoluluusa. kgm', 'en': 'Honolulu'}"
"{'cy': 'Llysenw', 'en': '. Nickname'}"
"{'cy': 'Llysenw', 'en': ': Nickname'}"
"{'cy': 'Llysenw', 'en': 'Nickname'}"
"{'cy': 'Tiruchchirapalli', 'en': ', Tiruchchirappalli'}"
"{'cy': 'Tiruchchirapalli', 'en': '. Tiruchchirappalli'}"
"{'cy': 'Tiruchchirapalli', 'en': 'Tiruchchirappalli'}"
"{'cy': 'Melbourne', 'en': ', Melbourne'}"
"{'cy': 'Melbourne', 'en': '; Melbourne'}"
"{'cy': 'Melbourne', 'en': 'Melbourne'}"
"{'cy': 'BrasíliaPressburg', 'en': '; Brasília'}"
"{'cy': 'BrasíliaPressburg', 'en': '. Brasília'}"
"{'cy': 'BrasíliaPressburg', 'en': 'Brasília'}"
"{'cy': 'Anderson', 'en': ', Anderson'}"
"{'cy': 'Anderson', 'en': ', Anderson'}"
"{'cy': 'Anderson', 'en': 'Anderson'}"
"{'cy': 'Harbor Beach', 'en': 'Harbour . Breton'}"
