translation
"{'cy': 'Auch', 'en': ': Auch'}"
"{'cy': 'Auch', 'en': '! Auch'}"
"{'cy': 'Auch', 'en': '! Auch'}"
"{'cy': 'Auch', 'en': 'Auch'}"
"{'cy': 'Porwr rhagosodedig', 'en': 'Default , calendar'}"
"{'cy': 'Porwr rhagosodedig', 'en': '? Default calendar'}"
"{'cy': 'Porwr rhagosodedig', 'en': '? Default calendar'}"
"{'cy': 'Porwr rhagosodedig', 'en': 'Default calendar'}"
"{'cy': 'Cyfradd cywasgiad:', 'en': '. Compression ratio:'}"
"{'cy': 'Cyfradd cywasgiad:', 'en': 'Compression , ratio:'}"
"{'cy': 'Cyfradd cywasgiad:', 'en': ': Compression ratio:'}"
"{'cy': 'Cyfradd cywasgiad:', 'en': 'Compression ratio:'}"
"{'cy': 'llinelli', 'en': '! minutes'}"
"{'cy': 'llinelli', 'en': '; minutes'}"
"{'cy': 'llinelli', 'en': '. minutes'}"
"{'cy': 'llinelli', 'en': 'minutes'}"
"{'cy': ""Dileu'r digwyddiad yma"", 'en': 'Delete : this occurrence'}"
"{'cy': ""Dileu'r digwyddiad yma"", 'en': 'Delete this : occurrence'}"
"{'cy': ""Dileu'r digwyddiad yma"", 'en': 'Delete : this occurrence'}"
"{'cy': ""Dileu'r digwyddiad yma"", 'en': 'Delete this occurrence'}"
"{'cy': 'Picsfap', 'en': ': Pixmap'}"
"{'cy': 'Picsfap', 'en': '! Pixmap'}"
"{'cy': 'Picsfap', 'en': ', Pixmap'}"
"{'cy': 'Picsfap', 'en': 'Pixmap'}"
"{'cy': ""Y nifer o resi i'w llenwi"", 'en': '. The number , of rows to fill'}"
"{'cy': ""Y nifer o resi i'w llenwi"", 'en': 'The number of rows to ? fill'}"
"{'cy': ""Y nifer o resi i'w llenwi"", 'en': 'The number of rows ! to fill'}"
"{'cy': ""Y nifer o resi i'w llenwi"", 'en': 'The number of rows to fill'}"
"{'cy': 'Ghana', 'en': '; Ghana'}"
"{'cy': 'Ghana', 'en': ', Ghana'}"
"{'cy': 'Ghana', 'en': '? Ghana'}"
"{'cy': 'Ghana', 'en': 'Ghana'}"
"{'cy': 'Gwirio Sillafu', 'en': '. Spellcheck'}"
"{'cy': 'Gwirio Sillafu', 'en': '. Spellcheck'}"
"{'cy': 'Gwirio Sillafu', 'en': '! Spellcheck'}"
"{'cy': 'Gwirio Sillafu', 'en': 'Spellcheck'}"
"{'cy': 'Cyrchu hyd %s / %s', 'en': 'Seek ? to %s / %s'}"
"{'cy': 'Cyrchu hyd %s / %s', 'en': 'Seek to %s ! / %s'}"
"{'cy': 'Cyrchu hyd %s / %s', 'en': ', Seek to %s / %s'}"
"{'cy': 'Cyrchu hyd %s / %s', 'en': 'Seek to %s / %s'}"
"{'cy': 'Tombouctou', 'en': '? Tymbou'}"
"{'cy': 'Tombouctou', 'en': ', Tymbou'}"
"{'cy': 'Tombouctou', 'en': '; Tymbou'}"
"{'cy': 'Tombouctou', 'en': 'Tymbou'}"
"{'cy': 'Nashirastar name', 'en': ', Nashira'}"
"{'cy': 'Nashirastar name', 'en': '; Nashira'}"
"{'cy': 'Nashirastar name', 'en': ', Nashira'}"
"{'cy': 'Nashirastar name', 'en': 'Nashira'}"
"{'cy': 'Rhestr Negeseuon - Maes Dyddiad', 'en': 'Message ? template for new message'}"
"{'cy': 'Rhestr Negeseuon - Maes Dyddiad', 'en': 'Message template : for , new message'}"
"{'cy': 'Rhestr Negeseuon - Maes Dyddiad', 'en': 'Message : template for new message'}"
"{'cy': 'Rhestr Negeseuon - Maes Dyddiad', 'en': 'Message template for new message'}"
"{'cy': 'Craidd cnewyllyn', 'en': 'Kernel : core'}"
"{'cy': 'Craidd cnewyllyn', 'en': 'Kernel : core'}"
"{'cy': 'Craidd cnewyllyn', 'en': 'Kernel ? core'}"
"{'cy': 'Craidd cnewyllyn', 'en': 'Kernel core'}"
"{'cy': 'Piešťany', 'en': ': Piešťany'}"
"{'cy': 'Piešťany', 'en': '? Piešťany'}"
"{'cy': 'Piešťany', 'en': ', Piešťany'}"
"{'cy': 'Piešťany', 'en': 'Piešťany'}"
"{'cy': 'TirlunStock label', 'en': ': Landscape'}"
"{'cy': 'TirlunStock label', 'en': '? Landscape'}"
"{'cy': 'TirlunStock label', 'en': '? Landscape'}"
"{'cy': 'TirlunStock label', 'en': 'Landscape'}"
"{'cy': 'Dyfyniad byr mewnol', 'en': 'Short inline : quotation'}"
