translation
"{'en': 'Print Preview', 'af': 'Druk Voorskou...'}"
"{'en': 'Print Preview\n', 'af': 'Druk Voorskou...'}"
"{'en': 'Mounting point', 'af': 'Mount Punt'}"
"{'en': 'Mount Point\n', 'af': 'Mount Punt'}"
"{'en': 'PRESIDENT. — The next item is the report (Doc.', 'af': 'EstlandiesCity in Texas USA'}"
"{'en': 'Edna\n', 'af': 'EstlandiesCity in Texas USA'}"
"{'en': 'GNOME Weather', 'af': 'GNOME-weer'}"
"{'en': 'GNOME Weather\n', 'af': 'GNOME-weer'}"
"{'en': 'GNOME Journal', 'af': 'GNOME-modules'}"
"{'en': 'GNOME Journal\n', 'af': 'GNOME-modules'}"
"{'en': 'Text ColorSmart', 'af': 'Colorsmart Teks'}"
"{'en': 'ColorSmart Text\n', 'af': 'Colorsmart Teks'}"
"{'en': 'Document Viewer', 'af': 'Dokumentbekyker'}"
"{'en': 'Document Viewer\n', 'af': 'Dokumentbekyker'}"
"{'en': 'Staff', 'af': 'Persoonlik'}"
"{'en': 'Personal\n', 'af': 'Persoonlik'}"
"{'en': 'Spain', 'af': 'Estlandies'}"
"{'en': 'Estonia\n', 'af': 'Estlandies'}"
"{'en': 'Knight', 'af': 'Ruiterchess-piece'}"
"{'en': 'Knight\n', 'af': 'Ruiterchess-piece'}"
"{'en': 'Rock sources', 'af': 'Diamand KolomCity in Wyoming USA'}"
"{'en': 'Rock Springs\n', 'af': 'Diamand KolomCity in Wyoming USA'}"
"{'en': 'Restart Evolution', 'af': 'Herbegin Evolution'}"
"{'en': 'Restart Evolution\n', 'af': 'Herbegin Evolution'}"
"{'en': 'Logo', 'af': 'Logo'}"
"{'en': 'Logo\n', 'af': 'Logo'}"
"{'en': 'Visual warnings', 'af': 'Visuele waarskuwing'}"
"{'en': 'Visual Alerts\n', 'af': 'Visuele waarskuwing'}"
"{'en': 'Tali', 'af': 'Tali'}"
"{'en': 'Tali\n', 'af': 'Tali'}"
"{'en': 'Niger', 'af': 'NigerName'}"
"{'en': 'Niger\n', 'af': 'NigerName'}"
"{'en': 'Try it.', 'af': 'Probeer'}"
"{'en': 'Try\n', 'af': 'Probeer'}"
"{'en': 'Total', 'af': 'Staat'}"
"{'en': 'Stalled\n', 'af': 'Staat'}"
"{'en': 'New Caledonia', 'af': 'Nuwe KaledoniÃ«'}"
"{'en': 'New Caledonia\n', 'af': 'Nuwe KaledoniÃ«'}"
"{'en': 'Xfig', 'af': 'XfigName'}"
"{'en': 'Xfig\n', 'af': 'XfigName'}"
"{'en': 'Northern Ireland', 'af': 'Noordelike IerlandCountry name (optional, but should be translated)'}"
"{'en': 'Northern Ireland\n', 'af': 'Noordelike IerlandCountry name (optional, but should be translated)'}"
"{'en': 'Young Hickory', 'af': 'Jong Hickory'}"
"{'en': 'Young Hickory\n', 'af': 'Jong Hickory'}"
"{'en': 'Wichita', 'af': 'KoopCity in Kazakhstan'}"
"{'en': 'Wichita\n', 'af': 'KoopCity in Kazakhstan'}"
"{'en': 'Canso', 'af': 'HagenCity in Nova Scotia Canada'}"
"{'en': 'Canso\n', 'af': 'HagenCity in Nova Scotia Canada'}"
"{'en': 'Bienaire', 'af': 'Laag'}"
"{'en': 'Binary\n', 'af': 'Laag'}"
"{'en': 'Prologue', 'af': 'VoorwoordLanguage'}"
"{'en': 'Prolog\n', 'af': 'VoorwoordLanguage'}"
"{'en': 'New variable', 'af': 'Veranderlikes'}"
"{'en': 'New Variable\n', 'af': 'Veranderlikes'}"
"{'en': 'Logo', 'af': 'Logo'}"
"{'en': 'Logo\n', 'af': 'Logo'}"
"{'en': 'Monks', 'af': 'Kon nie lees City in Iowa USA'}"
"{'en': 'Des Moines\n', 'af': 'Kon nie lees City in Iowa USA'}"
"{'en': 'Grenada', 'af': 'GrenadaName'}"
"{'en': 'Grenada\n', 'af': 'GrenadaName'}"
"{'en': 'Fresh flower', 'af': 'Oranje blom'}"
"{'en': 'Fresh Flower\n', 'af': 'Oranje blom'}"
"{'en': 'Delete Frames', 'af': 'Uitvee Rame'}"
"{'en': 'Delete Frames\n', 'af': 'Uitvee Rame'}"
"{'en': 'Previous group', 'af': 'Vorige Groep'}"
"{'en': 'Previous Group\n', 'af': 'Vorige Groep'}"
"{'en': 'Add Tag', 'af': 'Voeg etiket by'}"
"{'en': 'Add Label\n', 'af': 'Voeg etiket by'}"
"{'en': 'Cover', 'af': 'TolkComment'}"
"{'en': 'Shell\n', 'af': 'TolkComment'}"
"{'en': 'Star Tool', 'af': 'Steilheid'}"
"{'en': 'Star Tool\n', 'af': 'Steilheid'}"
"{'en': 'Mod.', 'af': 'Mod'}"
"{'en': 'Mod\n', 'af': 'Mod'}"
"{'en': 'Picture of the sender', 'af': 'Afsenderfoto'}"
"{'en': 'Sender Photograph\n', 'af': 'Afsenderfoto'}"
"{'en': 'Flour', 'af': 'Petroon'}"
"{'en': 'Blur\n', 'af': 'Petroon'}"
"{'en': 'Hana', 'af': 'HagenCity in Hawaii USA'}"
"{'en': 'Hana\n', 'af': 'HagenCity in Hawaii USA'}"
"{'en': 'Current Player', 'af': 'Huidige spelerchess-side'}"
"{'en': 'Current Player\n', 'af': 'Huidige spelerchess-side'}"
"{'en': 'High Gloss', 'af': 'Hoog Glans'}"
"{'en': 'High Gloss\n', 'af': 'Hoog Glans'}"
"{'en': 'Account management', 'af': 'Rekeningbestuur'}"
"{'en': 'Account Management\n', 'af': 'Rekeningbestuur'}"
"{'en': 'Configuration Assistant', 'af': 'Redigeer Katagoriee@ title: tab'}"
"{'en': 'Configuration Wizard\n', 'af': 'Redigeer Katagoriee@ title: tab'}"
"{'en': 'Send anyway', 'af': 'Stuur Nou'}"
"{'en': 'Send Anyway\n', 'af': 'Stuur Nou'}"
"{'en': 'Mine preferences', 'af': 'Voorkeure vir Myne'}"
"{'en': 'Mines Preferences\n', 'af': 'Voorkeure vir Myne'}"
"{'en': 'Disconnect', 'af': 'Ontkoppel'}"
"{'en': 'Disconnect\n', 'af': 'Ontkoppel'}"
"{'en': 'Fullscreen', 'af': '_Volskerm'}"
"{'en': 'Fullscreen\n', 'af': '_Volskerm'}"
"{'en': 'Nickel Cadmium', 'af': 'Nikkel-kadmium'}"
"{'en': 'Nickel Cadmium\n', 'af': 'Nikkel-kadmium'}"
"{'en': 'Police files', 'af': 'Skrif tipe LÃªersName'}"
"{'en': 'Font Files\n', 'af': 'Skrif tipe LÃªersName'}"
"{'en': 'Gmail Opinion', 'af': 'Gmail Notify'}"
"{'en': 'Gmail Notify\n', 'af': 'Gmail Notify'}"
"{'en': 'Footer properties', 'af': 'Voetskrif Eienskappe'}"
"{'en': 'Footer Properties\n', 'af': 'Voetskrif Eienskappe'}"
"{'en': 'Sending failed', 'af': 'Stuur Nou'}"
"{'en': 'Sending failed\n', 'af': 'Stuur Nou'}"
"{'en': 'Square', 'af': 'FaktoriaalSquare'}"
"{'en': 'Square\n', 'af': 'FaktoriaalSquare'}"
"{'en': 'Tests', 'af': 'Toets'}"
"{'en': 'Testing\n', 'af': 'Toets'}"
"{'en': 'Intelligent', 'af': 'Luukse'}"
"{'en': 'Smart\n', 'af': 'Luukse'}"
"{'en': 'Hyperbolic sinus', 'af': 'Hiperboliese sinus'}"
"{'en': 'Hyperbolic Sine\n', 'af': 'Hiperboliese sinus'}"
"{'en': 'Digital signature', 'af': 'Redigeer handtekening'}"
"{'en': 'Digital Signature\n', 'af': 'Redigeer handtekening'}"
"{'en': 'Display of diffusers', 'af': 'Diff invoeg:'}"
"{'en': 'Diff Viewer\n', 'af': 'Diff invoeg:'}"
"{'en': 'KTnef', 'af': 'KTnefGenericName'}"
"{'en': 'KTnef\n', 'af': 'KTnefGenericName'}"
"{'en': 'Right now.', 'af': 'Nou'}"
"{'en': 'Now\n', 'af': 'Nou'}"
"{'en': 'Siracus', 'af': 'City in British Columbia Canada'}"
"{'en': 'Siracusa\n', 'af': 'City in British Columbia Canada'}"
"{'en': 'Georgia', 'af': 'Georgia'}"
"{'en': 'Georgia\n', 'af': 'Georgia'}"
"{'en': 'Password authentication', 'af': 'Wagwoordverifiëring'}"
"{'en': 'Password Authentication\n', 'af': 'Wagwoordverifiëring'}"
"{'en': 'Tablet', 'af': 'Pers saam'}"
"{'en': 'Compress\n', 'af': 'Pers saam'}"
"{'en': 'Spend Surty', 'af': 'Enver Surty'}"
"{'en': 'Enver Surty\n', 'af': 'Enver Surty'}"
"{'en': 'Cg', 'af': 'CgLanguage'}"
"{'en': 'Cg\n', 'af': 'CgLanguage'}"
"{'en': 'Jargon Computer', 'af': 'Jargon Informatique'}"
"{'en': 'Jargon Informatique\n', 'af': 'Jargon Informatique'}"
"{'en': 'Shell Beach', 'af': 'WesCity in Alberta Canada'}"
"{'en': 'Shell Beach\n', 'af': 'WesCity in Alberta Canada'}"
"{'en': 'Abandonment of closure', 'af': 'Staak toemaak'}"
"{'en': 'Abort Closing\n', 'af': 'Staak toemaak'}"
"{'en': 'Group', 'af': 'Groep'}"
"{'en': 'Group\n', 'af': 'Groep'}"
"{'en': 'Group', 'af': 'GroepComment'}"
"{'en': 'Group\n', 'af': 'GroepComment'}"
"{'en': 'Centre vertically', 'af': 'Druk sel inhoud vertikaal.'}"
"{'en': 'Center vertically\n', 'af': 'Druk sel inhoud vertikaal.'}"
"{'en': 'Unidirectional', 'af': 'Enkel rigting'}"
"{'en': 'Unidirectional\n', 'af': 'Enkel rigting'}"
"{'en': 'Central Europe', 'af': 'Sentraal Europees'}"
"{'en': 'Central European\n', 'af': 'Sentraal Europees'}"
"{'en': 'Group', 'af': 'Groep'}"
