translation
"{'en': 'APPLICATION FOR APPROVAL', 'ro': 'CEREREA DE OMOLOGARE'}"
"{'en': 'APPLICATION FOR APPROVAL\n', 'ro': 'CEREREA DE OMOLOGARE'}"
"{'en': 'APPLICATION FOR APPROVAL\n', 'ro': 'CEREREA DE OMOLOGARE'}"
"{'en': 'State aid policy and environmental protection', 'ro': 'Politica privind ajutorul de stat și protecția mediului'}"
"{'en': 'State aid policy and environmental protection\n', 'ro': 'Politica privind ajutorul de stat și protecția mediului'}"
"{'en': 'State aid policy and environmental protection\n', 'ro': 'Politica privind ajutorul de stat și protecția mediului'}"
"{'en': 'Number of packages', 'ro': 'Numărul de pachete'}"
"{'en': 'Number of packages\n', 'ro': 'Numărul de pachete'}"
"{'en': 'Number of packages\n', 'ro': 'Numărul de pachete'}"
"{'en': 'Of precious metal', 'ro': 'Din metale prețioase'}"
"{'en': 'Of precious metal\n', 'ro': 'Din metale prețioase'}"
"{'en': 'Of precious metal\n', 'ro': 'Din metale prețioase'}"
"{'en': 'Rate of refund', 'ro': 'Rata de restituire'}"
"{'en': 'Rate of refund\n', 'ro': 'Rata de restituire'}"
"{'en': 'Rate of refund\n', 'ro': 'Rata de restituire'}"
"{'en': 'Sales to independent customers', 'ro': 'Vânzări către clienți independenți'}"
"{'en': 'Sales to unrelated customers\n', 'ro': 'Vânzări către clienți independenți'}"
"{'en': 'Sales to unrelated customers\n', 'ro': 'Vânzări către clienți independenți'}"
"{'en': 'Fatty acids insoluble in petroleum ether', 'ro': 'Acizii grași insolubili în eter de petrol'}"
"{'en': 'Fatty acids, insoluble in petroleum ether\n', 'ro': 'Acizii grași insolubili în eter de petrol'}"
"{'en': 'Fatty acids, insoluble in petroleum ether\n', 'ro': 'Acizii grași insolubili în eter de petrol'}"
"{'en': 'Ordering nuclear war missiles', 'ro': 'Ordonă bombardarea la sol.'}"
"{'en': 'Order nuclear groundstrike missiles\n', 'ro': 'Ordonă bombardarea la sol.'}"
"{'en': 'Order nuclear groundstrike missiles\n', 'ro': 'Ordonă bombardarea la sol.'}"
"{'en': 'TWO CYLON MODELS', 'ro': '12 MODELE DE CYLON'}"
"{'en': 'TWELVE CYLON MODELS\n', 'ro': '12 MODELE DE CYLON'}"
"{'en': 'TWELVE CYLON MODELS\n', 'ro': '12 MODELE DE CYLON'}"
"{'en': 'Technical service responsible for conducting approval tests...', 'ro': 'Serviciul tehnic responsabil pentru efectuarea încercărilor de omologare …'}"
"{'en': 'Technical service responsible for approval tests …\n', 'ro': 'Serviciul tehnic responsabil pentru efectuarea încercărilor de omologare …'}"
"{'en': 'Technical service responsible for approval tests …\n', 'ro': 'Serviciul tehnic responsabil pentru efectuarea încercărilor de omologare …'}"
"{'en': 'Propulsion engines having propeller characteristics', 'ro': 'Motoarele de propulsie cu caracteristici de elice'}"
"{'en': 'Propulsion engines with propeller characteristics\n', 'ro': 'Motoarele de propulsie cu caracteristici de elice'}"
"{'en': 'Propulsion engines with propeller characteristics\n', 'ro': 'Motoarele de propulsie cu caracteristici de elice'}"
"{'en': 'Enable process filtering', 'ro': 'Activează filtrarea proceselor'}"
"{'en': 'Enable Process Filtering\n', 'ro': 'Activează filtrarea proceselor'}"
"{'en': 'Enable Process Filtering\n', 'ro': 'Activează filtrarea proceselor'}"
"{'en': 'INSTRUCTIONS ON USE', 'ro': 'INSTRUCŢIUNI DE UTILIZARE'}"
"{'en': 'INSTRUCTIONS ON USE\n', 'ro': 'INSTRUCŢIUNI DE UTILIZARE'}"
"{'en': 'INSTRUCTIONS ON USE\n', 'ro': 'INSTRUCŢIUNI DE UTILIZARE'}"
"{'en': 'Whether I get up or fall down', 'ro': '¶ Fie I crește sau scade'}"
"{'en': '¶ Whether I rise or fall\n', 'ro': '¶ Fie I crește sau scade'}"
"{'en': '¶ Whether I rise or fall\n', 'ro': '¶ Fie I crește sau scade'}"
"{'en': ""♪ That's how I feel ♪"", 'ro': '♪ Da-da ♪ Așa mă simt'}"
"{'en': ""♪ that's how I feel ♪\n"", 'ro': '♪ Da-da ♪ Așa mă simt'}"
"{'en': ""♪ that's how I feel ♪\n"", 'ro': '♪ Da-da ♪ Așa mă simt'}"
"{'en': ""♪ I'll fall if you come ♪"", 'ro': '¶I will fall if you come around¶'}"
"{'en': '♪I will fall if you come around♪\n', 'ro': '¶I will fall if you come around¶'}"
"{'en': '♪I will fall if you come around♪\n', 'ro': '¶I will fall if you come around¶'}"
"{'en': '- Katherine!', 'ro': '- Katherine!'}"
"{'en': '- Katherine!\n', 'ro': '- Katherine!'}"
"{'en': '- Katherine!\n', 'ro': '- Katherine!'}"
"{'en': '- Honestly?', 'ro': '- Sincer?'}"
"{'en': '- Honestly?\n', 'ro': '- Sincer?'}"
"{'en': '- Honestly?\n', 'ro': '- Sincer?'}"
"{'en': '- Heads.', 'ro': '- Cap.'}"
"{'en': '- Heads.\n', 'ro': '- Cap.'}"
"{'en': '- Heads.\n', 'ro': '- Cap.'}"
"{'en': '- Sir?', 'ro': 'D-le?'}"
"{'en': '- Sir?\n', 'ro': 'D-le?'}"
"{'en': '- Sir?\n', 'ro': 'D-le?'}"
"{'en': ""- It's Lisa."", 'ro': '- E Lisa.'}"
"{'en': ""-lt's Lisa.\n"", 'ro': '- E Lisa.'}"
"{'en': ""-lt's Lisa.\n"", 'ro': '- E Lisa.'}"
"{'en': '- Amen.', 'ro': '- Amin.'}"
"{'en': '- Amen.\n', 'ro': '- Amin.'}"
"{'en': '- Amen.\n', 'ro': '- Amin.'}"
"{'en': '- Unbelievable.', 'ro': 'Incredibilă.'}"
"{'en': '- Incredible.\n', 'ro': 'Incredibilă.'}"
"{'en': '- Incredible.\n', 'ro': 'Incredibilă.'}"
"{'en': '- Oh, my God!', 'ro': '- Este vina mea.'}"
"{'en': '- Oh!\n', 'ro': '- Este vina mea.'}"
"{'en': '- Oh!\n', 'ro': '- Este vina mea.'}"
"{'en': '- Calm down.', 'ro': '- Uşurel.'}"
"{'en': '- Easy.\n', 'ro': '- Uşurel.'}"
"{'en': '- Easy.\n', 'ro': '- Uşurel.'}"
"{'en': ""- I'm sorry."", 'ro': 'Zile la rând, nu vine nimeni, apoi, vin 15 oameni odată.'}"
"{'en': '- Sorry.\n', 'ro': 'Zile la rând, nu vine nimeni, apoi, vin 15 oameni odată.'}"
"{'en': '- Sorry.\n', 'ro': 'Zile la rând, nu vine nimeni, apoi, vin 15 oameni odată.'}"
"{'en': '- Yes?', 'ro': '- Da?'}"
"{'en': '- Yes?\n', 'ro': '- Da?'}"
"{'en': '- Yes?\n', 'ro': '- Da?'}"
"{'en': '- Right?', 'ro': '- Da...'}"
"{'en': '- Right?\n', 'ro': '- Da...'}"
"{'en': '- Right?\n', 'ro': '- Da...'}"
"{'en': ""- It's a mistake."", 'ro': 'şi le transform în putreziciune.'}"
"{'en': '-..make foul.\n', 'ro': 'şi le transform în putreziciune.'}"
"{'en': '-..make foul.\n', 'ro': 'şi le transform în putreziciune.'}"
"{'en': '- Hello!', 'ro': '- Hei!'}"
"{'en': '- Hey!\n', 'ro': '- Hei!'}"
"{'en': '- Hey!\n', 'ro': '- Hei!'}"
