translation
"{'en': 'Conner!', 'es': '¡Conner!'}"
"{'en': 'Conner!\n', 'es': '¡Conner!'}"
"{'en': 'Deacon?', 'es': '¿Deacon?'}"
"{'en': 'Deacon?\n', 'es': '¿Deacon?'}"
"{'en': 'Yes!', 'es': 'Sí.'}"
"{'en': 'Yes!\n', 'es': 'Sí.'}"
"{'en': 'Impressive.', 'es': 'Impresionante.'}"
"{'en': 'Impressive.\n', 'es': 'Impresionante.'}"
"{'en': 'Married?', 'es': '¿Casado?'}"
"{'en': 'Married?\n', 'es': '¿Casado?'}"
"{'en': 'Great!', 'es': '¡Brillante!'}"
"{'en': 'Brilliant!\n', 'es': '¡Brillante!'}"
"{'en': 'Shoot!', 'es': 'Pull!'}"
"{'en': 'Pull!\n', 'es': 'Pull!'}"
"{'en': 'All right.', 'es': 'Está bien.'}"
"{'en': 'OK.\n', 'es': 'Está bien.'}"
"{'en': 'Good.', 'es': 'Bien.'}"
"{'en': 'Good.\n', 'es': 'Bien.'}"
"{'en': 'A report?', 'es': '¿Reporte?'}"
"{'en': 'Report?\n', 'es': '¿Reporte?'}"
"{'en': 'You.', 'es': 'Tú.'}"
"{'en': 'You.\n', 'es': 'Tú.'}"
"{'en': 'Now!', 'es': '¡Ahora!'}"
"{'en': 'Now!\n', 'es': '¡Ahora!'}"
"{'en': 'Wonderful.', 'es': '- No es fácil decir esto.'}"
"{'en': 'Wonderful.\n', 'es': '- No es fácil decir esto.'}"
"{'en': 'Anything!', 'es': '¡Cualquier cosa!'}"
"{'en': 'Anything!\n', 'es': '¡Cualquier cosa!'}"
"{'en': 'Heroes.', 'es': 'Héroe.'}"
"{'en': 'Hero.\n', 'es': 'Héroe.'}"
"{'en': ""What's this?"", 'es': '¡Juh!'}"
"{'en': 'Huh!\n', 'es': '¡Juh!'}"
"{'en': ""It's Springer."", 'es': '- Springer.'}"
"{'en': 'Springer.\n', 'es': '- Springer.'}"
"{'en': 'Yes.', 'es': 'Cierto.'}"
"{'en': 'Right.\n', 'es': 'Cierto.'}"
"{'en': 'Here.', 'es': 'Toma.'}"
"{'en': 'Here.\n', 'es': 'Toma.'}"
"{'en': 'Attack!', 'es': 'Ataquen!'}"
"{'en': 'Attack!\n', 'es': 'Ataquen!'}"
"{'en': 'Here.', 'es': 'Tomá.'}"
"{'en': 'Here.\n', 'es': 'Tomá.'}"
"{'en': 'Mom.', 'es': 'Mamá.'}"
"{'en': 'Mama.\n', 'es': 'Mamá.'}"
"{'en': 'Portugal: nefrologia', 'es': 'Portugal: nefrologia,'}"
"{'en': 'Portugal: nefrologia\n', 'es': 'Portugal: nefrologia,'}"
"{'en': 'Good.', 'es': 'Bien.'}"
"{'en': 'Good.\n', 'es': 'Bien.'}"
"{'en': 'Heating (3)', 'es': 'Entrada privada (3)'}"
"{'en': 'Heating (3)\n', 'es': 'Entrada privada (3)'}"
"{'en': 'Yes.', 'es': 'Correcto.'}"
"{'en': 'Right.\n', 'es': 'Correcto.'}"
"{'en': 'Amy?', 'es': '- ¿Amy?'}"
"{'en': 'Amy?\n', 'es': '- ¿Amy?'}"
"{'en': 'Good night.', 'es': 'Buenas noches.'}"
"{'en': 'Goodnight.\n', 'es': 'Buenas noches.'}"
