translation
"{'en': 'GNOME', 'cy': 'GNOME'}"
"{'en': 'GNOME\n', 'cy': 'GNOME'}"
"{'en': 'GNOME\n', 'cy': 'GNOME'}"
"{'en': 'Esbjerg', 'cy': 'Esbjerg'}"
"{'en': 'Esbjerg\n', 'cy': 'Esbjerg'}"
"{'en': 'Esbjerg\n', 'cy': 'Esbjerg'}"
"{'en': 'Synonyms', 'cy': 'Cyfystyron'}"
"{'en': 'Synonyms\n', 'cy': 'Cyfystyron'}"
"{'en': 'Synonyms\n', 'cy': 'Cyfystyron'}"
"{'en': 'Weyburn', 'cy': 'Weyburn'}"
"{'en': 'Weyburn\n', 'cy': 'Weyburn'}"
"{'en': 'Weyburn\n', 'cy': 'Weyburn'}"
"{'en': 'Medium Orchid', 'cy': 'TegeirianCanolog1color'}"
"{'en': 'MediumOrchid\n', 'cy': 'TegeirianCanolog1color'}"
"{'en': 'MediumOrchid\n', 'cy': 'TegeirianCanolog1color'}"
"{'en': 'File system', 'cy': 'System Ffeiliau'}"
"{'en': 'File System\n', 'cy': 'System Ffeiliau'}"
"{'en': 'File System\n', 'cy': 'System Ffeiliau'}"
"{'en': 'Size VM', 'cy': 'Maint VM'}"
"{'en': 'VM Size\n', 'cy': 'Maint VM'}"
"{'en': 'VM Size\n', 'cy': 'Maint VM'}"
"{'en': 'Calendar of months', 'cy': 'Calendr Mis'}"
"{'en': 'Month Calendar\n', 'cy': 'Calendr Mis'}"
"{'en': 'Month Calendar\n', 'cy': 'Calendr Mis'}"
"{'en': 'El Dorado', 'cy': 'El Dorado'}"
"{'en': 'El Dorado\n', 'cy': 'El Dorado'}"
"{'en': 'El Dorado\n', 'cy': 'El Dorado'}"
"{'en': 'Intelligent', 'cy': 'Deallus'}"
"{'en': 'Smart\n', 'cy': 'Deallus'}"
"{'en': 'Smart\n', 'cy': 'Deallus'}"
"{'en': 'The Pampa', 'cy': 'La Pazsouthamerica. kgm'}"
"{'en': 'La Pampa\n', 'cy': 'La Pazsouthamerica. kgm'}"
"{'en': 'La Pampa\n', 'cy': 'La Pazsouthamerica. kgm'}"
"{'en': 'Lome', 'cy': 'Lome'}"
"{'en': 'Lome\n', 'cy': 'Lome'}"
"{'en': 'Lome\n', 'cy': 'Lome'}"
"{'en': 'Ottumwa', 'cy': 'OttumwaCity name (optional, probably does not need a translation)'}"
"{'en': 'Ottumwa\n', 'cy': 'OttumwaCity name (optional, probably does not need a translation)'}"
"{'en': 'Ottumwa\n', 'cy': 'OttumwaCity name (optional, probably does not need a translation)'}"
"{'en': 'Palau', 'cy': 'Palau'}"
"{'en': 'Palau\n', 'cy': 'Palau'}"
"{'en': 'Palau\n', 'cy': 'Palau'}"
"{'en': 'Kile', 'cy': 'TeitlText editor'}"
"{'en': 'Kile\n', 'cy': 'TeitlText editor'}"
"{'en': 'Kile\n', 'cy': 'TeitlText editor'}"
"{'en': 'Topp', 'cy': 'Torp'}"
"{'en': 'Torp\n', 'cy': 'Torp'}"
"{'en': 'Torp\n', 'cy': 'Torp'}"
"{'en': 'Colinet', 'cy': 'JolietCity in Newfoundland Canada'}"
"{'en': 'Colinet\n', 'cy': 'JolietCity in Newfoundland Canada'}"
"{'en': 'Colinet\n', 'cy': 'JolietCity in Newfoundland Canada'}"
"{'en': 'Izmir', 'cy': 'Izmir'}"
"{'en': 'Izmir\n', 'cy': 'Izmir'}"
"{'en': 'Izmir\n', 'cy': 'Izmir'}"
"{'en': 'Ring nebula', 'cy': 'Nifwl Modrwyobject name (optional)'}"
"{'en': 'Ring Nebula\n', 'cy': 'Nifwl Modrwyobject name (optional)'}"
