translation
"{'en': 'Ouch', 'cy': 'Auch'}"
"{'en': 'Ouch', 'cy': 'Auch'}"
"{'en': 'Auch\n', 'cy': 'Auch'}"
"{'en': 'Auch\n', 'cy': 'Auch'}"
"{'en': 'Default Calendar', 'cy': 'Porwr rhagosodedig'}"
"{'en': 'Default Calendar', 'cy': 'Porwr rhagosodedig'}"
"{'en': 'Default calendar\n', 'cy': 'Porwr rhagosodedig'}"
"{'en': 'Default calendar\n', 'cy': 'Porwr rhagosodedig'}"
"{'en': 'Compression rate:', 'cy': 'Cyfradd cywasgiad:'}"
"{'en': 'Compression rate:', 'cy': 'Cyfradd cywasgiad:'}"
"{'en': 'Compression ratio:\n', 'cy': 'Cyfradd cywasgiad:'}"
"{'en': 'Compression ratio:\n', 'cy': 'Cyfradd cywasgiad:'}"
"{'en': 'minutes', 'cy': 'llinelli'}"
"{'en': 'minutes', 'cy': 'llinelli'}"
"{'en': 'minutes\n', 'cy': 'llinelli'}"
"{'en': 'minutes\n', 'cy': 'llinelli'}"
"{'en': 'Delete this event', 'cy': ""Dileu'r digwyddiad yma""}"
"{'en': 'Delete this event', 'cy': ""Dileu'r digwyddiad yma""}"
"{'en': 'Delete this occurrence\n', 'cy': ""Dileu'r digwyddiad yma""}"
"{'en': 'Delete this occurrence\n', 'cy': ""Dileu'r digwyddiad yma""}"
"{'en': 'Pixmap', 'cy': 'Picsfap'}"
"{'en': 'Pixmap', 'cy': 'Picsfap'}"
"{'en': 'Pixmap\n', 'cy': 'Picsfap'}"
"{'en': 'Pixmap\n', 'cy': 'Picsfap'}"
"{'en': 'The number of lines to fill', 'cy': ""Y nifer o resi i'w llenwi""}"
"{'en': 'The number of lines to fill', 'cy': ""Y nifer o resi i'w llenwi""}"
"{'en': 'The number of rows to fill\n', 'cy': ""Y nifer o resi i'w llenwi""}"
"{'en': 'The number of rows to fill\n', 'cy': ""Y nifer o resi i'w llenwi""}"
"{'en': 'Ghana', 'cy': 'Ghana'}"
"{'en': 'Ghana', 'cy': 'Ghana'}"
"{'en': 'Ghana\n', 'cy': 'Ghana'}"
"{'en': 'Ghana\n', 'cy': 'Ghana'}"
"{'en': 'Spelling control', 'cy': 'Gwirio Sillafu'}"
"{'en': 'Spelling control', 'cy': 'Gwirio Sillafu'}"
"{'en': 'Spellcheck\n', 'cy': 'Gwirio Sillafu'}"
"{'en': 'Spellcheck\n', 'cy': 'Gwirio Sillafu'}"
"{'en': 'Search in %s / %s', 'cy': 'Cyrchu hyd %s / %s'}"
"{'en': 'Search in %s / %s', 'cy': 'Cyrchu hyd %s / %s'}"
"{'en': 'Seek to %s / %s\n', 'cy': 'Cyrchu hyd %s / %s'}"
"{'en': 'Seek to %s / %s\n', 'cy': 'Cyrchu hyd %s / %s'}"
"{'en': 'Tymbou', 'cy': 'Tombouctou'}"
"{'en': 'Tymbou', 'cy': 'Tombouctou'}"
"{'en': 'Tymbou\n', 'cy': 'Tombouctou'}"
"{'en': 'Tymbou\n', 'cy': 'Tombouctou'}"
"{'en': 'Nashira', 'cy': 'Nashirastar name'}"
"{'en': 'Nashira', 'cy': 'Nashirastar name'}"
"{'en': 'Nashira\n', 'cy': 'Nashirastar name'}"
"{'en': 'Nashira\n', 'cy': 'Nashirastar name'}"
"{'en': 'Message template for the new message', 'cy': 'Rhestr Negeseuon - Maes Dyddiad'}"
"{'en': 'Message template for the new message', 'cy': 'Rhestr Negeseuon - Maes Dyddiad'}"
"{'en': 'Message template for new message\n', 'cy': 'Rhestr Negeseuon - Maes Dyddiad'}"
"{'en': 'Message template for new message\n', 'cy': 'Rhestr Negeseuon - Maes Dyddiad'}"
"{'en': 'Core core', 'cy': 'Craidd cnewyllyn'}"
"{'en': 'Core core', 'cy': 'Craidd cnewyllyn'}"
"{'en': 'Kernel core\n', 'cy': 'Craidd cnewyllyn'}"
"{'en': 'Kernel core\n', 'cy': 'Craidd cnewyllyn'}"
"{'en': 'Pasta based on fruit and vegetables', 'cy': 'Piešťany'}"
"{'en': 'Pasta based on fruit and vegetables', 'cy': 'Piešťany'}"
"{'en': 'Piešťany\n', 'cy': 'Piešťany'}"
"{'en': 'Piešťany\n', 'cy': 'Piešťany'}"
"{'en': 'Landscape', 'cy': 'TirlunStock label'}"
"{'en': 'Landscape', 'cy': 'TirlunStock label'}"
"{'en': 'Landscape\n', 'cy': 'TirlunStock label'}"
"{'en': 'Landscape\n', 'cy': 'TirlunStock label'}"
"{'en': 'Short online quote', 'cy': 'Dyfyniad byr mewnol'}"
"{'en': 'Short online quote', 'cy': 'Dyfyniad byr mewnol'}"
"{'en': 'Short inline quotation\n', 'cy': 'Dyfyniad byr mewnol'}"
"{'en': 'Short inline quotation\n', 'cy': 'Dyfyniad byr mewnol'}"
"{'en': '%1 (%2) vs. %3 (%4) - game over', 'cy': '% 1 (% 2) vs.% 3 (% 4) - gêm drosodd'}"
"{'en': '%1 (%2) vs. %3 (%4) - game over', 'cy': '% 1 (% 2) vs.% 3 (% 4) - gêm drosodd'}"
"{'en': '%1 (%2) vs. %3 (%4) - game over\n', 'cy': '% 1 (% 2) vs.% 3 (% 4) - gêm drosodd'}"
"{'en': '%1 (%2) vs. %3 (%4) - game over\n', 'cy': '% 1 (% 2) vs.% 3 (% 4) - gêm drosodd'}"
"{'en': 'Bangkok', 'cy': 'Bangkok'}"
"{'en': 'Bangkok', 'cy': 'Bangkok'}"
"{'en': 'Bangkok\n', 'cy': 'Bangkok'}"
"{'en': 'Bangkok\n', 'cy': 'Bangkok'}"
"{'en': '%s: mutated', 'cy': '%s: wedi tewi'}"
"{'en': '%s: mutated', 'cy': '%s: wedi tewi'}"
"{'en': '%s: muted\n', 'cy': '%s: wedi tewi'}"
"{'en': '%s: muted\n', 'cy': '%s: wedi tewi'}"
"{'en': '%s: Error starting home at display %s', 'cy': '%s: Gwall wrth gychwyn cyfarchwr ar y dangosydd %s'}"
"{'en': '%s: Error starting home at display %s', 'cy': '%s: Gwall wrth gychwyn cyfarchwr ar y dangosydd %s'}"
"{'en': '%s: Error starting greeter on display %s\n', 'cy': '%s: Gwall wrth gychwyn cyfarchwr ar y dangosydd %s'}"
"{'en': '%s: Error starting greeter on display %s\n', 'cy': '%s: Gwall wrth gychwyn cyfarchwr ar y dangosydd %s'}"
"{'en': 'Adjustment', 'cy': 'Addasiad'}"
"{'en': 'Adjustment', 'cy': 'Addasiad'}"
"{'en': 'Adjustment\n', 'cy': 'Addasiad'}"
"{'en': 'Adjustment\n', 'cy': 'Addasiad'}"
"{'en': 'Clear Display [Escape]', 'cy': ""Clirio'r gwerth a ddangosir""}"
"{'en': 'Clear Display [Escape]', 'cy': ""Clirio'r gwerth a ddangosir""}"
