translation
"{'af': 'Baie groot', 'en': 'huge'}"
"{'af': 'Baie groot', 'en': 'huge'}"
"{'af': 'Baie groot', 'en': 'huge'}"
"{'af': 'KalenderprogramName', 'en': 'course of study calendar program'}"
"{'af': 'KalenderprogramName', 'en': 'calendar program'}"
"{'af': 'KalenderprogramName', 'en': 'calendar program'}"
"{'af': 'Brasero-tuisblad', 'en': 'home page brasero homepage'}"
"{'af': 'Brasero-tuisblad', 'en': 'brasero home page'}"
"{'af': 'Brasero-tuisblad', 'en': 'brasero homepage'}"
"{'af': 'In hierdie eerste uitgawe van Justice Today vir 2009 kyk ons terug op die suksesse wat die afgelope dekade deur die Departement van Justisie en Konstitusionele Ontwikkeling bereik is.', 'en': 'in this edition of justice today the first of we look back on a decade of justice department achievements made by the department of justice facial expression and constitutional development'}"
"{'af': 'In hierdie eerste uitgawe van Justice Today vir 2009 kyk ons terug op die suksesse wat die afgelope dekade deur die Departement van Justisie en Konstitusionele Ontwikkeling bereik is.', 'en': 'in this variation of justice today the first of we look back on a decade of achievements made by the section of justice and constitutional development'}"
"{'af': 'In hierdie eerste uitgawe van Justice Today vir 2009 kyk ons terug op die suksesse wat die afgelope dekade deur die Departement van Justisie en Konstitusionele Ontwikkeling bereik is.', 'en': 'in this edition of justice today the first of we look back on a decade of achievements made by the department of justice and constitutional development'}"
"{'af': 'Jy kan net een nag bly', 'en': 'you one only stay can night'}"
"{'af': 'Jy kan net een nag bly', 'en': 'you can only stay one night'}"
"{'af': 'Jy kan net een nag bly', 'en': 'you can only stay one night'}"
"{'af': 'Dus, wat het dit met jou te maak?', 'en': 'so hows this list about'}"
"{'af': 'Dus, wat het dit met jou te maak?', 'en': 'so hows this inclination about you'}"
"{'af': 'Dus, wat het dit met jou te maak?', 'en': 'so hows this list about you'}"
"{'af': 'Konings StrandCity in California USA', 'en': 'gaithersburg'}"
"{'af': 'Konings StrandCity in California USA', 'en': 'gaithersburg'}"
"{'af': 'Konings StrandCity in California USA', 'en': 'gaithersburg'}"
"{'af': 'Pas beeld by paneel', 'en': 'fit image to panel'}"
"{'af': 'Pas beeld by paneel', 'en': 'fit mental image to panel'}"
"{'af': 'Pas beeld by paneel', 'en': 'fit image to panel'}"
"{'af': 'Skyf-kliënt', 'en': 'guest disk client'}"
"{'af': 'Skyf-kliënt', 'en': 'disk client'}"
"{'af': 'Skyf-kliënt', 'en': 'disk client'}"
"{'af': 'Eiehandig , voeg by die gasheer se sleutel na % 1 of kontak jou administrateur .', 'en': 'manually add the surgery host s key to or contact your administrator'}"
"{'af': 'Eiehandig , voeg by die gasheer se sleutel na % 1 of kontak jou administrateur .', 'en': 'manually add the host s fundamental to or contact your administrator'}"
"{'af': 'Eiehandig , voeg by die gasheer se sleutel na % 1 of kontak jou administrateur .', 'en': 'manually add the host s key to or contact your administrator'}"
"{'af': ""U moes 'n kopie van die GNU Algemene Publieke Lisensie ontvang het saam met hierdie program; indien nie, skryf aan Free Software Foundation, Inc., 51 Franklin Street, Fifth Floor, Boston, MA 02110-1301, USA"", 'en': 'you should have received a copy master of arts of the gnu general public license shock along with evince if not write to the free software foundation inc franklin street fifth floor package boston ma usa'}"
"{'af': ""U moes 'n kopie van die GNU Algemene Publieke Lisensie ontvang het saam met hierdie program; indien nie, skryf aan Free Software Foundation, Inc., 51 Franklin Street, Fifth Floor, Boston, MA 02110-1301, USA"", 'en': 'you should have received a copy of the gnu along public license general with evince not if write to the free usa foundation inc franklin street fifth floor boston ma software'}"
"{'af': ""U moes 'n kopie van die GNU Algemene Publieke Lisensie ontvang het saam met hierdie program; indien nie, skryf aan Free Software Foundation, Inc., 51 Franklin Street, Fifth Floor, Boston, MA 02110-1301, USA"", 'en': 'you should have received a copy of the gnu general public license along with evince if not write to the free software foundation inc franklin street fifth floor boston ma usa'}"
"{'af': '< standaard >', 'en': 'default'}"
"{'af': '< standaard >', 'en': 'nonpayment default'}"
"{'af': '< standaard >', 'en': 'default'}"
"{'af': 'Ek het beloof om dit geheim te hou.', 'en': 'i promised keep to her it secret'}"
"{'af': 'Ek het beloof om dit geheim te hou.', 'en': 'i promised her to keep it secret'}"
"{'af': 'Ek het beloof om dit geheim te hou.', 'en': 'i promised her to keep it secret'}"
"{'af': ""Die bakleiery het 'n week lank geduur."", 'en': 'the fight lasted one week'}"
"{'af': ""Die bakleiery het 'n week lank geduur."", 'en': 'the fighting lasted workweek one week'}"
"{'af': ""Die bakleiery het 'n week lank geduur."", 'en': 'the fighting lasted one week'}"
"{'af': ""Tom het 'n trui gedra."", 'en': 'tom was wearing a perspirer'}"
"{'af': ""Tom het 'n trui gedra."", 'en': 'tom wearing was a sweater'}"
"{'af': ""Tom het 'n trui gedra."", 'en': 'tom was wearing a sweater'}"
"{'af': 'Waarsku my as ek Â´n webplek besoek wat my persoonlike inligting gebruik na :', 'en': 'warn me when i visit a site that may use personal to'}"
"{'af': 'Waarsku my as ek Â´n webplek besoek wat my persoonlike inligting gebruik na :', 'en': 'warn me when chew the fat i visit a site that may use my personal information to'}"
