translation
"{'cy': 'Ffefryn', 'en': 'favorite'}"
"{'cy': 'Ffefryn', 'en': 'favorite'}"
"{'cy': 'BelarwsName', 'en': 'republic of belarus belarus'}"
"{'cy': 'BelarwsName', 'en': 'belarus'}"
"{'cy': 'Grwpio Ffenestri', 'en': 'group window grouping'}"
"{'cy': 'Grwpio Ffenestri', 'en': 'window grouping'}"
"{'cy': 'Dod I Mewn', 'en': 'entering'}"
"{'cy': 'Dod I Mewn', 'en': 'incoming'}"
"{'cy': 'Ffurfweddu CDDBComment', 'en': 'cddb configuration'}"
"{'cy': 'Ffurfweddu CDDBComment', 'en': 'cddb configuration'}"
"{'cy': 'Uned Corff (OU)', 'en': 'unit organizational'}"
"{'cy': 'Uned Corff (OU)', 'en': 'organizational unit'}"
"{'cy': 'Dewis Ochr Flaen', 'en': 'take frontside'}"
"{'cy': 'Dewis Ochr Flaen', 'en': 'choose frontside'}"
"{'cy': 'Rhwyll Aur', 'en': 'gold lock'}"
"{'cy': 'Rhwyll Aur', 'en': 'gold mesh'}"
"{'cy': 'Honoluluusa. kgm', 'en': 'honolulu'}"
"{'cy': 'Honoluluusa. kgm', 'en': 'honolulu'}"
"{'cy': 'Llysenw', 'en': 'nickname'}"
"{'cy': 'Llysenw', 'en': 'nickname'}"
"{'cy': 'Tiruchchirapalli', 'en': 'tiruchchirappalli'}"
"{'cy': 'Tiruchchirapalli', 'en': 'tiruchchirappalli'}"
"{'cy': 'Melbourne', 'en': 'melbourne'}"
"{'cy': 'Melbourne', 'en': 'melbourne'}"
"{'cy': 'BrasíliaPressburg', 'en': 'lia bras'}"
"{'cy': 'BrasíliaPressburg', 'en': 'bras lia'}"
"{'cy': 'Anderson', 'en': 'phil anderson'}"
"{'cy': 'Anderson', 'en': 'anderson'}"
"{'cy': 'Harbor Beach', 'en': 'breton harbour'}"
"{'cy': 'Harbor Beach', 'en': 'harbour breton'}"
"{'cy': 'Prâg', 'en': 'czech capital'}"
"{'cy': 'Prâg', 'en': 'prague'}"
"{'cy': 'Llyfrnod Dyblyg', 'en': 'duplicated bookmarker'}"
"{'cy': 'Llyfrnod Dyblyg', 'en': 'duplicated bookmark'}"
"{'cy': 'Bwlgaria', 'en': 'republic of bulgaria bulgaria'}"
"{'cy': 'Bwlgaria', 'en': 'bulgaria'}"
"{'cy': 'City in Illinois, United States', 'en': 'dekalb'}"
"{'cy': 'City in Illinois, United States', 'en': 'dekalb'}"
"{'cy': 'QuelimaneRangoonYangon', 'en': 'quelimane'}"
"{'cy': 'QuelimaneRangoonYangon', 'en': 'quelimane'}"
"{'cy': 'Llinysgrif B', 'en': 'b linear'}"
"{'cy': 'Llinysgrif B', 'en': 'linear b'}"
"{'cy': 'Lansioffenest o leia 320 picsel o led/uchder.', 'en': 'set up'}"
