text,importance,label
Today has been a blast,-0.2882784397474357,0
Love hanging out with my dad,-0.2867207175586372,0
Twitter can be so annoying,-0.2680896845247064,0
My favorite color is every color.,-0.2632508269614643,0
I wish I could make people like my personality,-0.2557858729904348,0
What do you call a Chinese millionaire?,-0.2553867381066084,0
 much!!,-0.2409388110041618,0
Chasing my dog though the house  fun,-0.2403884157538414,0
Today has been such a shitty day,-0.2392818546957439,0
"My whole life is just ""oh ok"".",-0.2384885683034857,0
Good morning hank its saturday im starving,-0.237234348224269,0
So glad to be off work,-0.2158338038716465,0
On my lunch break so sleepy:sleeping_face:,-0.2132397997551239,0
@Cutneaux who said that retarded nonsense?,-0.2087083240704877,0
that is the face of a tired man hahahahah,-0.2076543626685937,0
And I used to hate coming to uni to do work lol,-0.2040703089442104,0
Fries With That 304 #AlabamaStateMajors,-0.1991720112273469,0
i feel like whole life is about waiting waiting and waiting,-0.1979933333798096,0
Finally went to the doctor and feeling so much better.,-0.1946842450863466,0
"Buzzing about going home tonight, back for a month",-0.1946279161299268,0
 acceptable 2 hours to drive 30 miles Cheshire-Manchester yesterday. Northern Powerhouse?,-0.192523125997361,0
If we could stop losing planes that would be great.,-0.1909666241934666,0
Stay tuned for drunk videos of my mom,-0.1876091912388801,0
@SQLSophist is that  ?,-0.1856976460665464,0
 posting any tweet doesn't mean i don't use twitter !,-0.1849834530924757,0
2014 can't end fast enough! Stupid dead battery.,-0.1801961909181305,0
@afterglide definitely consult a tax professional on that one.,-0.1792339528289934,0
I just saw another person wearing a heavy winter coat with a hood up  encouraging,-0.1791365429320756,0
Hmmm what to have for dinner,-0.1763673128831821,0
"When someone on a conference call talks about ""housekeeping items"". Grrr.",-0.1718945823805897,0
@di_mac1 Sorry butt ,-0.1706875652728033,0
Today is just not my day :pensive_face:,-0.1706399592970098,0
Gah! Desperately trying to bust this cold!,-0.1700825858861208,0
Going to my class #fuckyou important,-0.1689655665308237,0
2015 prediction: Putin ditches the Ruble and adopts Bitcoin,-0.1689517937107559,0
just one of those nights :pensive_face:,-0.1687627696620229,0
7:52am (too damn early) in South Carolina.. What a shitty state to  be proud of,-0.167280942434445,0
I'll just assume Rex Grossman is starting.,-0.1663450231918921,0
@DFDSUKUpdates why all the delays?  happy,-0.1647886783195038,0
I miss the days when all my close friends lived in the same city.,-0.1645113044582745,0
I still love the newsroom regardless of what everyone else thinks,-0.1637284447705107,0
Chenua Achebe - when things fall apart,-0.1636382208459756,0
Oomf should be chowed in her mom's car,-0.1620107249667247,0
Simply having a wonderful christmas time :D,-0.1613836482167244,0
watching Elf was a prime decision tonight,-0.1595181938674714,0
I've honestly never even watched A Christmas Story. I've only seen random parts.,-0.1585243555184985,0
Sad that when someone drinks they treat you like shit and won't talk to you.,-0.1559184647165238,0
I literally have plans every night my entire vacation.,-0.1544684514713784,0
@BrandonTierney I also support instantly murdering 12 year olds with fake plastic guns in public parks...,-0.1537897295784205,0
i can't believe all the shits for the past days are finally over!,-0.1530799327516242,0
Pretty flipping cold outside there today I tell ya what,-0.1513769793673418,0
Being mom tonight was both refreshing and a real tbt,-0.1512609128482066,0
"A decent Christmas party for a change, and an added bonus of not missing the last train for a change!",-0.1510704845810929,0
It was so incredible to hear Justice Ginsburg speak today. She truly is an inspiration.,-0.1499468861555214,0
One things for sure IMA make y'all folks remember me.,-0.1492121184710413,0
@AuntFlo_28 a day or two after.,-0.1468465184526784,0
Christmas is less than a week away wtaf,-0.143617980690165,0
"Big 12 fans flocking to support TCU after that OU beat down, Texas loss, and WVU manhandling lol.",-0.1423304504554333,0
My Com professor keeps talking about Twitter. ||Lel,-0.1416161512689931,0
Fun fact: I have a color guard rifle named Stitch after I got stitches from it plus Stitch is my fav!,-0.1415926084065666,0
Jack doesn't understand twitter. Thoughts?,-0.1415145130992062,0
@TorontoPost of course not! Carding? What carding?,-0.141200251848204,0
HEY LOOK THERE! ,-0.1409572859605153,0
And my christmas shopping is done.,-0.1405221112072467,0
"Ah, a week until my next medschool interview :grinning_face_with_smiling_eyes:",-0.1397615970733265,0
I just want to eat pizza and be with my friends for the rest of my life,-0.1393350016717848,0
@M1ck3yCharlton miss u lots and lots like jelly tots,-0.1388634301515089,0
My dad's such a big kid on Christmas morning waking everyone up so bloody early,-0.1385618015314991,0
@ArranArmitage because I find people with different ideas and ways of life interesting.,-0.1380679264198988,0
Of course one of my lecturers happened to be at the bar/restaurant we are at for my birthday meal...,-0.1376683334475038,0
trivia crack is taking over my life.,-0.1362566809085282,0
Some guy chattin shit to me on the bus saying I look like snoop dogg #KMT #again,-0.1353919513035773,0
"@PompeyAirways yeah, and you ignored my point...",-0.13536211134245,0
Follow friday is everyday. Help new ones so they feel good being on twitter.,-0.1353188146733575,0
"@bluedemloyalty , former Chairwoman, US Commission on Civil Rights",-0.1344584273174405,0
I think the new sweater I bought is a maternity sweater. Oh well. Its super cozy,-0.1335351371672004,0
@19jman86 apple jd?  sure,-0.1330424562435258,0
