translation,importance
"{'en': 'Come on.', 'af': 'Kom'}",0.2832440331222601
"{'en': 'Not embedded', 'af': 'Nie ingebed nie'}",0.10545543107647345
"{'en': 'A file named %1 already exists.', 'af': ""'n lêer genaamd% 1 alreeds bestaan.""}",0.559181685338529
"{'en': 'Press this button to toggle the incidence details display.', 'af': '@ action: button'}",0.5348270823185582
"{'en': 'Import Into:', 'af': 'Voer in na:'}",0.1687773989283975
"{'en': 'Inversed Subtract', 'af': 'Abstrak'}",0.10545543107647345
"{'en': 'Window One Desktop to the Right', 'af': 'Vesnter Een Werkskerm na Regs'}",0.45202143205065753
"{'en': 'MIPS Assembler', 'af': 'MIPS AssemblerLanguage'}",0.10545543107647345
"{'en': 'Save Training Lecture', 'af': 'Stooring oefening lêer'}",0.2540185094982952
"{'en': 'Mexican Peso', 'af': 'Mexikaanse peso'}",0.10545543107647345
"{'en': 'Same people who want us dead.', 'af': 'Dieselfde mense wat ons wil doodmaak.'}",0.37895762299074526
"{'en': 'Jazz', 'af': 'JazzGenericName'}",0.11105698977106673
"{'en': 'Toggle selective view on printer list', 'af': 'Toggle uitkiesing vertoon op drukker lys.'}",0.2596200681928884
"{'en': 'ten _BAR_ 10', 'af': 'tien _BAR_ 10'}",0.25060886507549923
"{'en': 'Split one cell into two or more cells', 'af': 'Skei een sel binnein twee of meer selle.'}",0.43740867023867513
"{'en': '_Keep Current Location', 'af': '_Hou huidige ligging'}",0.31563565513882125
"{'en': 'Open Lecture File', 'af': ""Maak oop 'n onlangse gebruik word lêer""}",0.2540185094982952
"{'en': 'You did not tell me that Ludwig is married and has a child.', 'af': ""Jy het my nie vertel dat Ludwig getroud is, en 'n kind het nie""}",0.6906965416463713
"{'en': 'Unable to Generate Sorting Number', 'af': 'Nie moontlik na Genereer Besig om te sorteer Nommer'}",0.3302484169508037
"{'en': 'This problem was already reported in the bug report displayed in the web browser. Please check if you can add any further information that might be helpful for the developers.', 'af': 'Hierdie probleem was reeds gerapporteer in die foutverslag vertoon in die webblaaier. Gaan na of enige verdere informasie bygevoeg kan word wat tot hulp van die ontwikkelaars kan wees.'}",0.6906965416463713
