translation,importance
"{'en': 'Article 42.1.c', 'cs': 'čl. 42 odst. 1 písm. c)'}",0.181967213114754
"{'en': 'Article 31', 'cs': 'Článek 31'}",0.181967213114754
"{'en': 'Article 2', 'cs': 'Článek 2'}",0.181967213114754
"{'en': 'Article 1', 'cs': 'Článek 1'}",0.181967213114754
"{'en': 'Walnuts:', 'cs': 'Vlašské ořechy:'}",0.181967213114754
"{'en': 'Article 55', 'cs': 'Článek 55'}",0.181967213114754
"{'en': 'Article 31', 'cs': 'Článek 31'}",0.181967213114754
"{'en': 'Article 2', 'cs': 'Článek 2'}",0.181967213114754
"{'en': 'Article 62', 'cs': 'Článek 62'}",0.181967213114754
"{'en': 'Article 1', 'cs': 'Článek 1'}",0.181967213114754
"{'en': 'Article 5', 'cs': 'Článek 5'}",0.181967213114754
"{'en': 'WOMAN:', 'cs': '- Suivais.'}",0.181967213114754
"{'en': 'Article 1', 'cs': 'Článek 1'}",0.181967213114754
"{'en': 'Woman:', 'cs': 'Žena:'}",0.181967213114754
"{'en': 'Article 1', 'cs': 'Článek 1'}",0.181967213114754
"{'en': 'Article 2', 'cs': 'Článek 2'}",0.181967213114754
"{'en': 'Article 2', 'cs': 'Článek 2'}",0.181967213114754
"{'en': 'Search:', 'cs': 'Hledat:'}",0.181967213114754
"{'en': 'JARED:', 'cs': 'Jo.'}",0.181967213114754
"{'en': 'Article 1', 'cs': 'Článek 1'}",0.181967213114754
"{'en': 'Article 19', 'cs': 'Článek 19'}",0.181967213114754
"{'en': 'Article 7b', 'cs': 'Článek 7b'}",0.181967213114754
"{'en': 'LLOYD:', 'cs': 'Panebože.'}",0.181967213114754
"{'en': 'Website :', 'cs': '22.02.2012 12:53:02 ( 55375 )'}",0.181967213114754
"{'en': 'Article 6', 'cs': 'Článek 6'}",0.181967213114754
"{'en': 'Article 14', 'cs': 'Článek 14'}",0.181967213114754
"{'en': 'Web http://www.gatoproduction.cz', 'cs': 'Web http://www.gatoproduction.cz'}",0.181967213114754
"{'en': 'Article 8', 'cs': 'Článek 8'}",0.181967213114754
"{'en': 'Article 74', 'cs': 'Článek 74'}",0.181967213114754
"{'en': 'Article 2', 'cs': 'Článek 2'}",0.181967213114754
"{'en': 'Article 8', 'cs': 'Článek 8'}",0.181967213114754
"{'en': 'Article 2', 'cs': 'Článek 2'}",0.181967213114754
"{'en': 'Article 39', 'cs': 'Článek 39'}",0.181967213114754
"{'en': 'QUINN:', 'cs': 'QUINN:'}",0.181967213114754
"{'en': 'Article 43', 'cs': 'Článek 43'}",0.181967213114754
"{'en': 'Article 3', 'cs': 'Článek 3'}",0.181967213114754
"{'en': 'H=800 mm', 'cs': 'H=800 mm'}",0.181967213114754
"{'en': 'Article 25', 'cs': 'Článek 25'}",0.181967213114754
"{'en': 'Response:', 'cs': '12:56:15'}",0.181967213114754
"{'en': 'Article 11', 'cs': 'Článek 11'}",0.181967213114754
"{'en': 'WOMAN:', 'cs': 'Ne.'}",0.181967213114754
"{'en': 'Article 31', 'cs': 'Článek 31'}",0.181967213114754
"{'en': 'ALEX:', 'cs': 'ALEX:.'}",0.181967213114754
"{'en': 'Article 8', 'cs': 'Článek 8'}",0.181967213114754
"{'en': 'Article 1', 'cs': 'Článek 1'}",0.181967213114754
"{'en': 'Article 2', 'cs': 'Článek 2'}",0.181967213114754
"{'en': 'Article 2', 'cs': 'Článek 2'}",0.181967213114754
"{'en': 'Article 3', 'cs': 'Článek 3'}",0.181967213114754
"{'en': 'Article 2', 'cs': 'Článek 2'}",0.181967213114754
"{'en': 'DIRECTOR:', 'cs': '- Neviděl někdo moje klíče?'}",0.181967213114754
"{'en': 'Amount:', 'cs': 'Množství:'}",0.181967213114754
"{'en': 'lending for house purchase [7]', 'cs': 'úvěry na bydlení [7]'}",0.180327868852459
"{'en': '6.6 Special precautions for disposal', 'cs': '6. 6 Zvláštní opatření pro likvidaci přípravku'}",0.180327868852459
"{'en': '8131 Chemical products plant and machine operators', 'cs': '8131 Obsluha strojů a zařízení pro chemickou výrobu'}",0.180327868852459
"{'en': 'ed Effect on tumour growth', 'cs': 'n Účinek na růst nádorů'}",0.180327868852459
"{'en': 'chairs and armchairs', 'cs': 'židle a křesla'}",0.180327868852459
"{'en': 'regional heavy mineral sampling', 'cs': 'regionální šlichová prospekce'}",0.180327868852459
"{'en': 'Fine.', 'cs': 'Fajn.'}",0.1748633879781421
"{'en': 'No.', 'cs': 'Ne.'}",0.1748633879781421
"{'en': 'Wow.', 'cs': 'Hezký.'}",0.1748633879781421
"{'en': 'Sure.', 'cs': 'Jasně.'}",0.1748633879781421
"{'en': 'Wait!', 'cs': '- Počkej, a pod Skočovem jsi byl?'}",0.1748633879781421
"{'en': 'Facebook.', 'cs': '- Facebook.'}",0.1748633879781421
"{'en': 'Up.', 'cs': 'Vztyk.'}",0.1748633879781421
"{'en': 'What?', 'cs': '- Cože?'}",0.1748633879781421
"{'en': 'O.K.!', 'cs': 'Dobře!'}",0.1748633879781421
"{'en': 'Good.', 'cs': 'Dobře.'}",0.1748633879781421
"{'en': 'Okay.', 'cs': 'Ok.'}",0.1748633879781421
"{'en': 'Billy?', 'cs': 'Billy?'}",0.1748633879781421
"{'en': 'Yes!', 'cs': 'Ano!'}",0.1748633879781421
"{'en': 'Hide.', 'cs': 'Skrývat se.'}",0.1748633879781421
"{'en': 'Martin.', 'cs': 'Martine.'}",0.1748633879781421
"{'en': 'Arturo.', 'cs': 'Arthure.'}",0.1748633879781421
"{'en': 'Wolfhound!', 'cs': '- Volkodave!'}",0.1748633879781421
"{'en': 'Rachel.', 'cs': 'Rachel.'}",0.1748633879781421
"{'en': 'Chanukah...', 'cs': 'Chanukah...'}",0.1748633879781421
"{'en': 'Hmm.', 'cs': 'Reverend Steenwyck'}",0.1748633879781421
"{'en': 'Roanoke.', 'cs': 'Roanoke.'}",0.1748633879781421
"{'en': 'Yeah?', 'cs': 'Jo?'}",0.1748633879781421
"{'en': 'No.', 'cs': 'Ne.'}",0.1748633879781421
"{'en': 'Blu?', 'cs': 'Blu?'}",0.1748633879781421
"{'en': 'Sorry.', 'cs': '- Promiň. - To ty promiň.'}",0.1748633879781421
"{'en': 'No.', 'cs': 'Ne.'}",0.1748633879781421
"{'en': 'Ok?', 'cs': 'Ok?'}",0.1748633879781421
"{'en': 'No.', 'cs': 'Ne.'}",0.1748633879781421
"{'en': 'OK.', 'cs': 'OK.'}",0.1748633879781421
"{'en': 'Check.', 'cs': '- Jo.'}",0.1748633879781421
"{'en': 'Attagirl.', 'cs': 'Tak se mi to líbí.'}",0.1748633879781421
"{'en': 'Seriously?', 'cs': 'Vážně?'}",0.1748633879781421
"{'en': 'No.', 'cs': 'Ne.'}",0.1748633879781421
"{'en': 'Correct.', 'cs': 'Správně.'}",0.1748633879781421
"{'en': 'Albert!', 'cs': 'Alberte!'}",0.1748633879781421
"{'en': 'Cornelius.', 'cs': 'Cornelie.'}",0.1748633879781421
"{'en': 'Marina...', 'cs': '- Marino...'}",0.1748633879781421
"{'en': 'Fine.', 'cs': 'Dobře.'}",0.1748633879781421
"{'en': 'Chowtime.', 'cs': 'Čas na představení.'}",0.1748633879781421
"{'en': 'Hello!', 'cs': 'Zrovna jedu kolem.'}",0.1748633879781421
"{'en': 'Everything.', 'cs': 'Úplně všechno.'}",0.1748633879781421
"{'en': 'Typical.', 'cs': 'To je typické.'}",0.1748633879781421
"{'en': 'Okay.', 'cs': 'Dobre.'}",0.1748633879781421
"{'en': 'Shit!', 'cs': '- Doprdele!'}",0.1748633879781421
"{'en': 'Kirk?', 'cs': 'Kirku?'}",0.1748633879781421
"{'en': 'Sorry!', 'cs': '- Na hovno.'}",0.1748633879781421
"{'en': 'Gégé!', 'cs': 'Gégé!'}",0.1748633879781421
"{'en': 'Okay.', 'cs': 'Dobře.'}",0.1748633879781421
"{'en': 'What?', 'cs': 'Co?'}",0.1748633879781421
"{'en': 'Anything?', 'cs': 'Máte něco?'}",0.1748633879781421
"{'en': 'David?', 'cs': 'David?'}",0.1748633879781421
"{'en': 'No.', 'cs': 'Ne.'}",0.1748633879781421
"{'en': 'Armoured...', 'cs': 'DORNIER...'}",0.1748633879781421
"{'en': 'Suzanne...', 'cs': 'Suzanne.'}",0.1748633879781421
"{'en': 'Aaaah!', 'cs': 'Vždyť vás tady drtíme!'}",0.1748633879781421
"{'en': 'Seriously.', 'cs': 'Vážně.'}",0.1748633879781421
"{'en': 'Never!', 'cs': 'Nikdy!'}",0.1748633879781421
"{'en': 'Really!', 'cs': 'Máš pravdu!'}",0.1748633879781421
