translation,importance
"{'en': 'A határozat az Alkotmány 2. § (1) és a 24. § (3) bekezdésein, az Nsztv. 2. §-án, a 10. § b) és c) pontján és a 13. § (1) bekezdésén, a jogorvoslatról szóló tájékoztatás a Ve. 130. §-ának (1) bekezdésén alapul.', 'cs': 'A határozat az Nsztv. 3. § (1) bekezdésén, Ve. 50. § (1) bekezdés c) pontján, 131. §-án, Ehtv. 14. § (1) bekezdésén, a jogorvoslatról való tájékoztatás a Ve. 82. § (1) bekezdésén, 83. § (1), (2) és (7) bekezdésein, a 84. § (1) bekezdésén, az illetékekrÅ l szóló 1990. évi XCIII. tv. 37. § (1) bekezdésén, 39. § (3) bekezdés b) pontján, 42. § (1) bekezdés g) pontján, valamint a LegfelsÅ bb Bíróság 2/2010. (III.23.) közigazgatási jogegységi határozatán alapul.'}",1.0
"{'en': 'So what I said, what I was wearing, what time it was, where I was staying...', 'cs': 'Takže co jsem řekl, co jsem měl na sobě, kdy to bylo, kde jsem bydlel...'}",1.0
"{'en': ""Because if you're angry,you're a bitch, and if you're a bitch,no one will love you."", 'cs': 'Protože když máš vztek, jsi děvka, a když jsi děvka, nikdo tě nebude mít rád.'}",1.0
"{'en': 'Regulation (EC) No 73/2009 repeals and replaces Council Regulation (EC) No 1782/2003 of 29 September 2003 establishing common rules for direct support schemes under the common agricultural policy and establishing certain support schemes for farmers and amending Regulations (EEC) No 2019/93, (EC) No 1452/2001, (EC) No 1453/2001, (EC) No 1454/2001, (EC) No 1868/94, (EC) No 1251/1999, (EC) No 1254/1999, (EC) No 1673/2000, (EEC) No 2358/71 and (EC) No 2529/2001 [2].', 'cs': 'Nařízení (ES) č. 73/2009 zrušuje a nahrazuje nařízení Rady (ES) č. 1782/2003 ze dne 29. září 2003, kterým se stanoví společná pravidla pro režimy přímých podpor v rámci společné zemědělské politiky a kterým se zavádějí některé režimy podpor pro zemědělce a kterým se mění nařízení (EHS) č. 2019/93, (ES) č. 1452/2001, (ES) č. 1453/2001, (ES) č. 1454/2001, (ES) č. 1868/94, (ES) č. 1251/1999, (ES) č. 1254/1999, (ES) č. 1673/2000, (EHS) č. 2358/71 a (ES) č. 2529/2001 [2].'}",1.0
"{'en': ""You know, I know you don't believe this... I know you don't... but I used to be a teenager, too."", 'cs': 'Vím, že je to k neuvěření, ale taky jsem býval puberťák.'}",1.0
"{'en': ""When a girl tells you you're not getting any, before you ask, before you even try, you're getting some."", 'cs': 'Když vám holka říká, že nic nedostanete dřív než se zeptáte, dřív než to vůbec zkusíte, tak k něčemu určitě dojde.'}",1.0
"{'en': '2007D0007 --- EN --- 12.05.2010 --- 003.001 --- 23 ▼B ( 2 ) When they register with TARGET2-ECB , direct participants shall declare which optional message types they will use , with the exception of MT 011 and MT 012 messages in relation to which direct participants shall decide from time to time whether or not to receive them with reference to specific messages .', 'cs': '2007D0007 --- CS --- 12.05.2010 --- 003.001 --- 23 ▼B ( 2 ) When they register with TARGET2-ECB , direct participants shall declare which optional message types they will use , with the exception of MT 011 and MT 012 messages in relation to which direct participants shall decide from time to time whether or not to receive them with reference to specific messages .'}",0.9765027322404372
"{'en': 'Benecko (2) Dolni Dvur (5) Dolni Kalna (1) Harrachov (20) Horni Branna (1) Jablonec nad Jizerou (4) Janske Lazne (5) Jilemnice (6) Korenov (9) Kruh (1) Mala Upa (1) Male Svatonovice (1) Mlade Buky (1) Mricna (2) Paseky nad Jizerou (2) Pec pod Snezkou (8) Pecka (1) Ponikla (2) Rokytnice nad Jizerou (8) Spindleruv Mlyn (15) Strazne (2) Trutnov (2) Upice (1) Vitkovice (3) Vrchlabi (11) Vysoke nad Jizerou (4) Zacler (2) Cancel the selection of a place', 'cs': 'Benecko (2) Dolní Dvůr (5) Dolní Kalná (1) Harrachov (24) Horní Branná (1) Jablonec nad Jizerou (4) Janské Lázně (7) Jilemnice (8) Kořenov (16) Kruh (1) Malá Úpa (1) Malé Svatoňovice (1) Mladé Buky (1) Mříčná (2) Paseky nad Jizerou (2) Pec pod Sněžkou (8) Pecka (1) Poniklá (2) Rokytnice nad Jizerou (9) Strážné (2) Špindlerův Mlýn (20) Trutnov (3) Úpice (1) Vítkovice (3) Vrchlabí (14) Vysoké nad Jizerou (5) Zlatá Olešnice (Jablonec n. N.) (1) Žacléř (2) Poblíž Penzion Jeřabina Aquacentrum Janské Lázně Janské Lázně (19,63km)'}",0.9469945355191256
"{'en': 'Goods of HS 38.08, containing one or more of the following substances: aldrin (ISO); binapacryl (ISO); camphechlor (ISO) (toxaphene); captafol (ISO); chlordane (ISO); chlordimeform (ISO); chlorobenzilate (ISO); DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane); dieldrin (ISO, INN); dinoseb (ISO), its salts or its esters; ethylene dibromide (ISO) (1,2-dibromoethane); ethylene dichloride (ISO) (1,2-dichloroethane); fluoroacetamide (ISO); heptachlor (ISO); hExachlorobenzene (ISO); 1,2,3,4,5,6-hExachlorocyclohExane (HCH (ISO)), including lindane (ISO, INN); mercury compounds; methamidophos (ISO); monocrotophos (ISO); oxirane (ethylene oxide); parathion (ISO); parathion-methyl (ISO) (methyl-parathion); pentachlorophenol (ISO); phosphamidon (ISO); 2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts or its esters, put up in forms or packings for retail sale or as preparations or articles', 'cs': 'Zboží z HS 3808, které obsahuje jednu nebo více z následujících látek: aldrin (ISO); binapakryl (ISO); kamfechlor (ISO) (toxafen); kaptafol (ISO); chlordan (ISO); chlordimeform (ISO); chlorbenzilát (ISO); DDT (ISO) (klofenotan (INN)), 1,1,1-trichlor-2,2-b'}",0.9469945355191256
"{'en': 'having regard to Commission Regulation (EC, Euratom) No 2343/2002 of 19 November 2002 on the framework Financial Regulation for the bodies referred to in Article 185 of Council Regulation (EC, Euratom) No 1605/2002, and in particular Article 94 thereof,', 'cs': 's ohledem na nařízení Komise (ES, Euratom) č. 2343/2002 ze dne 19. listopadu 2002 o rámcovém finančním nařízení pro subjekty uvedené v článku 185 nařízení Rady (ES, Euratom) č. 1605/2002, a zejména na článek 94 tohoto nařízení,'}",0.9234972677595628
