translation,importance
"{'en': 'Mom!', 'cs': 'Mami!'}",0.23497267759562843
"{'en': ""Yeah, that's right."", 'cs': 'Jo, je to tak.'}",0.371584699453552
"{'en': 'Is that bad?', 'cs': 'Snad to neva? Omlouvám se.'}",0.371584699453552
"{'en': 'About seven minutes.', 'cs': 'Asi 7 minut.'}",0.35519125683060115
"{'en': 'Hold on.', 'cs': 'Vydrž.'}",0.21857923497267762
"{'en': 'So, what do you think?', 'cs': 'Tak co si myslíš?'}",0.4480874316939891
"{'en': '- Well?', 'cs': '- Takže?'}",0.1950819672131148
"{'en': ""I wasn't asking."", 'cs': 'To nebyla žádost.'}",0.371584699453552
"{'en': 'So are you.', 'cs': 'Tak jako ty.'}",0.371584699453552
"{'en': 'She is hot!', 'cs': 'Vážně úžasný.'}",0.371584699453552
"{'en': ""Yes, that's true."", 'cs': 'Ano, to je pravda.'}",0.371584699453552
"{'en': 'Damn it!', 'cs': 'Zatraceně!'}",0.2950819672131148
"{'en': '- Peter.', 'cs': '- Piotre.'}",0.1950819672131148
"{'en': ""That's important."", 'cs': 'To je důležité.'}",0.2950819672131148
"{'en': 'I buried it.', 'cs': 'Zakopal jsem ho tam.'}",0.4480874316939891
"{'en': ""- How's it going?"", 'cs': 'Jak to jde?'}",0.3480874316939891
"{'en': 'You have?', 'cs': 'Vážně?'}",0.2950819672131148
"{'en': '- Enough.', 'cs': '- Dost.'}",0.1950819672131148
"{'en': 'Oh.', 'cs': 'Prostě na tebe myslím, Cricket.'}",0.1748633879781421
"{'en': 'I should have been here.', 'cs': 'Měl jsem tu být.'}",0.273224043715847
"{'en': '- Yeah?', 'cs': '- - Ano?'}",0.1950819672131148
"{'en': 'Oh,my god.', 'cs': 'Oh, můj bože.'}",0.21857923497267762
"{'en': 'WHY?', 'cs': 'Proč! ?'}",0.1748633879781421
"{'en': ""It's a Beretta M9. Built-in laser sight, the works."", 'cs': 'To je M9.'}",0.5300546448087432
"{'en': 'March!', 'cs': 'Pochod!'}",0.1748633879781421
"{'en': 'There we are.', 'cs': 'Tak a je to.'}",0.371584699453552
"{'en': 'Life and death.', 'cs': 'Život a smrt.'}",0.35519125683060115
"{'en': 'Chloe!', 'cs': 'Chloe!'}",0.1748633879781421
"{'en': ""I've come to see if you're ready."", 'cs': 'Přišla podíváš se jestli jsi hotový.'}",0.371584699453552
"{'en': ""If we take this bandages off, I don't think we're gonna get them back on."", 'cs': 'Když ten obvaz sundáme asi už ho nenasadíme.'}",0.8415300546448088
"{'en': '- You sure?', 'cs': '- Jste si jistý?'}",0.27158469945355196
"{'en': ""Look, I'm sorry."", 'cs': 'Koukni, omlouvám se.'}",0.371584699453552
"{'en': 'What I meant was...', 'cs': '- Chtěla jsem tím říct...'}",0.4480874316939891
"{'en': 'Who are you?', 'cs': '- Kdo jsi?'}",0.371584699453552
"{'en': 'In bars, in cars sidewalks, stores, everywhere.', 'cs': 'V barech, autech na chodnících, v obchodech, všude.'}",0.4316939890710383
"{'en': 'Valerie, open the door.', 'cs': 'Valerie, otevři.'}",0.5300546448087432
"{'en': 'This is the best day of my life.', 'cs': 'Ne. Tohle je vůbec můj nejlepší den.'}",0.4316939890710383
"{'en': ""That's the big question?"", 'cs': 'To že je hlavní?'}",0.5300546448087432
"{'en': 'Just a minute.', 'cs': 'Okamžik.'}",0.5300546448087432
"{'en': 'Hello, Dave.', 'cs': '- Haló?'}",0.21857923497267762
"{'en': 'That puts you on his list.', 'cs': 'Má tě na seznamu.'}",0.4098360655737705
"{'en': '- Okay?', 'cs': '- Ok? - Oh.'}",0.1950819672131148
"{'en': ""I didn't do anything wrong."", 'cs': 'Neudělala jsem nic špatného.'}",0.4480874316939891
"{'en': 'Then she woke up talking about pressing charges.', 'cs': 'Jednou se probudila a mluvila o penězích.'}",0.4098360655737705
"{'en': 'I love your awkwardness.', 'cs': 'Miluji tvou neohrabanost.'}",0.5081967213114755
"{'en': 'Get out.', 'cs': 'Vypadni.'}",0.2950819672131148
"{'en': '- Good afternoon, sir.', 'cs': 'Dobré odpoledne, pane.'}",0.3316939890710383
"{'en': 'Please.', 'cs': 'Panebože.'}",0.1748633879781421
"{'en': 'Response:', 'cs': '12:56:15'}",0.18196721311475408
"{'en': 'Careful with that.', 'cs': 'Buďte s tím opatrní.'}",0.371584699453552
"{'en': 'Punk!', 'cs': 'Grázle!'}",0.23497267759562843
"{'en': 'Tell me the truth.', 'cs': 'Teď mluvím s vámi. Očekávám od vás pravdu.'}",0.6065573770491804
"{'en': 'What the hell happened?', 'cs': 'Co se to sakra stalo?'}",0.6065573770491804
"{'en': 'Mueller, what are you doing? !', 'cs': 'Muellere, co to děláš?'}",0.5081967213114755
"{'en': '- Hello.', 'cs': 'Haló.'}",0.1950819672131148
"{'en': ""He's one of them."", 'cs': 'Někdo byl přivázaný k posteli.'}",0.371584699453552
