translation,importance
"{'en': 'Just must be out of carburator', 'ro': '- O fi de la carburator...'}",0.3335415365396627
"{'en': 'In 8 of December, when we were for the school, many colleagues and friends had called them Japanese pigs, had provoked them, they had antagonized them and the said ones friends already were not friends.', 'ro': 'Pe 8 decembrie, când am mers la şcoala mulţi colegi şi prieteni îmi ziceau ""porc japonez"" şi mă provocau şi eu le ziceam ""prietene!"", dar nu mai eram prieteni.'}",0.8688319800124922
"{'en': ""You're my family."", 'ro': 'Sunteţi familia mea.'}",0.5190505933791381
"{'en': ""Here's how it sits."", 'ro': 'Uite care e situaţia'}",0.4503435352904434
"{'en': 'And you are telling me this right now?', 'ro': '- Şi acum ţi-ai găsit să-mi spui ?'}",0.4191130543410369
"{'en': 'I feel something very special for you.', 'ro': 'Simt ceva foarte special pentru tine.'}",0.4191130543410369
"{'en': ""But that's the one thing he couldn't do."", 'ro': 'Dacă ăsta era singurul lucru pe care nu putea să-l facă.'}",0.6127420362273579
"{'en': ""I'll get you when you get a car worth racing."", 'ro': 'când o să ai o maşină care ştie să alerge.'}",0.5815115552779513
"{'en': 'The third party referred to in Article 9 (1) of the Basic Regulation is hereinafter referred to as the declaring third party.', 'ro': '9 alin. (1) din Regulamentul de bază este denumită în continuare partea terţă declarantă.'}",0.7688944409743911
"{'en': '- Wilma.', 'ro': '- Wilma.'}",0.2398500936914428
"{'en': ""I'm sorry."", 'ro': 'Ea numai este aici de luni bune.'}",0.3504059962523422
"{'en': 'Not all of us.', 'ro': 'Nu chiar toţi.'}",0.4503435352904434
"{'en': ""You're not the full quid, are you?"", 'ro': 'Nu eşti prost, nu-i aşa?'}",0.6127420362273579
"{'en': 'That seems a bit risky.', 'ro': 'Pare cam riscant.'}",0.4815740162398501
"{'en': ""But then I'd have nothing to bargain with."", 'ro': 'Dar atunci nu aş mai avea niciun as în mânecă.'}",0.5502810743285447
"{'en': 'Would you apologize to Nathan for me?', 'ro': 'Poţi să-i transmiţi scuzele mele lui Nathan ?'}",0.3191755153029357
"{'en': 'It is important.', 'ro': 'Este important.'}",0.4503435352904434
"{'en': 'It takes a lot of hard work and dedication.', 'ro': 'Este nevoie de o mulţime de tare de muncă şi dăruire.'}",0.5815115552779513
"{'en': ""We've been dating."", 'ro': 'Am fost intalniri.'}",0.4503435352904434
"{'en': ""Federal jail system's complicated."", 'ro': 'Sistemul federal de închisoare e complicat.'}",0.4316052467207995
"{'en': 'Tells thing, which never Hannah would not it say.', 'ro': 'Spune nişte lucruri pe care Hannah nu le-as spune niciodată.'}",0.4878201124297314
"{'en': 'I mean, we practically invented implosion.', 'ro': 'Adică, practic, implozie a inventat.'}",0.6189881324172393
"{'en': ""I'll be out in a week."", 'ro': 'Stai puţin.'}",0.6127420362273579
"{'en': ""- She's very smart."", 'ro': '- E foarte deşteaptă.'}",0.4272329793878826
"{'en': ""Why don't you draw the money out of the bank pay off the furniture and own it outright?"", 'ro': 'De ce nu scoţi banii să plăteşti mobila?'}",0.8688319800124922
"{'en': 'Selectie Muzica Noua Romaneasca - 21 Octombrie 2017 (Hituri Noi)', 'ro': '67 Selectie Muzica Noua Romaneasca - 13 Mai 2017 (Super Hituri) romaneasca 3380'}",0.3085571517801374
"{'en': 'Survive without creating any mortal enemies or hideously embarrassing yourself forever.', 'ro': 'Supravieţui fără a crea nici duşmani de moarte sau hidos de râs singur pentru totdeauna.'}",0.8688319800124922
"{'en': ""That's the same look you gave me the day that the ambulance came to take me away for two years."", 'ro': 'E aceeaşi privire care o aveai în acea zi în care a venit ambulanţa şi m-a luat acum doi ani.'}",0.8688319800124922
"{'en': ""I wish we didn't have to have this conversation."", 'ro': 'Aș vrea să nu trebuia să aibă această conversație.'}",0.5815115552779513
"{'en': ""I would've realized that you made me, huh?"", 'ro': 'Aș fi dat seama că m-ai făcut, nu-i asa?'}",0.5502810743285447
"{'en': '...especially Unger.', 'ro': '...mai ales Unger.'}",0.2398500936914428
"{'en': 'Mary Kate, Roger...', 'ro': '- Mary Kate, Roger...'}",0.3628981886321049
"{'en': ""So instead of being grand opera, this opera will turn into what we're thinking of as personal opera."", 'ro': 'În loc de Grand Opera, această operă o să devină în ceea ce noi considerăm operă personală.'}",0.8688319800124922
"{'en': 'Did he say what the hell happened?', 'ro': '- A spus ce s-a întâmplat?'}",0.5815115552779513
"{'en': 'Here it comes.', 'ro': 'Iata ca vine.'}",0.4503435352904434
"{'en': 'Oh, thank God.', 'ro': 'Oh, multumesc lui Dumnezeu.'}",0.4628357276702061
"{'en': 'Lottery numbers: 1 , 6 , 16 , 23 , 27 , 31', 'ro': 'Loteria numere: 1, 6, 16, 23, 27, 31'}",0.6645846346033729
