translation,importance
"{'en': ""If you don't want to die, then it's a good idea to drink it."", 'ro': 'Dacă nu vrei să mori, ai face bine să bei asta.'}",1.0
"{'en': ""Well... for starters, why is he trying to impregnate that slut he's married to?"", 'ro': 'Păi... pentru început, de ce încearcă s-o lase gravidă pe târfa cu care e însurat?'}",1.0
"{'en': ""Whether it's for good or bad, profit or survival, we bend the truth."", 'ro': 'Fie ca este vorba de bun sau rau, profitsausupravietuirea, amîndoiadevarul.'}",1.0
"{'en': ""For a guy who loves nature, you'd think he'd be more into animals."", 'ro': 'Pentru un iubitor de natură, ai crede că îi plac mai mult animalele.'}",1.0
"{'en': ""I'd like to start with my dad, really. Every other week my dad worked nights."", 'ro': 'Tatăl meu a lucrat noaptea.'}",1.0
"{'en': ""I keep tell him, London streets aren't roads in Punjab, don't amble ls this any way to express anger?"", 'ro': 'Eu i-am spus mereu că străzile Londrei nu sunt drumurile din Punjabi,nu mergi agale Ăsta este felul de a-ţi exprima supărarea?'}",1.0
"{'en': ""If you try any mischief, I'll crush them all like eggs!"", 'ro': 'Dacă încercati orice rău, le voi zdrobi toate ouăle ca!'}",1.0
"{'en': 'Could go either way. If only you had someone, someone... Someone on the inside.', 'ro': 'Doar dacă ai avea pe cineva, pe cineva din interior.'}",1.0
"{'en': ""I don't know if you can hear me over the radio, but... I'm finally on the other side."", 'ro': 'Nu ştiu dacă mă auziţi prin radio dar, în sfârşit am ajuns în partea cealaltă.'}",1.0
"{'en': 'Enough time, I hope, to find the wormhole and get your passengers safely through it, and myself, as well.', 'ro': 'Suficient timp, sper, să găsesc gaura de vierme şi să duc pasagerii tai în siguranţă prin ea şi pe mine de asemenea.'}",1.0
"{'en': ""Macedonia's national handball team defeated Australia in the first match of the 2008 Women's Junior World Championship, which began on Monday (July 21st)."", 'ro': 'Echipa naţională de handbal feminin a Macedoniei a învins Australia în primul meci al campionatului mondial pentru juniori 2008, început pe data de luni (21 iulie).'}",1.0
"{'en': ""I used to beat this bitch's ass at fight club, like, all the time!"", 'ro': 'Îi băteam la cur pe nenorociţii ăştia la clubul de lupte tot timpul.'}",1.0
"{'en': 'Following the September 11 attacks, the new album gained added resonance, and in October, U2 performed at Madison Square Garden in New York City.', 'ro': 'În octombrie, U2 a cântat într-o serie de concerte cu casa închisă la Madison Square Garden în New York City.'}",1.0
