translation,importance
"{'en': 'Well, get in there, boy!', 'ro': '-Intră acolo, băiete!'}",0.5190505933791381
"{'en': '[Burke] Good afternoon, interns.', 'ro': 'Bună ziua, stagiari.'}",0.40849469081823864
"{'en': 'Return.', 'ro': 'Intoarce.'}",0.20861961274203622
"{'en': ""You're a bunch of beautiful, brilliant people."", 'ro': 'Sunteti o adunătură de oameni minunaţi şi străluciţi.'}",0.6127420362273579
"{'en': 'Maddie?', 'ro': 'Maddie?'}",0.20861961274203622
"{'en': 'The need for concrete action aimed at establishing a common European energy policy is now greater than ever.', 'ro': 'Nevoia de acţiune concretă în scopul stabilirii unei politici energetice europene comune este acum mai mare ca niciodată.'}",0.8688319800124922
"{'en': 'Certainly.', 'ro': 'Desigur.'}",0.20861961274203622
"{'en': 'you chickenshit motherfucker.', 'ro': 'Am să-ţi rup mâna într-o zi... rahat de pasăre ce eşti.'}",0.33978763272954404
"{'en': ""You're welcome."", 'ro': 'Cu plăcere.'}",0.35040599625234226
"{'en': '- Hello?', 'ro': '- Alo?'}",0.23985009369144286
"{'en': ""I've lost the pulse."", 'ro': 'Am pierdut pulsul.'}",0.7126795752654591
"{'en': 'Keep her safe.', 'ro': 'Ai grijă de ea.'}",0.45034353529044346
"{'en': '""Dead Clade Walking"" from being proven right was behind the murder.', 'ro': '""Teoriei fosilelor vii"" să nu fie dovedită corectă a fost în spatele crimei.'}",0.8769519050593381
"{'en': 'Oh...!', 'ro': 'Oh...!'}",0.2629606495940037
"{'en': 'Power down.', 'ro': 'Putere scazuta.'}",0.33166770768269827
"{'en': ""I'm on my way."", 'ro': 'Sunt pe drum.'}",0.5190505933791381
"{'en': '""Keep up for me, leave the door ajar""', 'ro': '""Vino la mine, lasă uşa întredeschisă""'}",0.6352279825109306
"{'en': ""He's lying."", 'ro': 'El este mincinos.'}",0.35040599625234226
"{'en': 'Hey, man.', 'ro': 'Hei, omule.'}",0.33166770768269827
"{'en': 'It was an accident.', 'ro': 'A fost un accident.'}",0.6127420362273579
"{'en': '- What did he do?', 'ro': '- Ce a făcut ?'}",0.5271705184259838
"{'en': '-Does she cry a lot?', 'ro': '- Plânge des ?'}",0.6895690193628983
"{'en': ""We didn't speak or even swap phone numbers."", 'ro': 'Nu am vorbit nimic, nici mãcar nu ne-am luat numerele de telefon.'}",0.6189881324172393
"{'en': 'Billy?', 'ro': 'Billy?'}",0.20861961274203622
"{'en': 'Fine.', 'ro': 'Bine.'}",0.20861961274203622
"{'en': 'Omar appreciates the delivery of his weapons.', 'ro': 'Omar va aprecia livrarea armelor sale.'}",0.5815115552779513
"{'en': ""That's fine."", 'ro': 'Asta e bine.'}",0.35040599625234226
"{'en': 'Faxe, Ulme, you take the forward hatch!', 'ro': '- Faxe, Ulme, împingeţi trapa.'}",0.7126795752654591
"{'en': 'Mikey, come on.', 'ro': 'Mikey, ce faci.'}",0.36289818863210493
"{'en': 'Oral solution', 'ro': 'Soluţie orală'}",0.09181761399125546
"{'en': 'Come on.', 'ro': 'Hai.'}",0.2629606495940037
"{'en': 'None.', 'ro': 'De nimic.'}",0.27732667083073076
"{'en': 'Are you drunk?', 'ro': 'Ce se-ntâmplă ?'}",0.45034353529044346
"{'en': 'Shoot the cars right out, and above all, get Rico.', 'ro': 'Trageţi în maşinile lor şi, cel mai important, prindeţi-l pe Rico.'}",0.7126795752654591
"{'en': ""And he's the perfect patient."", 'ro': 'Şi e pacientul perfect.'}",0.6127420362273579
"{'en': 'Yeah, I think I heard someone calling me, Jonesy.', 'ro': 'Cred că am auzit pe cineva strigându-mă, Jonesy.'}",0.5502810743285447
"{'en': ""What's your name?"", 'ro': 'Cum vă numiţi ?'}",0.5190505933791381
"{'en': 'Will you do something for me, father?', 'ro': 'Faci ceva pentru mine, părinte ?'}",0.6189881324172393
"{'en': 'Believe in Allah and His Messenger and in the Book He has revealed to His Messenger, and in the Book He revealed before.', 'ro': 'Credeţi în Dumnezeu şi în trimisul Său, în Cartea care a fost pogorâtă asupra trimisului Său şi în Cartea care a fost pogorâtă mai înainte.'}",0.7001873828856965
"{'en': ""Mr. Lampe's handing him an envelope."", 'ro': '- Dl Lampe ii da un plic.'}",0.7126795752654591
"{'en': '- Runstock.', 'ro': '- Runstock.'}",0.30855715178013743
"{'en': 'Take a look.', 'ro': 'Aruncă o privire.'}",0.7126795752654591
"{'en': 'So who killed Ray?', 'ro': 'Deci, cine la ucis pe Ray?'}",0.5502810743285447
"{'en': ""I'm sure they will."", 'ro': 'Sunt sigură că o s-o facă.'}",0.45034353529044346
"{'en': 'Maria...', 'ro': 'Maria...'}",0.20861961274203622
"{'en': ""What's wrong with you?"", 'ro': 'Ce este în neregulă cu tine?'}",0.45034353529044346
"{'en': 'One of you two screwed up.', 'ro': 'Unul din voi a gresit.'}",0.3191755153029357
"{'en': '- Did you check it?', 'ro': '- L-ai verificat?'}",0.5271705184259838
"{'en': ""I'm doing this for your own good; you're not ready."", 'ro': 'Fac asta pentru binele tău; tu nu ești pregătit.'}",0.6189881324172393
"{'en': ""I can't believe my eyes!"", 'ro': 'Nu-mi vine să-mi cred ochilor!'}",0.6189881324172393
"{'en': 'Is that it?', 'ro': 'Asta este tot?'}",0.45034353529044346
"{'en': 'This is not about me.', 'ro': 'Nu e vorba de mine.'}",0.3191755153029357
"{'en': 'So...', 'ro': 'Deci...'}",0.20861961274203622
"{'en': ""If he's anywhere, he's messing up the sheets with her."", 'ro': 'Dacă e să îl găsiţi, sigur e acolo cu ea.'}",0.7126795752654591
"{'en': 'Everyone likes you.', 'ro': 'Toată lumea te place.'}",0.5502810743285447
"{'en': 'Hartmann?', 'ro': 'Hartmann? Domnule?'}",0.20861961274203622
"{'en': 'Come on, Marcus.', 'ro': '- Haide, Marcus.'}",0.36289818863210493
"{'en': '- Please.', 'ro': 'Vă rog.'}",0.23985009369144286
"{'en': 'Rate of refund', 'ro': 'Rata de restituire'}",0.24609618988132417
"{'en': ""You could have totally staked me in Cordelia's apartment."", 'ro': 'Puteai să mă ucizi în apartamentul Cordeliei.'}",0.48782011242973145
"{'en': 'Look!', 'ro': 'Uite!'}",0.20861961274203622
"{'en': ""I don't want to."", 'ro': 'Nu vreau.'}",0.45034353529044346
"{'en': 'Good question.', 'ro': 'Bună întrebare.'}",0.33166770768269827
"{'en': 'No.', 'ro': 'Nu.'}",0.20861961274203622
"{'en': 'What are you doing here?', 'ro': 'Ce cauţi aici ?'}",0.4191130543410369
"{'en': 'Look at you.', 'ro': 'Uitat-te la tine.'}",0.45034353529044346
"{'en': ""You're asking me?"", 'ro': 'Pe mine mă întrebi?'}",0.5502810743285447
