translation,importance
"{'en': 'Conner!', 'es': '¡Conner!'}",0.2220176730486009
"{'en': 'Deacon?', 'es': '¿Deacon?'}",0.2220176730486009
"{'en': 'Yes!', 'es': 'Sí.'}",0.2220176730486009
"{'en': 'Impressive.', 'es': 'Impresionante.'}",0.2220176730486009
"{'en': 'Married?', 'es': '¿Casado?'}",0.2220176730486009
"{'en': 'Brilliant!', 'es': '¡Brillante!'}",0.2220176730486009
"{'en': 'Pull!', 'es': 'Pull!'}",0.2220176730486009
"{'en': 'OK.', 'es': 'Está bien.'}",0.2220176730486009
"{'en': 'Good.', 'es': 'Bien.'}",0.2220176730486009
"{'en': 'Report?', 'es': '¿Reporte?'}",0.2220176730486009
"{'en': 'You.', 'es': 'Tú.'}",0.2220176730486009
"{'en': 'Now!', 'es': '¡Ahora!'}",0.2220176730486009
"{'en': 'Wonderful.', 'es': '- No es fácil decir esto.'}",0.2220176730486009
"{'en': 'Anything!', 'es': '¡Cualquier cosa!'}",0.2220176730486009
"{'en': 'Hero.', 'es': 'Héroe.'}",0.2220176730486009
"{'en': 'Huh!', 'es': '¡Juh!'}",0.2220176730486009
"{'en': 'Springer.', 'es': '- Springer.'}",0.2220176730486009
"{'en': 'Right.', 'es': 'Cierto.'}",0.2220176730486009
"{'en': 'Here.', 'es': 'Toma.'}",0.2220176730486009
"{'en': 'Attack!', 'es': 'Ataquen!'}",0.2220176730486009
"{'en': 'Here.', 'es': 'Tomá.'}",0.2220176730486009
"{'en': 'Mama.', 'es': 'Mamá.'}",0.2220176730486009
"{'en': 'Portugal: nefrologia', 'es': 'Portugal: nefrologia,'}",0.2220176730486009
"{'en': 'Good.', 'es': 'Bien.'}",0.2220176730486009
"{'en': 'Heating (3)', 'es': 'Entrada privada (3)'}",0.2220176730486009
"{'en': 'Right.', 'es': 'Correcto.'}",0.2220176730486009
"{'en': 'Amy?', 'es': '- ¿Amy?'}",0.2220176730486009
"{'en': 'Goodnight.', 'es': 'Buenas noches.'}",0.2220176730486009
"{'en': 'Bye.', 'es': 'Adiós.'}",0.2220176730486009
"{'en': 'Goodbye.', 'es': 'Adiós.'}",0.2220176730486009
"{'en': 'Fast.', 'es': '¿Lista?'}",0.2220176730486009
"{'en': 'Fine...', 'es': 'Bien....'}",0.2220176730486009
"{'en': 'Here.', 'es': 'Toma.'}",0.2220176730486009
"{'en': 'Right.', 'es': '- ¡Bien!'}",0.2220176730486009
"{'en': 'Sting.', 'es': 'El carbón'}",0.2220176730486009
"{'en': 'Wow!', 'es': 'Wow!'}",0.2220176730486009
"{'en': 'Wait.', 'es': 'Espera.'}",0.2220176730486009
"{'en': 'No.', 'es': 'No.'}",0.2220176730486009
"{'en': 'Switzerland.', 'es': 'Suiza.'}",0.2220176730486009
"{'en': 'Okay?', 'es': '¿De acuerdo?'}",0.2220176730486009
"{'en': 'Ready?', 'es': '¿Listo?'}",0.2220176730486009
"{'en': 'Damn.', 'es': 'Maldita sea.'}",0.2220176730486009
"{'en': 'Now!', 'es': '¡Ahora mismo!'}",0.2220176730486009
"{'en': 'Aah!', 'es': 'Aah!'}",0.2220176730486009
"{'en': 'Please!', 'es': 'Por favor.'}",0.2220176730486009
"{'en': 'Dinner.', 'es': 'La cena.'}",0.2220176730486009
"{'en': 'Not...', 'es': '¡Ow!'}",0.2220176730486009
"{'en': 'Outstanding.', 'es': 'Pendiente.'}",0.2220176730486009
"{'en': 'Good!', 'es': '¡Qué alegría!'}",0.2220176730486009
"{'en': 'No.', 'es': 'No.'}",0.2220176730486009
"{'en': 'Mallory?', 'es': '¿Mallory?'}",0.2220176730486009
"{'en': 'No.', 'es': 'No, no.'}",0.2220176730486009
"{'en': 'No!', 'es': '¡No!'}",0.2220176730486009
"{'en': 'Applaud.', 'es': 'Aplauda.'}",0.2220176730486009
"{'en': 'What?', 'es': '¿Qué?'}",0.2220176730486009
"{'en': 'Bobby!', 'es': 'Bobby!'}",0.2220176730486009
"{'en': 'Apologise!', 'es': 'Discúlpate.'}",0.2220176730486009
"{'en': 'Yeah?', 'es': '- ¿Sí?'}",0.2220176730486009
"{'en': 'Son?', 'es': '¿Hijo?'}",0.2220176730486009
"{'en': 'No.', 'es': 'No.'}",0.2220176730486009
"{'en': 'Right.', 'es': 'Cierto.'}",0.2220176730486009
"{'en': 'Thomas...', 'es': 'Thomas...'}",0.2220176730486009
"{'en': 'She?', 'es': '¿Ella?'}",0.2220176730486009
"{'en': 'Nothing.', 'es': 'Nada.'}",0.2220176730486009
"{'en': 'Excellent.', 'es': 'Excelente.'}",0.2220176730486009
"{'en': 'Bullshtak.', 'es': 'Shtak de toro.'}",0.2220176730486009
"{'en': 'Okay.', 'es': 'Bien'}",0.2220176730486009
"{'en': 'Math.', 'es': 'Math.'}",0.2220176730486009
"{'en': 'Prost!', 'es': '- ¡Salud!'}",0.2220176730486009
"{'en': 'Terrible.', 'es': 'Terrible.""'}",0.2220176730486009
