translation,importance
"{'en': 'Much suffering could have been avoided had these destructive forces been anticipated and political and diplomatic action taken.', 'es': 'Mucho sufrimiento se pudo haber evitado anticipando esas fuerzas destructivas y actuando política y diplomáticamente.'}",0.5876288659793816
"{'en': ""I'm waiting for someone."", 'es': 'Estoy esperando a alguien.'}",0.333578792341679
"{'en': '- Me?', 'es': '- ¿Yo?'}",0.1568483063328424
"{'en': 'Rebecca, that is so sweet.', 'es': 'Rebecca, esto es tan dulce. Oh, No.'}",0.333578792341679
"{'en': 'Now?', 'es': '¿Ahora?'}",0.2220176730486009
"{'en': ""As long as it doesn't jam up your plans."", 'es': 'Mientras que no vayas a frenar tus planes.'}",0.3667157584683358
"{'en': ""- You don't seem too worried."", 'es': '- No pareces muy preocupado.'}",0.2452135493372607
"{'en': 'This response cannot abandon European principles.', 'es': 'Esa respuesta no puede abandonar los principios europeos.'}",0.4771723122238587
"{'en': 'Takes note of the report (DP/FPA/2007/17) on the UNFPA strategic plan, 2008-2011: accelerating progress and national ownership of the Programme of Action of the International Conference on Population and Development (ICPD) and recognizes the strategic plan as the key tool for directing the work of UNFPA in supporting countries in implementing the ICPD Programme of Action and the Key Actions for the Further Implementation of the ICPD Programme of Action (ICPD+5) and in advancing the Millennium Development Goals;', 'es': 'Toma nota del informe (DP/FPA/2007/17) sobre el plan estratégico del UNFPA para el período 2008-2011: aceleración de los progresos e identificación nacional con el Programa de Acción de la Conferencia Internacional sobre la Población y el Desarrollo (CIPD) y reconoce que el plan estratégico es el instrumento clave que rige la labor del UNFPA en la prestación de asistencia a los países para que apliquen el Programa de Acción de la CIPD y las medidas clave para seguir ejecutando el Programa de Acción de la CIPD (CIPD+5) y alcancen los objetivos de desarrollo del Milenio;'}",0.8663475699558174
"{'en': 'I got it!', 'es': '¡Lo tengo!'}",0.4145802650957291
"{'en': 'Really? What...', 'es': 'Entonces, ¿no irás a la universidad?'}",0.2893961708394698
"{'en': '_', 'es': 'Tenemos que dirigirnos al norte.'}",0.1104565537555228
"{'en': ""I'm too big to fail, so I whisper in the ear of my creepiest follower..."", 'es': 'Soy demasiado grande para fallar, Entonces susurro al oído de mi más inestable seguidor...'}",0.5876288659793816
