translation,importance
"{'en': ""It was the asbestos in here, that's what did it!"", 'es': 'Fueron los asbestos aquí. ¡Eso es lo que ocurrió!'}",0.5876288659793816
"{'en': ""I'm out of here."", 'es': 'Me voy de aquí.'}",0.333578792341679
"{'en': 'One time, I swear I pooped out a stick of chalk.', 'es': 'Una vez, juro que cagué una barra de tiza.'}",0.6686303387334316
"{'en': 'And I will move, do you understand me?', 'es': 'Y prefiero mudarme, ¿Entiendes?'}",0.4145802650957291
"{'en': '- Thank you, my lord.', 'es': '- Gracias.'}",0.32621502209131076
"{'en': 'You have to help me.', 'es': 'Debes ayudarme.'}",0.3041237113402062
"{'en': 'Fuck this!', 'es': '¡Por la mierda!'}",0.32621502209131076
"{'en': 'The safety and efficacy of MIRCERA therapy in other indications has not been established.', 'es': 'No se ha establecido la seguridad y eficacia del tratamiento con MIRCERA en otras indicaciones.'}",0.5876288659793816
"{'en': 'You can stay if you want.', 'es': 'Así lo decidí, pueden quedarse si quieren.'}",0.22312223858615612
"{'en': ""Of course, when I say 'translating an idiom,' I do not mean literal translation, rather an equivalent idiomatic expression in the target language, or any other means to convey the meaning."", 'es': ""Por supuesto, cuando digo 'traducir un idioma', no me refiero a la traducción literal, más bien a una expresión equivalente idiomática de la lengua final, o cualquier otro medio para transmitir el significado.""}",0.6686303387334316
"{'en': 'Norman.', 'es': 'Norman.'}",0.2220176730486009
"{'en': ""- I'm not stupid."", 'es': '- Yo no soy estúpido.'}",0.24521354933726072
"{'en': 'Sorry, a weird gas bubble for a sec.', 'es': 'Perdón, he tenido una burbuja de gas extraño un momentito'}",0.5066273932253315
"{'en': ""It's uncomplicated."", 'es': 'Es algo sin complicaciones.'}",0.28939617083946984
"{'en': 'No!', 'es': '¡No!'}",0.2220176730486009
"{'en': 'No.', 'es': 'No.'}",0.2220176730486009
"{'en': 'in paragraph 2, the first subparagraph is replaced by the following:', 'es': 'en el apartado 2, el párrafo primero se sustituye por el texto siguiente:'}",0.4760677466863034
"{'en': ""- Mm. I'll tell you something my father told me."", 'es': 'Te diré algo que me dijo mi padre.'}",0.3888070692194404
"{'en': ""Good night, ma'am."", 'es': 'Esta tarde,hubo conciertos en las ciudades ocupadas.'}",0.35198821796759944
"{'en': 'http://www.vodniraj.cz/bazen.asp', 'es': 'http://www.madeira.ji.cz/'}",0.11045655375552284
"{'en': 'What?', 'es': '¿Qué?'}",0.2220176730486009
"{'en': ""- I'm afraid so."", 'es': 'Eso me temo.'}",0.24521354933726072
"{'en': '- Come on.', 'es': '- Vamos.'}",0.20103092783505158
"{'en': 'Now pivot as you deliver the stroke.', 'es': 'Ahora gira mientras propinas el golpe.'}",0.4771723122238587
"{'en': ""I'm sorry."", 'es': 'Lo siento.'}",0.28939617083946984
"{'en': 'No!', 'es': '¡No!'}",0.2220176730486009
"{'en': 'Of course.', 'es': 'Por supuesto.'}",0.24521354933726067
"{'en': ""You know it's true."", 'es': 'Sabes que es verdad.'}",0.333578792341679
"{'en': 'Good to see you.', 'es': 'Me alegro de verte.'}",0.4145802650957291
"{'en': ""- We don't know that."", 'es': '- No lo sabemos.'}",0.32621502209131076
"{'en': 'Why are you late?', 'es': '¿Por qué vienes tarde?'}",0.333578792341679
"{'en': '- All right.', 'es': '- De acuerdo.'}",0.20103092783505158
"{'en': 'I want answers.', 'es': 'Quiero respuestas.'}",0.4329896907216495
"{'en': 'I am quite certain.', 'es': 'Estoy bastante seguro.'}",0.333578792341679
"{'en': 'Hey, Johnny.', 'es': 'Hola, Johnny.'}",0.24521354933726067
"{'en': ""No, it's OK."", 'es': 'No pasa nada.'}",0.333578792341679
"{'en': 'I...', 'es': 'Ya...'}",0.2220176730486009
"{'en': 'No dad.', 'es': 'No papá.'}",0.3078055964653903
"{'en': 'Someone betrayed me.', 'es': 'Alguien me la jugó'}",0.4145802650957291
"{'en': 'I, um...', 'es': 'Yo...'}",0.24521354933726067
"{'en': 'I did.', 'es': 'Sí.'}",0.28939617083946984
"{'en': ""It's only for one night."", 'es': 'Es sólo por una noche.'}",0.3961708394698086
"{'en': 'C95-132/I95-143 C95-132/I95-143', 'es': 'C95-132/ I95-143 C95-132/ I95-143'}",0.4429307805596465
"{'en': ""It's me."", 'es': 'Soy yo.'}",0.28939617083946984
"{'en': ""No, I don't want any lessons from some up-north stranger."", 'es': 'No, yo no recibo lecciones... de un extranjero venido del norte.'}",0.5876288659793816
"{'en': 'Well, what are we gonna do?', 'es': '- Bueno, ¿qué vamos a hacer?'}",0.4145802650957291
"{'en': 'Always.', 'es': 'Siempre.'}",0.2220176730486009
"{'en': 'And then...', 'es': 'Y luego ...'}",0.28939617083946984
"{'en': 'Three million.', 'es': '- Tres millones.'}",0.24521354933726067
"{'en': '- Oh, have fun scrubbing my boxers.', 'es': '- ¿Qué?'}",0.3888070692194404
"{'en': 'Prepare yourself!', 'es': '¡Seif!'}",0.32621502209131076
"{'en': '- Tom?', 'es': '- ¿Tom?'}",0.1568483063328424
"{'en': 'That was beautiful.', 'es': 'Eso ha sido precioso.'}",0.333578792341679
"{'en': ""It's fine."", 'es': 'No pasa nada.'}",0.28939617083946984
