translation,importance
"{'en': 'GNOME', 'cy': 'GNOME'}",0.0
"{'en': 'Esbjerg', 'cy': 'Esbjerg'}",0.0
"{'en': 'Synonyms', 'cy': 'Cyfystyron'}",0.0
"{'en': 'Weyburn', 'cy': 'Weyburn'}",0.0
"{'en': 'MediumOrchid', 'cy': 'TegeirianCanolog1color'}",0.0
"{'en': 'File System', 'cy': 'System Ffeiliau'}",0.0
"{'en': 'VM Size', 'cy': 'Maint VM'}",0.0
"{'en': 'Month Calendar', 'cy': 'Calendr Mis'}",0.0
"{'en': 'El Dorado', 'cy': 'El Dorado'}",0.0
"{'en': 'Smart', 'cy': 'Deallus'}",0.0
"{'en': 'La Pampa', 'cy': 'La Pazsouthamerica. kgm'}",0.0
"{'en': 'Lome', 'cy': 'Lome'}",0.0
"{'en': 'Ottumwa', 'cy': 'OttumwaCity name (optional, probably does not need a translation)'}",0.0
"{'en': 'Palau', 'cy': 'Palau'}",0.0
"{'en': 'Kile', 'cy': 'TeitlText editor'}",0.0
"{'en': 'Torp', 'cy': 'Torp'}",0.0
"{'en': 'Colinet', 'cy': 'JolietCity in Newfoundland Canada'}",0.0
"{'en': 'Izmir', 'cy': 'Izmir'}",0.0
"{'en': 'Ring Nebula', 'cy': 'Nifwl Modrwyobject name (optional)'}",0.0
"{'en': 'Edit Bookmarks', 'cy': 'Golygu Llyfrnodau'}",0.0
"{'en': 'Preston', 'cy': 'Preston'}",0.0
"{'en': 'Veracruz', 'cy': 'Veracruz'}",0.0
"{'en': 'Yorkton', 'cy': 'Yorkton'}",0.0
"{'en': 'Nagua', 'cy': 'Ragusadominican_ republic. kgm'}",0.0
"{'en': 'Okayama', 'cy': 'Okayama'}",0.0
"{'en': 'Chiredzi', 'cy': 'Chietiitalyprovince. kgm'}",0.0
"{'en': 'Naples', 'cy': 'Naples'}",0.0
"{'en': 'Network Preferences', 'cy': 'Hoffterau Rhwydwaith'}",0.0
"{'en': 'Ha Noi', 'cy': 'Hanoivietnam. kgm'}",0.0
"{'en': 'Lexington', 'cy': 'Lexington'}",0.0
"{'en': 'Vallejo', 'cy': 'Valley'}",0.0
"{'en': 'DarkGoldenrod', 'cy': 'EurwialenOlaucolor'}",0.0
"{'en': 'Melilla', 'cy': 'MelillaCity name (optional, probably does not need a translation)'}",0.0
"{'en': 'Novosibirsk', 'cy': 'NovosibirskОмск'}",0.0
"{'en': 'Red', 'cy': 'Coch'}",0.0
"{'en': 'Publishing Information', 'cy': 'Lleoliad Cyhoeddi'}",0.0
"{'en': 'unknown', 'cy': '< derbynwyr >'}",0.0
"{'en': 'Fort Yukon', 'cy': 'Fort Yukon'}",0.0
"{'en': 'Bergerac', 'cy': 'Bergerac'}",0.0
"{'en': 'Skagway', 'cy': 'Skagway'}",0.0
"{'en': 'Islamabad', 'cy': 'Islamabad'}",0.0
"{'en': 'White Rock', 'cy': 'White Rock'}",0.0
"{'en': 'Kenansville', 'cy': 'Kenansville'}",0.0
"{'en': 'MSN', 'cy': 'MSN'}",0.0
"{'en': 'Mainland Chile', 'cy': 'Chile'}",0.0
"{'en': 'Goiânia', 'cy': 'Goiânia'}",0.0
"{'en': 'KNode', 'cy': 'KNode'}",0.0
"{'en': 'Nuevo León', 'cy': 'Nuevo Laredo'}",0.0
"{'en': 'Jilin', 'cy': 'Jilin长春'}",0.0
"{'en': 'Cancel', 'cy': '_Diddymu'}",0.0
"{'en': 'Show Low', 'cy': 'Show Low'}",0.0
"{'en': 'Amman', 'cy': 'Amman'}",0.0
"{'en': 'Western Mongolia', 'cy': 'Mongolia Mewnol'}",0.0
"{'en': 'Reserved Constant', 'cy': 'Cysonyn Gwarchodedig'}",0.0
"{'en': 'yellow', 'cy': 'melyn'}",0.0
"{'en': 'Hungary', 'cy': 'Hwngari'}",0.0
"{'en': 'Elizabeth City', 'cy': 'Elizabeth City'}",0.0
"{'en': 'Remove', 'cy': 'Agor Trosglwyddiad'}",0.0
"{'en': 'Maardu', 'cy': 'MaarduCity name (optional, probably does not need a translation)'}",0.0
"{'en': 'Wakefield', 'cy': 'Wakefield'}",0.0
"{'en': 'dark grey', 'cy': 'llwyd tywyll'}",0.0
"{'en': 'West Covina', 'cy': 'West Point'}",0.0
"{'en': 'Two Sided', 'cy': 'Un OchrTwo Sided'}",0.0
"{'en': 'Turkish', 'cy': 'TwrcegName'}",0.0
"{'en': 'Baltimore', 'cy': 'Baltimore'}",0.0
"{'en': 'Bengali', 'cy': 'Bengaleg'}",0.0
"{'en': 'Math Mode', 'cy': 'Modd Amlapio'}",0.0
"{'en': 'Oroville', 'cy': 'Oroville'}",0.0
"{'en': 'SlideScreen', 'cy': 'LlithroSgrîn'}",0.0
"{'en': 'Western Time', 'cy': 'Western HeadAustralia'}",0.0
"{'en': 'LightPink', 'cy': 'Oren Tywyllcolor'}",0.0
"{'en': 'Difficult', 'cy': 'Anodd'}",0.0
"{'en': 'Zurich', 'cy': 'Zurich'}",0.0
"{'en': 'Helston', 'cy': 'Pellston'}",0.0
"{'en': 'Mountain View', 'cy': 'Mountain View'}",0.0
"{'en': 'Not sorted', 'cy': 'Heb eu trefnu'}",0.0
"{'en': 'Server Port', 'cy': 'St. Peter Port'}",0.0
"{'en': 'Banff', 'cy': 'Banff'}",0.0
"{'en': 'Armenia', 'cy': 'ArmeniaCountry name (optional, but should be translated)'}",0.0
"{'en': 'Kabale', 'cy': 'Kabale'}",0.0
"{'en': 'Port Alsworth', 'cy': 'Port Alsworth'}",0.0
"{'en': 'Fujairah', 'cy': 'Paraemirates. kgm'}",0.0
"{'en': 'Sporminore', 'cy': 'Seminole'}",0.0
"{'en': 'San Felipe', 'cy': 'Santa Fefrance. kgm'}",0.0
"{'en': 'User Name', 'cy': ""Enw' r defnyddiwr""}",0.0
"{'en': 'Two Sided', 'cy': 'Two Sided'}",0.0
"{'en': 'Jacareacanga', 'cy': 'Jacareacanga'}",0.0
"{'en': 'Deer Lake', 'cy': 'Deer Lake'}",0.0
"{'en': 'Miami', 'cy': 'Miami'}",0.0
"{'en': 'Turkmenistan', 'cy': 'Twrcmenistan'}",0.0
"{'en': 'Newcastle', 'cy': 'Newcastle'}",0.0
"{'en': 'Hebron', 'cy': 'Hebron'}",0.0
"{'en': 'Lennoxville', 'cy': 'Lennoxville'}",0.0
"{'en': 'Cape Dyer', 'cy': 'Cape Dyer'}",0.0
"{'en': 'Print Header', 'cy': 'Pennawd Argraffydd'}",0.0
"{'en': 'al', 'cy': 'Rhif:% 1amount in units (real)'}",0.0
"{'en': 'Trapani', 'cy': 'Uruapan'}",0.0
"{'en': 'PLAIN', 'cy': 'PLAIN'}",0.0
"{'en': 'Melun', 'cy': 'Melunfrance. kgm'}",0.0
"{'en': 'Marshall Islands', 'cy': 'Ynysoedd MarshallName'}",0.0
"{'en': 'Select Character', 'cy': 'Dethol Nod'}",0.0
