translation,importance
"{'en': 'Auch', 'cy': 'Auch'}",0.0
"{'en': 'Default calendar', 'cy': 'Porwr rhagosodedig'}",0.0377358490566037
"{'en': 'Compression ratio:', 'cy': 'Cyfradd cywasgiad:'}",0.2318059299191374
"{'en': 'minutes', 'cy': 'llinelli'}",0.0377358490566037
"{'en': 'Delete this occurrence', 'cy': ""Dileu'r digwyddiad yma""}",0.2560646900269542
"{'en': 'Pixmap', 'cy': 'Picsfap'}",0.0377358490566037
"{'en': 'The number of rows to fill', 'cy': ""Y nifer o resi i'w llenwi""}",0.3584905660377358
"{'en': 'Ghana', 'cy': 'Ghana'}",0.0
"{'en': 'Spellcheck', 'cy': 'Gwirio Sillafu'}",0.0
"{'en': 'Seek to %s / %s', 'cy': 'Cyrchu hyd %s / %s'}",0.5013477088948787
"{'en': 'Tymbou', 'cy': 'Tombouctou'}",0.0
"{'en': 'Nashira', 'cy': 'Nashirastar name'}",0.0
"{'en': 'Message template for new message', 'cy': 'Rhestr Negeseuon - Maes Dyddiad'}",0.3315363881401617
"{'en': 'Kernel core', 'cy': 'Craidd cnewyllyn'}",0.0377358490566037
"{'en': 'Piešťany', 'cy': 'Piešťany'}",0.0377358490566037
"{'en': 'Landscape', 'cy': 'TirlunStock label'}",0.0377358490566037
"{'en': 'Short inline quotation', 'cy': 'Dyfyniad byr mewnol'}",0.1913746630727763
"{'en': '%1 (%2) vs. %3 (%4) - game over', 'cy': '% 1 (% 2) vs.% 3 (% 4) - gêm drosodd'}",0.3045822102425876
"{'en': 'Bangkok', 'cy': 'Bangkok'}",0.0
"{'en': '%s: muted', 'cy': '%s: wedi tewi'}",0.1940700808625337
"{'en': '%s: Error starting greeter on display %s', 'cy': '%s: Gwall wrth gychwyn cyfarchwr ar y dangosydd %s'}",0.3611859838274932
"{'en': 'Adjustment', 'cy': 'Addasiad'}",0.0377358490566037
"{'en': 'Clear display [Escape]', 'cy': ""Clirio'r gwerth a ddangosir""}",0.3045822102425876
"{'en': 'KWord WordPerfect Import Filter', 'cy': 'Hidlen Fewnforio WordPerfect KWord Name'}",0.1536388140161725
"{'en': 'CJK Symbols and Punctuation', 'cy': 'Symbolau ac Atalnodau CJK'}",0.1536388140161725
"{'en': 'FUSE Volume', 'cy': 'Cyfrol FUSE'}",0.0
"{'en': '& Display Mode', 'cy': 'Modd & ArddangosInsert menu'}",0.2668463611859838
"{'en': 'Subscribe to the mailing list this message belongs to', 'cy': ""Tanysgrifio â'r rhestr trafod mae'r neges hon yn perthyn iddi""}",0.3584905660377358
"{'en': 'centered textStock label', 'cy': '_Neidio icentered textStock label'}",0.1913746630727763
"{'en': 'Khmer Symbols', 'cy': 'Symbolau Chmereg'}",0.0
