translation,importance
"{'en': 'Favorite', 'cy': 'Ffefryn'}",0.0
"{'en': 'C_lose Tab', 'cy': ""Cau'r _Tab""}",0.11320754716981132
"{'en': 'Decompressing archive', 'cy': 'Datgywasgu’r archif'}",0.03773584905660378
"{'en': 'Color 6', 'cy': 'Lliwiau VIM'}",0.11320754716981132
"{'en': 'returns greater than', 'cy': ""yn dychwelyd 'yn fwy na'""}",0.15363881401617252
"{'en': 'Failed to expunge folder &quot;{0}quot;.', 'cy': 'Methu darllen ffeil lofnod &quot;{0}quot;.'}",0.39083557951482484
"{'en': 'Fax Template', 'cy': 'Patrymlun FfacsComment'}",0.0
"{'en': 'Level three', 'cy': 'Lefel tri'}",0.03773584905660378
"{'en': 'Preprocessor directive', 'cy': 'Diffiniadau Cyn-brosesydd'}",0.03773584905660378
"{'en': 'Could not start the X server (your graphical environment) due to an internal error. Please contact your system administrator or check your syslog to diagnose. In the meantime this display will be disabled. Please restart GDM when the problem is corrected.', 'cy': ""Methu cychwyn y gweinydd X (eich rhyngwyneb graffigol) oherwydd rhyw wall mewnol. Os gwelwch yn dda, cysylltwch â gweinyddwr eich system neu gwiriwch eich cofnod system er mwyn dadansoddi'r broblem. Yn y cyfamser fe gaiff y dangosydd hwn ei analluogi. Os gwelwch yn dda, ailgychwynnwch GDM wedi i'r broblem gael ei thrwsio.""}",0.7466307277628034
"{'en': 'XPM file has invalid number of colors', 'cy': 'Mae gan y ffeil delwedd XPM nifer annilys o liwiau'}",0.35040431266846356
"{'en': 'View the files opened by a process', 'cy': 'Gweld y ffeiliau agorwyd gan broses'}",0.4150943396226415
"{'en': 'Cottesmore', 'cy': 'Claremore'}",0.0
"{'en': 'Other...', 'cy': 'Arall...'}",0.25606469002695414
"{'en': 'Page Setup', 'cy': 'Gosodiad Tudalen'}",0.0
"{'en': 'A shorter label that may be used on toolbar buttons.', 'cy': 'Label byrrach gellir defnyddio ar fotymau barau offer.'}",0.5013477088948788
"{'en': 'Unable to mount the volume. If this is an encrypted drive, then the wrong password or key was used.', 'cy': ""Methu gosod y gyfrol. Os yw hwn yn yriant wedi ei amgryptio, defnyddiwyd y cyfrinair neu'r allwedd anghywir.""}",0.7466307277628034
"{'en': 'Category Properties', 'cy': 'Priodweddau Calendr'}",0.03773584905660378
"{'en': 'Turku', 'cy': 'Turku'}",0.0
"{'en': 'requested family not supported', 'cy': 'ni chynhelir deulu benodol'}",0.1913746630727763
"{'en': 'British Sun USB keymap', 'cy': 'Bysellfap USB Prydeinig Sun'}",0.1913746630727763
"{'en': 'Great work, but unfortunately your score did not make the top ten.', 'cy': 'Gwaith gwych, ond yn anffodus, wnaeth eich sgôr chi ddim cyrraedd y deg uchaf.'}",0.7466307277628034
"{'en': ""Type a new password for '%s'"", 'cy': 'Dewiswch gyfrinair ar gyfer y cylch allweddi newydd'}",0.4150943396226415
"{'en': '_Group Reply', 'cy': '_Dosbarthu Wrth...'}",0.1940700808625337
"{'en': 'Croatia', 'cy': 'Croatia'}",0.0
"{'en': 'Washington', 'cy': 'Washington'}",0.0
"{'en': 'Châlons-en-Champagne', 'cy': 'Châlons-en-Champagne'}",0.23180592991913745
"{'en': 'Arch B', 'cy': 'Arch Bpaper size'}",0.0
"{'en': 'Muskegon', 'cy': 'Muskegon'}",0.03773584905660378
"{'en': 'Test options:', 'cy': 'Opsiynau profi:'}",0.23180592991913745
"{'en': 'Long quotation', 'cy': 'Dyfyniad hir'}",0.03773584905660378
"{'en': 'Santa Rosa de Copán', 'cy': 'Santa Rosa De Copán'}",0.15363881401617252
"{'en': 'Certificate _Details', 'cy': '_Manylion y Dystysgrif'}",0.23180592991913745
"{'en': 'Use safe moves', 'cy': 'Defnyddio symudiadau diogel'}",0.24797843665768196
"{'en': 'Action description', 'cy': 'Action description'}",0.03773584905660378
"{'en': 'The key used to move north-east.', 'cy': ""Y fysell i'w gwasgu er mwyn symud i'r dde.""}",0.5579514824797844
"{'en': 'Two Sided', 'cy': 'Two Sided'}",0.0
"{'en': 'Due Date:', 'cy': 'Dyddiad Disgwyl:'}",0.23180592991913745
"{'en': 'The destination is not a folder.', 'cy': ""Nid yw'r lleoliad yn blygell.""}",0.5013477088948788
"{'en': '& Overwrite', 'cy': '& Trosysgrifo'}",0.11320754716981132
"{'en': 'Ping to %s failed; whacking display!', 'cy': ""Methodd ping i %s; yn bwrw'r dangosydd!""}",0.4474393530997305
"{'en': 'Unable to read license file.', 'cy': 'Methu darllen y ffeil drwydded.'}",0.39083557951482484
"{'en': 'DATE2UNIX(""01/ 01/ 2000 "") returns 946,684,800', 'cy': 'Mae EDATE (""3/ 31/ 2002""; - 1) yn dychwelyd ""2/ 28/ 2002""'}",0.32345013477088946
"{'en': 'Prompt when emptying the trash', 'cy': ""Promptio pan mae'r defnyddiwr yn chwynnu""}",0.4150943396226415
"{'en': '%', 'cy': '%'}",0.11320754716981132
"{'en': 'Always', 'cy': 'Bob Tro'}",0.0
"{'en': 'Select in current layer: The selection is made in the layer selected in the layers docker.', 'cy': 'Erfyn Polylinell'}",0.8301886792452831
"{'en': 'No shade', 'cy': 'Dim cysgod'}",0.10242587601078168
"{'en': 'A-M_BAR_German (Switzerland)', 'cy': 'A-M_BAR_Almaeneg (Y Swistir)'}",0.1940700808625337
"{'en': 'begin editing this cell', 'cy': ""dechrau golygu'r gell""}",0.3126684636118599
"{'en': 'day', 'cy': 'diwrnod'}",0.03773584905660378
"{'en': 'Saving %s to %s', 'cy': 'Cadw %s i %s'}",0.444743935309973
"{'en': 'Roxboro', 'cy': 'Roxboro'}",0.0
"{'en': 'Yangtze', 'cy': 'Nantesitaly. kgm'}",0.03773584905660378
"{'en': 'Unable to initialize speech support', 'cy': 'Ni ellir ymgychwyn cynhaliaeth siarad'}",0.24797843665768196
"{'en': 'Command to invoke from the logout button', 'cy': ""Y gorchymyn i'w redeg o'r botwm allgofnodi""}",0.3584905660377358
"{'en': 'Keyboard shortcut key to reset the terminal. Expressed as a string in the same format used for GTK+ resource files. If you set the option to the special string ""disabled"", then there will be no keyboard shortcut for this action.', 'cy': 'Byrlwybr bysellfwrdd ar gyfer ailosod y derfynell. Mynegir fel llinyn yn yr un ffurf a ddefnyddir ar gyfer ffeiliau adnodd GTK+. Os ydych yn gosod yr opsiwn i\'r llinyn arbenning ""disabled"", yna ni fydd byrlwybr bysellfwrdd ar gyfer y weithred hon.'}",0.8867924528301887
"{'en': 'KINGS', 'cy': 'INDUSConstellation name (optional)'}",0.03773584905660378
"{'en': 'Interface:', 'cy': 'Rhyngwyneb & # 160;:'}",0.15094339622641512
"{'en': 'Provides a method to easily insert commonly used tags/strings into a document without having to type them.', 'cy': 'Darparu modd i fewnosod tagiau/llinynnau a ddefnyddir yn aml i mewn i ddogfen yn hawdd heb orfod eu teipio.'}",0.7466307277628034
"{'en': 'Connection to CUPS server failed. Check that the CUPS server is correctly installed and running. Error: %2: %1', 'cy': ""Methodd y cysylltiad i' r gweinydd CUPS. Gwiriwch fod y gweinydd CUPS wedi ei osod yn gywir, ac yn rhedeg. Gwall:% 1.""}",0.6603773584905661
"{'en': 'Pellston', 'cy': 'Pellston'}",0.0
"{'en': '_Icons', 'cy': '_Eiconau'}",0.15094339622641512
"{'en': 'Whether or not to animate card moves.', 'cy': 'A ddylid defnyddio symudiadau cyflym ai peidio.'}",0.4932614555256065
"{'en': 'Switch to Next Desktop', 'cy': ""Newid i' r Penbwrdd Blaenorol""}",0.2938005390835579
"{'en': 'The contact list you are sending to is configured to hide list recipients. Many email systems add an Apparently-To header to messages that only have BCC recipients. This header, if added, will list all of your recipients in your message. To avoid this, you should add at least one To: or CC: recipient.', 'cy': ""Mae'r rhestr cysylltiadau rydych chi'n anfon ati wedi ei chyflunio i guddio'r rhestr derbynwyr. Mae sawl system e-bost yn ychwanegu pennawd Apparently-To at negeseuon sydd â dim ond derbynwyr BCC. Os ychwanegir y pennawd hwn, fe welir yr holl dderbynwyr o fewn eich neges. I osgoi hyn, dylech ychwanegu o leiaf un derbyniwr At: neu CC:.""}",0.7466307277628034
"{'en': ""Text ended just after a '\\\\' character. (The text was '%s')"", 'cy': ""Gorffennodd y testun ar ôl '\\\\'. ('%s' oedd y testun.)""}",0.6603773584905661
"{'en': 'Select Timezone', 'cy': 'Dewiswch Gylchfa Amser'}",0.0
"{'en': 'Page Down (keypad)keyboard label', 'cy': 'PadRhifau_Page_Downkeyboard label'}",0.3045822102425876
"{'en': 'Details:', 'cy': 'Manylion'}",0.15094339622641512
"{'en': 'PNM file has an image height of 0', 'cy': 'Mae gan y ffeil delwedd PNM hyd sero'}",0.4150943396226415
"{'en': 'malformed user interface XML description', 'cy': 'disgrifiad rhyngwyneb defnyddiwr XML annilys'}",0.1913746630727763
"{'en': 'sounds like', 'cy': ""yn swnio'n debyg i""}",0.0
"{'en': 'Keyboard shortcut to open a new window', 'cy': 'Byrlwybr bysellfwrdd ar gyfer agor ffenest newydd'}",0.4150943396226415
"{'en': 'PNM file has an image width of 0', 'cy': 'Mae gan y ffeil delwedd PNM lled sero'}",0.4150943396226415
"{'en': 'Web Browser', 'cy': 'Porwr Gwe'}",0.03773584905660378
"{'en': 'Katakana', 'cy': 'Katakana'}",0.0
"{'en': 'Webster City', 'cy': 'Webster City'}",0.0
"{'en': ""An application wants access to '%s', but it is locked"", 'cy': ""Mae rhaglen anhysbys am gyrchu'r cylch allweddi '%s', ond mae ar glo""}",0.4150943396226415
"{'en': 'Optical Character Recognition', 'cy': 'Adnabyddiaeth Nodau Optegol'}",0.15363881401617252
"{'en': 'DarkSeaGreen4', 'cy': 'MorWyrddTywyll4color'}",0.11320754716981132
"{'en': 'Roll _Up', 'cy': 'Rholio i _Fyny'}",0.25067385444743934
"{'en': 'The European Commission', 'cy': 'Y Comisiwn Ewropeaidd'}",0.2183288409703504
"{'en': 'An error occurred', 'cy': 'Digwyddodd gwall'}",0.2560646900269542
"{'en': '%s: invalid option -- %c', 'cy': '%s: opsiwn annilys -- %c'}",0.3045822102425876
